,what,was,the,name,of,the,infamous,german,gestapo,prison,?
there,0.35085538029670715,0.24909798800945282,0.47025805711746216,0.1687372922897339,0.44397735595703125,0.47025805711746216,0.18854759633541107,0.1089639887213707,0.17645259201526642,0.17334696650505066,0.29405656456947327
are,0.29724663496017456,0.3076191842556,0.40399202704429626,0.17349179089069366,0.39081433415412903,0.40399202704429626,0.18894638121128082,0.13420961797237396,0.2144736796617508,0.13586454093456268,0.24591213464736938
also,0.42747777700424194,0.4032125174999237,0.6021018624305725,0.34663957357406616,0.4924938678741455,0.6021018624305725,0.27937087416648865,0.2037879079580307,0.17570197582244873,0.17230744659900665,0.21848613023757935
many,0.36131182312965393,0.260356068611145,0.4335206151008606,0.206878662109375,0.37253960967063904,0.4335206151008606,0.27926477789878845,0.21591900289058685,0.17608264088630676,0.22261880338191986,0.2124512493610382
places,0.19604378938674927,0.16722169518470764,0.31653955578804016,0.21301612257957458,0.26612308621406555,0.31653955578804016,0.1733638048171997,0.0870915949344635,0.12095075100660324,0.1507519781589508,0.17623652517795563
commemorating,0.10746075958013535,0.31255021691322327,0.36410441994667053,0.2020045816898346,0.3537333309650421,0.36410441994667053,0.345823734998703,0.17297710478305817,0.22153089940547943,0.1872604787349701,0.12969037890434265
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.3072296380996704,0.256483793258667,0.28435423970222473,0.19548384845256805,0.22068053483963013
heroic,0.19843003153800964,0.20410212874412537,0.24516884982585907,0.12166192382574081,0.2508719861507416,0.24516884982585907,0.24622854590415955,0.1552976816892624,0.22677147388458252,0.1795734018087387,0.20906680822372437
history,0.28630873560905457,0.25589004158973694,0.33215048909187317,0.20354317128658295,0.31014925241470337,0.33215048909187317,0.23654422163963318,0.168915256857872,0.18737155199050903,0.10898786038160324,0.2501974403858185
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2810886800289154,0.2122138887643814,0.23616579174995422,0.20613855123519897,0.1826142966747284
warsaw,0.10373849421739578,0.2614976763725281,0.23137180507183075,0.07886209338903427,0.19253842532634735,0.23137180507183075,0.06140968203544617,0.33897700905799866,0.32583683729171753,0.15792983770370483,0.09769917279481888
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.19762694835662842,0.2407633364200592,0.2515145540237427,0.24161510169506073,0.4130953550338745
