,in,what,year,was,irene,elizabeth,stroud,convicted,in,a,church,trial,?
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.188467338681221,0.18559834361076355,0.27496564388275146,0.2246932089328766,1.0,0.539380669593811,0.2493300437927246,0.22061339020729065,0.20430970191955566
2005,0.009931974112987518,0.0704459398984909,0.13351094722747803,0.11356307566165924,0.09504205733537674,0.0008342516957782209,0.12510423362255096,0.04337431490421295,0.009931974112987518,-0.044396962970495224,0.10629415512084961,0.07271692156791687,0.10709824413061142
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.2607373595237732,0.26568669080734253,0.33574721217155457,0.2643325924873352,0.5201468467712402,0.427140474319458,0.2707274258136749,0.2517271339893341,0.31091248989105225
clergy,0.17874550819396973,0.21005667746067047,0.12137246876955032,0.21438992023468018,0.1611102670431137,0.18492427468299866,0.16278471052646637,0.2917245030403137,0.17874550819396973,0.19379808008670807,0.4753705859184265,0.19782356917858124,0.14422976970672607
credentials,0.17082542181015015,0.27595585584640503,0.11290489137172699,0.24167850613594055,0.10194439440965652,0.11561022698879242,0.1485811322927475,0.22069425880908966,0.17082542181015015,0.29082831740379333,0.22780685126781464,0.2627103328704834,0.2694322168827057
were,0.3815755248069763,0.22298263013362885,0.23735305666923523,0.590133786201477,0.18371304869651794,0.18900105357170105,0.14672331511974335,0.22130192816257477,0.3815755248069763,0.17203083634376526,0.21372953057289124,0.18204735219478607,0.17890112102031708
removed,0.20650114119052887,0.31197842955589294,0.12607277929782867,0.2546204924583435,0.051383763551712036,0.1313302218914032,0.08710901439189911,0.21934528648853302,0.20650114119052887,0.2588162124156952,0.1595335155725479,0.20179392397403717,0.2955436408519745
from,0.4274188280105591,0.2737620174884796,0.2101740688085556,0.31171464920043945,0.18126921355724335,0.07163557410240173,0.17562797665596008,0.1691054105758667,0.4274188280105591,0.322764128446579,0.1894836276769638,0.1193956583738327,0.19969791173934937
irene,0.188467338681221,0.19882570207118988,0.078878253698349,0.2519332468509674,1.0000001192092896,0.31375470757484436,0.2695991098880768,0.08157837390899658,0.188467338681221,0.18815961480140686,0.16994300484657288,0.04715362936258316,0.19661279022693634
elizabeth,0.18559834361076355,0.18697009980678558,0.19269128143787384,0.26819300651550293,0.31375470757484436,0.9999999403953552,0.312886118888855,0.19818903505802155,0.18559834361076355,0.1767999827861786,0.16808924078941345,0.12430956214666367,0.157150536775589
stroud,0.27496564388275146,0.142195925116539,0.18571507930755615,0.2688091993331909,0.2695991098880768,0.312886118888855,1.0,0.2852144241333008,0.27496564388275146,0.2476186603307724,0.2294096201658249,0.16558927297592163,0.13911229372024536
after,0.44050168991088867,0.21973377466201782,0.336445689201355,0.49306565523147583,0.17218464612960815,0.17089210450649261,0.20173630118370056,0.2491346001625061,0.44050168991088867,0.3831600844860077,0.12355173379182816,0.22895275056362152,0.16608688235282898
she,0.39094278216362,0.23844075202941895,0.26100194454193115,0.42156049609184265,0.3170505464076996,0.3690880835056305,0.21830978989601135,0.2055266946554184,0.39094278216362,0.3591071665287018,0.2079346776008606,0.20665456354618073,0.14223381876945496
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.2519332468509674,0.26819300651550293,0.2688091993331909,0.28832241892814636,0.45514053106307983,0.4508470594882965,0.24960921704769135,0.2414487898349762,0.18412111699581146
