,what,receptors,do,tumor,cells,often,have,reduced,concentrations,of,?
tumor,0.245636448264122,0.3552692234516144,0.18276488780975342,1.0,0.46796542406082153,0.15663786232471466,0.1509987860918045,0.08181781321763992,0.22567324340343475,0.22209933400154114,0.18998058140277863
cells,0.1758001297712326,0.5704531669616699,0.2676107585430145,0.46796542406082153,1.0,0.2250869870185852,0.294906347990036,0.1992863267660141,0.325562059879303,0.21305565536022186,0.1898086667060852
often,0.3849453330039978,0.28956955671310425,0.30438441038131714,0.15663786232471466,0.2250869870185852,1.0000001192092896,0.4610420763492584,0.25699353218078613,0.28583621978759766,0.3351972997188568,0.23748154938220978
have,0.39808809757232666,0.31169894337654114,0.49831271171569824,0.1509987860918045,0.294906347990036,0.4610420763492584,0.9999999403953552,0.3461938798427582,0.27198880910873413,0.3802283704280853,0.32991164922714233
a,0.3320399522781372,0.22610558569431305,0.26237669587135315,0.25356221199035645,0.2297232300043106,0.3930865228176117,0.338716596364975,0.2214837223291397,0.2025378793478012,0.5052502155303955,0.23916715383529663
reduced,0.11519023776054382,0.21818099915981293,0.17846602201461792,0.08181781321763992,0.1992863267660141,0.25699353218078613,0.3461938798427582,1.0,0.34116560220718384,0.30275818705558777,0.10234767943620682
number,0.23046229779720306,0.22122688591480255,0.21539703011512756,0.14556258916854858,0.16670989990234375,0.290420264005661,0.3633861541748047,0.27535778284072876,0.2764070928096771,0.2778518795967102,0.19256845116615295
of,0.33290785551071167,0.19634202122688293,0.26150479912757874,0.22209933400154114,0.21305565536022186,0.3351972997188568,0.3802283704280853,0.30275818705558777,0.2697436809539795,1.0,0.1826142966747284
mhc,0.30283498764038086,0.6138448119163513,0.3136798143386841,0.40494397282600403,0.5492251515388489,0.28809401392936707,0.35094398260116577,0.2905263900756836,0.38632726669311523,0.2909306585788727,0.21010775864124298
class,0.16880196332931519,0.18659058213233948,0.15967817604541779,0.07426197081804276,0.17829304933547974,0.1089857965707779,0.19084791839122772,0.16933989524841309,0.12737487256526947,0.19740594923496246,0.12778934836387634
i,0.4411132335662842,0.20342744886875153,0.39633429050445557,0.12357273697853088,0.18248969316482544,0.20351457595825195,0.3702464699745178,0.17766515910625458,0.15918682515621185,0.25849398970603943,0.4695145785808563
molecules,0.2143162339925766,0.5433341264724731,0.19337092339992523,0.30136051774024963,0.5185227394104004,0.2842182517051697,0.2827518880367279,0.23158468306064606,0.4499228000640869,0.24428431689739227,0.17409995198249817
on,0.34226128458976746,0.19649313390254974,0.3025321364402771,0.19277973473072052,0.14727668464183807,0.24822035431861877,0.36494916677474976,0.18277303874492645,0.21546733379364014,0.3966929316520691,0.2714994251728058
their,0.35142919421195984,0.30560606718063354,0.35424983501434326,0.14948239922523499,0.2534589171409607,0.4525530934333801,0.523270845413208,0.29240861535072327,0.2948004901409149,0.4329940676689148,0.1898253709077835
surface,0.23580394685268402,0.32215967774391174,0.17361098527908325,0.2426559329032898,0.31813645362854004,0.2739731967449188,0.24156825244426727,0.2093290537595749,0.3860442340373993,0.24204103648662567,0.14613434672355652
",",0.3087472915649414,0.157633438706398,0.3283645510673523,0.29120704531669617,0.20582014322280884,0.24139221012592316,0.3541618287563324,0.19148744642734528,0.26759904623031616,0.4946078956127167,0.31091248989105225
thus,0.30745524168014526,0.23428401350975037,0.257389098405838,0.11277236044406891,0.2601000964641571,0.27057304978370667,0.3490366041660309,0.29686620831489563,0.22595755755901337,0.3487406373023987,0.18769288063049316
avoiding,0.2860614061355591,0.26571717858314514,0.2698667049407959,0.15274421870708466,0.220699280500412,0.3787420094013214,0.2768804132938385,0.39333656430244446,0.27532830834388733,0.19775328040122986,0.2956450283527374
detection,0.24060435593128204,0.3838478922843933,0.19166910648345947,0.2211635708808899,0.3145519495010376,0.23455524444580078,0.26280421018600464,0.27274182438850403,0.24044464528560638,0.19974349439144135,0.21945825219154358
by,0.2455483376979828,0.1920928806066513,0.1481526494026184,0.15780745446681976,0.19208736717700958,0.32333052158355713,0.3359639644622803,0.2828289866447449,0.20395925641059875,0.3646814823150635,0.17966607213020325
killer,0.1868809163570404,0.24210646748542786,0.13329648971557617,0.21588508784770966,0.2414173036813736,0.17161066830158234,0.22529496252536774,0.1250411719083786,0.09498049318790436,0.18559542298316956,0.13010363280773163
t,0.37454068660736084,0.23740226030349731,0.3906288743019104,0.1986316442489624,0.25527921319007874,0.20533253252506256,0.3575960099697113,0.14588873088359833,0.13861282169818878,0.14617829024791718,0.4954066574573517
cells,0.1758001297712326,0.5704531669616699,0.2676107585430145,0.46796542406082153,1.0,0.2250869870185852,0.294906347990036,0.1992863267660141,0.325562059879303,0.21305565536022186,0.1898086667060852
.,0.3567904531955719,0.2069593220949173,0.3613996207714081,0.23771098256111145,0.2868211269378662,0.30710849165916443,0.41614407300949097,0.23652395606040955,0.24612410366535187,0.5352458953857422,0.4130953550338745
