,what,type,of,entrepreneurship,leads,to,advancements,in,technology,?
necessity-based,0.4043339192867279,0.2921549081802368,0.3805050253868103,0.25537753105163574,0.23416933417320251,0.32675987482070923,0.40325385332107544,0.32745638489723206,0.28151997923851013,0.2936074435710907
entrepreneurship,0.1474476456642151,0.14684566855430603,0.21051692962646484,0.9999999403953552,0.16328640282154083,0.2157515585422516,0.3203134834766388,0.19772125780582428,0.3903008997440338,0.20703251659870148
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.18708662688732147,0.29526054859161377,0.42745086550712585,0.19309867918491364,0.5394441485404968,0.20767556130886078,0.22961433231830597
motivated,0.35559260845184326,0.15296980738639832,0.21040669083595276,0.20328070223331451,0.25469887256622314,0.33840689063072205,0.178488090634346,0.21012412011623383,0.07933766394853592,0.33650898933410645
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.21264949440956116,0.23493564128875732,0.33534231781959534,0.27038851380348206,0.370934396982193,0.15235473215579987,0.17966607213020325
survival,0.2852509021759033,0.18893903493881226,0.25278621912002563,0.23976664245128632,0.23503486812114716,0.24324049055576324,0.27829885482788086,0.19040663540363312,0.14906851947307587,0.21398140490055084
needs,0.3272848129272461,0.2467174381017685,0.17594867944717407,0.21242943406105042,0.23177091777324677,0.3999912142753601,0.24157366156578064,0.18482829630374908,0.22538170218467712,0.34586572647094727
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.22036112844944,0.20550167560577393,0.2871878743171692,0.3642025887966156,0.2704046070575714,0.22443680465221405,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.27731525897979736,0.1963365375995636,0.42092081904411316,0.26455268263816833,0.3887844979763031,0.197757288813591,0.27043893933296204
income,0.21837803721427917,0.16370734572410583,0.2581324577331543,0.27419787645339966,0.12672139704227448,0.27188464999198914,0.24804970622062683,0.1795814335346222,0.15797622501850128,0.14935168623924255
