,who,is,the,patron,saint,of,the,huguenots,?
some,0.3978389501571655,0.3038453459739685,0.4566698372364044,0.2009838968515396,0.16536884009838104,0.4300730526447296,0.4566698372364044,0.24430227279663086,0.2562315762042999
huguenot,0.32233482599258423,0.12706810235977173,0.29557526111602783,0.37072673439979553,0.37662187218666077,0.29061198234558105,0.29557526111602783,0.9459913372993469,0.1359742432832718
families,0.29288235306739807,0.1591806262731552,0.26391902565956116,0.17345747351646423,0.04886533319950104,0.2529911398887634,0.26391902565956116,0.32744377851486206,0.14422203600406647
have,0.39246654510498047,0.3613572418689728,0.40389683842658997,0.14404544234275818,0.1485907882452011,0.3802283704280853,0.40389683842658997,0.18640954792499542,0.32991164922714233
kept,0.20781061053276062,0.22417712211608887,0.3135738670825958,0.15985147655010223,0.1642782837152481,0.25036442279815674,0.3135738670825958,0.2312605082988739,0.15157312154769897
alive,0.3644612729549408,0.21544960141181946,0.27193450927734375,0.24249495565891266,0.16936683654785156,0.256946325302124,0.27193450927734375,0.16353756189346313,0.23385611176490784
various,0.21537287533283234,0.13601526618003845,0.3235042691230774,0.14301611483097076,0.09339168667793274,0.3196488320827484,0.3235042691230774,0.15688177943229675,0.12823495268821716
traditions,0.28564631938934326,0.2456929087638855,0.26193809509277344,0.3023239076137543,0.24874462187290192,0.2921203374862671,0.26193809509277344,0.32793280482292175,0.18007412552833557
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.26552265882492065,0.22400714457035065,0.4946078956127167,0.4933079481124878,0.23394492268562317,0.31091248989105225
such,0.2594927251338959,0.23545363545417786,0.3575236201286316,0.21921934187412262,0.13478738069534302,0.3209529519081116,0.3575236201286316,0.13077452778816223,0.17851735651493073
as,0.3923053741455078,0.43216490745544434,0.48381632566452026,0.25182363390922546,0.14965227246284485,0.3886612355709076,0.48381632566452026,0.14947842061519623,0.27043893933296204
the,0.3733934462070465,0.5823672413825989,1.0,0.20904411375522614,0.24700650572776794,0.733189046382904,1.0,0.30745792388916016,0.22068053483963013
celebration,0.22678524255752563,0.19069895148277283,0.30612465739250183,0.4004012644290924,0.22030678391456604,0.27687039971351624,0.30612465739250183,0.3361346125602722,0.1872778683900833
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.2552230656147003,0.19080747663974762,0.5116966962814331,0.5171257257461548,0.28783127665519714,0.20544172823429108
feast,0.2281881719827652,0.1906369924545288,0.25231829285621643,0.449933260679245,0.42334404587745667,0.22779883444309235,0.25231829285621643,0.3741106688976288,0.2296169102191925
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.28022560477256775,0.27986469864845276,1.0,0.733189046382904,0.27577435970306396,0.1826142966747284
their,0.3767721951007843,0.2101074606180191,0.516537070274353,0.1548522263765335,0.07313403487205505,0.4329940676689148,0.516537070274353,0.30116045475006104,0.1898253709077835
patron,0.3524279296398163,0.17144040763378143,0.20904411375522614,1.0000001192092896,0.5019579529762268,0.28022560477256775,0.20904411375522614,0.3305542767047882,0.08445527404546738
saint,0.19721253216266632,0.2384635955095291,0.24700650572776794,0.5019579529762268,1.0,0.27986469864845276,0.24700650572776794,0.3869786262512207,0.15690264105796814
nicolas,0.25645673274993896,0.1911228746175766,0.22387516498565674,0.20826831459999084,0.327666699886322,0.13674136996269226,0.22387516498565674,0.3095526099205017,0.049000486731529236
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.26552265882492065,0.22400714457035065,0.4946078956127167,0.4933079481124878,0.23394492268562317,0.31091248989105225
similar,0.20777717232704163,0.28929588198661804,0.2963123023509979,0.0807134360074997,0.16261941194534302,0.2911645472049713,0.2963123023509979,0.08898182213306427,0.23309361934661865
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.23207345604896545,0.20921090245246887,0.41548454761505127,0.535392165184021,0.2685132324695587,0.29463258385658264
the,0.3733934462070465,0.5823672413825989,1.0,0.20904411375522614,0.24700650572776794,0.733189046382904,1.0,0.30745792388916016,0.22068053483963013
dutch,0.25214898586273193,0.12900666892528534,0.1705695390701294,0.15274539589881897,0.13687749207019806,0.14408773183822632,0.1705695390701294,0.37400156259536743,0.1081366017460823
sint,0.14947329461574554,0.21021147072315216,0.19153594970703125,0.19277068972587585,0.4386202394962311,0.234359472990036,0.19153594970703125,0.3591446578502655,0.14411301910877228
nicolaas,0.25978806614875793,0.2095482498407364,0.22417233884334564,0.24961765110492706,0.31802254915237427,0.19331461191177368,0.22417233884334564,0.3446701169013977,0.06697041541337967
(,0.2443375140428543,0.35393038392066956,0.33289089798927307,0.20574329793453217,0.2404201775789261,0.35032153129577637,0.33289089798927307,0.15251360833644867,0.40561532974243164
sinterklaas,0.29260608553886414,0.35101139545440674,0.3630061149597168,0.31440991163253784,0.4059443175792694,0.3351743817329407,0.3630061149597168,0.4243823289871216,0.22689279913902283
),0.2457384318113327,0.37732169032096863,0.3456730246543884,0.21866153180599213,0.25420159101486206,0.3680361211299896,0.3456730246543884,0.16255038976669312,0.42300865054130554
feast,0.2281881719827652,0.1906369924545288,0.25231829285621643,0.449933260679245,0.42334404587745667,0.22779883444309235,0.25231829285621643,0.3741106688976288,0.2296169102191925
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.14797191321849823,0.21988746523857117,0.5352458953857422,0.5934505462646484,0.2170230895280838,0.4130953550338745
