,what,project,did,harvard,halt,due,to,the,financial,crisis,?
one,0.376489520072937,0.23462609946727753,0.27659472823143005,0.1897483766078949,0.11937601864337921,0.19303388893604279,0.4025384783744812,0.5514441132545471,0.19375915825366974,0.1212865486741066,0.2673267424106598
of,0.33290785551071167,0.17578177154064178,0.2513895630836487,0.25842633843421936,0.1687774956226349,0.2533245384693146,0.41548454761505127,0.733189046382904,0.30178552865982056,0.2267792969942093,0.1826142966747284
the,0.42745697498321533,0.2027820199728012,0.34736719727516174,0.24496200680732727,0.2116575539112091,0.22577603161334991,0.535392165184021,1.0,0.29952070116996765,0.263981431722641,0.22068053483963013
most,0.3219912350177765,0.13941191136837006,0.2822507321834564,0.15653693675994873,0.08947324752807617,0.20159634947776794,0.321603000164032,0.47635307908058167,0.20496731996536255,0.1439344584941864,0.2107497900724411
visible,0.29748985171318054,0.24460215866565704,0.12534764409065247,0.15266185998916626,0.1250731498003006,0.23700720071792603,0.2472568303346634,0.3234308958053589,0.06139369681477547,0.06946805119514465,0.16810297966003418
results,0.2425258755683899,0.20286503434181213,0.27762722969055176,0.1469002366065979,0.20157691836357117,0.26909705996513367,0.24358662962913513,0.2863679826259613,0.2550869584083557,0.18806670606136322,0.21797199547290802
of,0.33290785551071167,0.17578177154064178,0.2513895630836487,0.25842633843421936,0.1687774956226349,0.2533245384693146,0.41548454761505127,0.733189046382904,0.30178552865982056,0.2267792969942093,0.1826142966747284
harvard,0.2177114188671112,0.19208288192749023,0.12897181510925293,1.0,0.051860664039850235,0.14087767899036407,0.2043667882680893,0.24496200680732727,0.19461186230182648,0.18987533450126648,0.11685016006231308
's,0.02692362666130066,0.07063660025596619,0.05069678649306297,-0.06887804716825485,0.024537229910492897,0.03925589844584465,0.03782717138528824,-0.01540423184633255,0.06992136687040329,-0.09148845076560974,-0.023395681753754616
attempt,0.2411041408777237,0.1858273595571518,0.3181029260158539,0.12901772558689117,0.23967839777469635,0.23108802735805511,0.4458620846271515,0.2614527940750122,0.2194513976573944,0.21930557489395142,0.16559520363807678
to,0.455847829580307,0.28750085830688477,0.4452643394470215,0.2043667882680893,0.23714932799339294,0.35188060998916626,1.0,0.535392165184021,0.27715611457824707,0.21038146317005157,0.29463258385658264
re-balance,0.3116649091243744,0.15158306062221527,0.22315900027751923,0.16111429035663605,0.27985677123069763,0.2965167462825775,0.29857051372528076,0.29733806848526,0.28161370754241943,0.30404868721961975,0.26689252257347107
its,0.30393704771995544,0.1686115711927414,0.19922670722007751,0.18569302558898926,0.16544698178768158,0.32322585582733154,0.3691340684890747,0.559237003326416,0.2625470757484436,0.18487988412380219,0.15103481709957123
budget,0.1832011640071869,0.25614890456199646,0.2349563091993332,0.2032407522201538,0.20398882031440735,0.23951688408851624,0.24614150822162628,0.22188150882720947,0.34322836995124817,0.2759450674057007,0.14098747074604034
was,0.22111038863658905,0.17915812134742737,0.41399896144866943,0.2415156066417694,0.12503935396671295,0.29011407494544983,0.3636345863342285,0.48711544275283813,0.24977709352970123,0.20050278306007385,0.18412111699581146
their,0.35142919421195984,0.16536840796470642,0.38078752160072327,0.12904533743858337,0.1490776091814041,0.24727599322795868,0.44619059562683105,0.516537070274353,0.2539990544319153,0.14484691619873047,0.1898253709077835
halting,0.38435983657836914,0.23612995445728302,0.23011085391044617,0.15908361971378326,0.6085803508758545,0.26393362879753113,0.2921876013278961,0.3052327036857605,0.2548547685146332,0.2380295693874359,0.27661779522895813
of,0.33290785551071167,0.17578177154064178,0.2513895630836487,0.25842633843421936,0.1687774956226349,0.2533245384693146,0.41548454761505127,0.733189046382904,0.30178552865982056,0.2267792969942093,0.1826142966747284
construction,0.20329850912094116,0.39453527331352234,0.1474381983280182,0.1978333741426468,0.22094304859638214,0.20439539849758148,0.24810278415679932,0.2671978175640106,0.37158337235450745,0.2276366651058197,0.13494056463241577
of,0.33290785551071167,0.17578177154064178,0.2513895630836487,0.25842633843421936,0.1687774956226349,0.2533245384693146,0.41548454761505127,0.733189046382904,0.30178552865982056,0.2267792969942093,0.1826142966747284
the,0.42745697498321533,0.2027820199728012,0.34736719727516174,0.24496200680732727,0.2116575539112091,0.22577603161334991,0.535392165184021,1.0,0.29952070116996765,0.263981431722641,0.22068053483963013
$,0.24858909845352173,0.18965274095535278,0.23203131556510925,0.19535687565803528,0.13423208892345428,0.16078303754329681,0.22282108664512634,0.23367542028427124,0.2532128691673279,0.15684492886066437,0.2786129117012024
1.2,0.14770597219467163,0.1139783039689064,0.057040438055992126,0.1161022037267685,0.1427958458662033,0.0678580105304718,0.055144503712654114,0.14670993387699127,0.13056513667106628,0.13675758242607117,0.15333291888237
billion,0.262668639421463,0.19453532993793488,0.1482735127210617,0.21851566433906555,0.14288993179798126,0.2118435800075531,0.2046312391757965,0.2162325382232666,0.2396508753299713,0.22132909297943115,0.25791820883750916
allston,0.17020148038864136,0.12990626692771912,0.18303295969963074,0.3265894949436188,0.11336735635995865,0.1744261085987091,0.16905508935451508,0.23489287495613098,0.15854813158512115,0.11377719044685364,0.17989090085029602
science,0.2612018585205078,0.2288607805967331,0.14819081127643585,0.3728550970554352,0.10994353145360947,0.13417932391166687,0.2226530760526657,0.24037593603134155,0.22823621332645416,0.23596252501010895,0.17974960803985596
complex,0.2605343163013458,0.21056348085403442,0.16201281547546387,0.14995130896568298,0.0796700268983841,0.14379145205020905,0.2934706509113312,0.25326284766197205,0.18562495708465576,0.11078998446464539,0.17752902209758759
that,0.6297725439071655,0.29938963055610657,0.47518548369407654,0.21386723220348358,0.20672518014907837,0.2827286720275879,0.5436353087425232,0.5473989248275757,0.2712239921092987,0.23239389061927795,0.32716336846351624
had,0.23849567770957947,0.17653261125087738,0.540525496006012,0.15990322828292847,0.1370278149843216,0.24372361600399017,0.37984350323677063,0.3875846862792969,0.2231896072626114,0.17017406225204468,0.20728366076946259
been,0.2567804455757141,0.2192811518907547,0.2835664749145508,0.2112852931022644,0.10079306364059448,0.24634958803653717,0.34945759177207947,0.3563927710056305,0.15991327166557312,0.16791625320911407,0.24354910850524902
scheduled,0.17637485265731812,0.19517216086387634,0.2404600977897644,0.09880206733942032,0.15975770354270935,0.2704840302467346,0.25710105895996094,0.23960356414318085,0.26867520809173584,0.1550929844379425,0.15473315119743347
to,0.455847829580307,0.28750085830688477,0.4452643394470215,0.2043667882680893,0.23714932799339294,0.35188060998916626,1.0,0.535392165184021,0.27715611457824707,0.21038146317005157,0.29463258385658264
be,0.3929833769798279,0.2489052563905716,0.22657383978366852,0.1758749634027481,0.196608766913414,0.29785820841789246,0.4972836375236511,0.4248143136501312,0.180576354265213,0.18682587146759033,0.3324260413646698
completed,0.19063329696655273,0.3138812780380249,0.2574852406978607,0.1923736184835434,0.1659427285194397,0.1793018877506256,0.2867361009120941,0.29278936982154846,0.27098751068115234,0.12287187576293945,0.08272653818130493
by,0.2455483376979828,0.2110227346420288,0.18574509024620056,0.18136346340179443,0.21209287643432617,0.22024279832839966,0.33534231781959534,0.4408751428127289,0.19205018877983093,0.1594943255186081,0.17966607213020325
2011,0.04286744073033333,-0.0552254319190979,-0.03760814294219017,-0.029918933287262917,0.05943622440099716,-0.032870303839445114,0.03410811722278595,0.07811610400676727,0.04232131689786911,0.037762511521577835,0.005212190095335245
",",0.3087472915649414,0.24875426292419434,0.3015086054801941,0.2719281017780304,0.17235009372234344,0.3106630742549896,0.44245919585227966,0.4933079481124878,0.25465908646583557,0.18660308420658112,0.31091248989105225
resulting,0.17960047721862793,0.1624312847852707,0.17864365875720978,0.13929642736911774,0.30657294392585754,0.4310187101364136,0.26808956265449524,0.3905409574508667,0.26937565207481384,0.29227128624916077,0.10813049972057343
in,0.30808621644973755,0.16277937591075897,0.2593238651752472,0.26072487235069275,0.13919182121753693,0.2516716718673706,0.45010748505592346,0.6662389636039734,0.23881284892559052,0.19426369667053223,0.20430970191955566
protests,0.15672723948955536,0.16954772174358368,0.22710490226745605,0.13927771151065826,0.26175835728645325,0.17808982729911804,0.188382089138031,0.2566162943840027,0.25076791644096375,0.288799911737442,0.18455082178115845
from,0.2737620174884796,0.17965814471244812,0.20248863101005554,0.2288978099822998,0.16085021197795868,0.2898779809474945,0.4069952368736267,0.40150508284568787,0.22108370065689087,0.1873762011528015,0.19969791173934937
local,0.18981902301311493,0.15997901558876038,0.1319427639245987,0.12143126130104065,0.22478769719600677,0.12393408268690109,0.2207600325345993,0.2130540907382965,0.2231408953666687,0.09940976649522781,0.15022775530815125
residents,0.21107541024684906,0.10258062928915024,0.182059183716774,0.10157258063554764,0.18571221828460693,0.21481062471866608,0.27325206995010376,0.28274044394493103,0.23180587589740753,0.20106051862239838,0.09602975845336914
.,0.3567904531955719,0.23938670754432678,0.35288307070732117,0.254516065120697,0.18425394594669342,0.19861014187335968,0.4645031690597534,0.5934505462646484,0.22828321158885956,0.15965543687343597,0.4130953550338745
