,what,building,material,does,the,entrance,hall,and,flanking,staircases,use,predominantly,?
the,0.42745697498321533,0.3159640431404114,0.26762521266937256,0.35928019881248474,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.3443068861961365,0.2993297278881073,0.34342584013938904,0.3429192900657654,0.22068053483963013
interior,0.15294553339481354,0.35109493136405945,0.19453006982803345,0.14182719588279724,0.30233609676361084,0.2895596921443939,0.16300033032894135,0.22730383276939392,0.2230166792869568,0.2473352998495102,0.08876939862966537,0.16588382422924042,0.07520901411771774
makes,0.2867553234100342,0.20632775127887726,0.2073090374469757,0.5149580240249634,0.3029823303222656,0.12223127484321594,0.0935555249452591,0.34688496589660645,0.20674939453601837,0.16650627553462982,0.34425097703933716,0.14935578405857086,0.22145044803619385
much,0.45316147804260254,0.2289905697107315,0.35707327723503113,0.38653305172920227,0.35023224353790283,0.13012683391571045,0.11047914624214172,0.38395699858665466,0.18945854902267456,0.18342171609401703,0.38976505398750305,0.28989288210868835,0.23442231118679047
use,0.3453877568244934,0.1878126859664917,0.27327945828437805,0.39963871240615845,0.34342584013938904,0.15987472236156464,0.0850943922996521,0.34145063161849976,0.22889520227909088,0.2424730509519577,1.0,0.23283326625823975,0.32795652747154236
of,0.33290785551071167,0.26200541853904724,0.27520954608917236,0.3119818866252899,0.733189046382904,0.2534947693347931,0.23551815748214722,0.5116966962814331,0.29930874705314636,0.22887441515922546,0.2750902473926544,0.2868182361125946,0.1826142966747284
marble,0.15380670130252838,0.27632611989974976,0.3255400061607361,0.13154934346675873,0.20984917879104614,0.2614555358886719,0.2658277451992035,0.2179625779390335,0.2487623244524002,0.37450888752937317,0.1635913848876953,0.1860959678888321,0.1785782128572464
in,0.30808621644973755,0.3256937265396118,0.20527449250221252,0.214483380317688,0.6662389636039734,0.215397909283638,0.23692627251148224,0.4954058527946472,0.2046426385641098,0.24277842044830322,0.2715643048286438,0.3027570843696594,0.20430970191955566
the,0.42745697498321533,0.3159640431404114,0.26762521266937256,0.35928019881248474,1.0,0.31372344493865967,0.28526565432548523,0.5171257257461548,0.3443068861961365,0.2993297278881073,0.34342584013938904,0.3429192900657654,0.22068053483963013
entrance,0.20933914184570312,0.33587223291397095,0.19466623663902283,0.11505763232707977,0.31372344493865967,1.0000001192092896,0.34310591220855713,0.24038183689117432,0.2946837842464447,0.47203031182289124,0.15987472236156464,0.17112620174884796,0.07963564246892929
hall,0.10849796235561371,0.39172402024269104,0.08648078888654709,0.119517482817173,0.28526565432548523,0.34310591220855713,1.0000001192092896,0.22863666713237762,0.14769144356250763,0.3393888771533966,0.0850943922996521,0.08309303224086761,0.13520537316799164
and,0.31309178471565247,0.2593274712562561,0.2923409640789032,0.3461615741252899,0.5171257257461548,0.24038183689117432,0.22863666713237762,1.0,0.263258159160614,0.29552584886550903,0.34145063161849976,0.35241156816482544,0.20544172823429108
flanking,0.2466709464788437,0.27138200402259827,0.26215481758117676,0.1631765514612198,0.3443068861961365,0.2946837842464447,0.14769144356250763,0.263258159160614,1.0,0.35695040225982666,0.22889520227909088,0.19058974087238312,0.1695692539215088
staircases,0.1440056562423706,0.44956058263778687,0.2676815092563629,0.15386606752872467,0.2993297278881073,0.47203031182289124,0.3393888771533966,0.29552584886550903,0.35695040225982666,0.9999999403953552,0.2424730509519577,0.19939212501049042,0.0826810821890831
",",0.3087472915649414,0.2374238669872284,0.2189585268497467,0.28617382049560547,0.4933079481124878,0.14223605394363403,0.2648565471172333,0.6633074283599854,0.2198912650346756,0.2154913693666458,0.3276674151420593,0.2613855004310608,0.31091248989105225
