,how,many,times,has,polonia,won,the,cup,?
they,0.43247655034065247,0.5400822758674622,0.29107025265693665,0.3512192368507385,0.22645649313926697,0.24913105368614197,0.49925389885902405,0.16177669167518616,0.2753053903579712
also,0.43506327271461487,0.6258217096328735,0.36468109488487244,0.505894660949707,0.16723069548606873,0.2677966356277466,0.6021018624305725,0.24591973423957825,0.21848613023757935
won,0.13434793055057526,0.2252970188856125,0.28882861137390137,0.24499812722206116,0.2163372039794922,1.0000001192092896,0.29432493448257446,0.40167906880378723,0.17925700545310974
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.4177538752555847,0.21647357940673828,0.29432493448257446,1.0,0.2653277516365051,0.22068053483963013
country,0.17206698656082153,0.26946935057640076,0.17762890458106995,0.23112818598747253,0.20889174938201904,0.2185354083776474,0.30432501435279846,0.16368626058101654,0.12647280097007751
’,0.0033065308816730976,-0.03524194285273552,0.07051056623458862,0.005407624877989292,-0.01577742211520672,0.0037334782537072897,-0.04090067744255066,0.09113544970750809,0.045561522245407104
s,0.3008496165275574,0.23985140025615692,0.19373856484889984,0.30471566319465637,0.12783436477184296,0.24409353733062744,0.46610721945762634,0.19654063880443573,0.25130221247673035
championship,0.10684323310852051,0.16601915657520294,0.27100425958633423,0.161984384059906,0.21072211861610413,0.48160451650619507,0.2540402412414551,0.47124308347702026,0.1390383541584015
in,0.2601168751716614,0.41474202275276184,0.2427823841571808,0.4173259735107422,0.25500866770744324,0.3280489146709442,0.6662389636039734,0.18358288705348969,0.20430970191955566
1946,0.09524103254079819,0.17570863664150238,0.06402450054883957,0.11135687679052353,0.04964251071214676,0.004805780481547117,0.10058440268039703,0.026335028931498528,-0.07362531870603561
",",0.22659391164779663,0.40610817074775696,0.2897866368293762,0.3734780251979828,0.23812589049339294,0.35968565940856934,0.4933079481124878,0.24105596542358398,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2611900568008423,0.43716782331466675,0.17527571320533752,0.2795773446559906,0.5171257257461548,0.16399618983268738,0.20544172823429108
won,0.13434793055057526,0.2252970188856125,0.28882861137390137,0.24499812722206116,0.2163372039794922,1.0000001192092896,0.29432493448257446,0.40167906880378723,0.17925700545310974
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.4177538752555847,0.21647357940673828,0.29432493448257446,1.0,0.2653277516365051,0.22068053483963013
cup,0.1779293417930603,0.1477222889661789,0.21910470724105835,0.1179090291261673,0.19867491722106934,0.40167906880378723,0.2653277516365051,0.9999998807907104,0.15976834297180176
twice,0.21883222460746765,0.24584728479385376,0.6039055585861206,0.3926198482513428,0.205271378159523,0.3799522817134857,0.3638015687465668,0.2872242033481598,0.16248004138469696
as,0.33782753348350525,0.4070141911506653,0.2614286541938782,0.351646363735199,0.12238915264606476,0.21471917629241943,0.48381632566452026,0.15327765047550201,0.27043893933296204
well,0.410734087228775,0.5438802242279053,0.23596689105033875,0.3327649235725403,0.09056918323040009,0.24328580498695374,0.42630070447921753,0.19279012084007263,0.24815571308135986
.,0.3287222981452942,0.3974229395389557,0.2891986668109894,0.4105546176433563,0.2644508481025696,0.3011801838874817,0.5934505462646484,0.23782941699028015,0.4130953550338745
