,what,was,the,image,of,luther,a,contrast,to,the,life,of,?
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.11082158237695694,0.38364991545677185,0.27093374729156494,0.3497250974178314,0.15329118072986603,0.3715193271636963,0.4394008219242096,0.37379691004753113,0.38364991545677185,0.18075084686279297
large,0.2017821967601776,0.21717436611652374,0.3828733265399933,0.18898917734622955,0.3569655418395996,0.07029439508914948,0.3740714490413666,0.2736465632915497,0.3150999844074249,0.3828733265399933,0.16395196318626404,0.3569655418395996,0.1355665624141693
body,0.2143840193748474,0.19372783601284027,0.31682634353637695,0.15562094748020172,0.25063133239746094,0.09127452969551086,0.26263290643692017,0.24193774163722992,0.307265043258667,0.31682634353637695,0.2704063653945923,0.25063133239746094,0.20136451721191406
also,0.42747777700424194,0.4032125174999237,0.6021018624305725,0.2238777130842209,0.4924938678741455,0.22154976427555084,0.5149940252304077,0.26378703117370605,0.5348826050758362,0.6021018624305725,0.18713383376598358,0.4924938678741455,0.21848613023757935
let,0.4135519564151764,0.18481817841529846,0.2692858874797821,0.1070709228515625,0.18526852130889893,0.2060263454914093,0.24970728158950806,0.1678357571363449,0.4338173568248749,0.2692858874797821,0.22190415859222412,0.18526852130889893,0.36716893315315247
the,0.42745697498321533,0.48711544275283813,1.0,0.24039390683174133,0.733189046382904,0.1759674996137619,0.5829201340675354,0.25799670815467834,0.535392165184021,1.0,0.23528170585632324,0.733189046382904,0.22068053483963013
viewer,0.31429988145828247,0.0744023248553276,0.28629904985427856,0.27311262488365173,0.19753116369247437,0.16948772966861725,0.25860875844955444,0.29457205533981323,0.28005945682525635,0.28629904985427856,0.1499267965555191,0.19753116369247437,0.23006463050842285
know,0.6545611619949341,0.2576726973056793,0.31593990325927734,0.10529332607984543,0.24288669228553772,0.17024901509284973,0.3143780827522278,0.2147817611694336,0.3767812252044678,0.31593990325927734,0.2553519010543823,0.24288669228553772,0.5287392735481262
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.16579361259937286,0.41498205065727234,0.21746599674224854,0.47537946701049805,0.31651821732521057,0.5436353087425232,0.5473989248275757,0.2885509729385376,0.41498205065727234,0.32716336846351624
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.09870817512273788,0.38706058263778687,0.2454872578382492,0.4393508732318878,0.14164748787879944,0.385390967130661,0.4571082592010498,0.2685181796550751,0.38706058263778687,0.2089974731206894
did,0.4259131848812103,0.41399896144866943,0.34736719727516174,0.11961857229471207,0.2513895630836487,0.23667675256729126,0.2552328109741211,0.15323619544506073,0.4452643394470215,0.34736719727516174,0.22298283874988556,0.2513895630836487,0.3023456633090973
not,0.5449194312095642,0.2888734042644501,0.4310511648654938,0.1395774781703949,0.3307090103626251,0.21636232733726501,0.3791346549987793,0.2847227156162262,0.5149973034858704,0.4310511648654938,0.2449619174003601,0.3307090103626251,0.41942933201789856
shun,0.14850372076034546,0.19358763098716736,0.18354704976081848,0.11938752233982086,0.15348456799983978,0.11464404314756393,0.21749679744243622,0.06947925686836243,0.10362119227647781,0.18354704976081848,0.17243334650993347,0.15348456799983978,0.2480355054140091
earthly,0.2771674692630768,0.19206780195236206,0.23761852085590363,0.1031968891620636,0.23454757034778595,0.1879764348268509,0.20852510631084442,0.3069171607494354,0.19896456599235535,0.23761852085590363,0.27447035908699036,0.23454757034778595,0.17936712503433228
pleasures,0.31050539016723633,0.18090976774692535,0.26024314761161804,0.17377547919750214,0.2229517698287964,0.16637703776359558,0.1993977278470993,0.31813570857048035,0.2698635160923004,0.26024314761161804,0.3103165328502655,0.2229517698287964,0.2413235306739807
like,0.4320242702960968,0.19745829701423645,0.32912567257881165,0.20339812338352203,0.3244853615760803,0.13322240114212036,0.38655611872673035,0.33946290612220764,0.35482415556907654,0.32912567257881165,0.23013438284397125,0.3244853615760803,0.3268813192844391
drinking—behavior,0.36727622151374817,0.23778514564037323,0.2942483425140381,0.12194064259529114,0.27895694971084595,0.17622768878936768,0.2940690815448761,0.2608654201030731,0.3080618977546692,0.2942483425140381,0.3430754840373993,0.27895694971084595,0.25066888332366943
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.16579361259937286,0.41498205065727234,0.21746599674224854,0.47537946701049805,0.31651821732521057,0.5436353087425232,0.5473989248275757,0.2885509729385376,0.41498205065727234,0.32716336846351624
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.15568946301937103,0.4069072902202606,0.19185513257980347,0.4508470594882965,0.17308409512043,0.3636345863342285,0.48711544275283813,0.22970539331436157,0.4069072902202606,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.199119433760643,0.5052502155303955,0.17967689037322998,1.0,0.29432156682014465,0.45503583550453186,0.5829201340675354,0.27076753973960876,0.5052502155303955,0.23916715383529663
