,what,grew,on,a,global,scale,as,a,result,of,imperialism,?
',0.3245812654495239,0.14162029325962067,0.30823177099227905,0.48837921023368835,0.18156170845031738,0.11491543054580688,0.41391023993492126,0.48837921023368835,0.23247525095939636,0.39136970043182373,0.20477434992790222,0.330942302942276
'',0.08143015950918198,0.09684256464242935,0.04238596186041832,0.04890415817499161,-0.019231656566262245,0.05873636528849602,0.006628023460507393,0.04890415817499161,0.030314194038510323,0.13035868108272552,-0.013202380388975143,0.018684765323996544
[,0.010752761736512184,0.0829477608203888,0.2087296098470688,0.03893941268324852,0.1501089483499527,0.07991968095302582,0.018050309270620346,0.03893941268324852,0.008995181880891323,0.010817250236868858,0.06294383108615875,0.011015460826456547
attribution,0.37505725026130676,0.03628186509013176,0.21181967854499817,0.2590976655483246,0.2264944463968277,0.26838546991348267,0.23581354320049286,0.2590976655483246,0.2540116012096405,0.26154083013534546,0.21652713418006897,0.35129237174987793
needed,0.3631289601325989,0.15142704546451569,0.24698017537593842,0.2915569543838501,0.21806101500988007,0.19712230563163757,0.2788996696472168,0.2915569543838501,0.316159725189209,0.27215874195098877,0.17554226517677307,0.2863257825374603
],-0.03775298595428467,0.03243144974112511,-0.008521610870957375,-0.049516137689352036,0.06172538921236992,0.04487293213605881,-0.03319411352276802,-0.049516137689352036,0.055384885519742966,-0.035044461488723755,-0.0032866131514310837,-0.0022520492784678936
because,0.46729007363319397,0.2796805500984192,0.33021900057792664,0.42230045795440674,0.2177077829837799,0.21717002987861633,0.42073941230773926,0.42230045795440674,0.4216892719268799,0.4075504541397095,0.17859597504138947,0.2528740465641022
of,0.33290785551071167,0.2421051263809204,0.3966929316520691,0.5052502155303955,0.19114547967910767,0.19989530742168427,0.3886612355709076,0.5052502155303955,0.231380432844162,1.0,0.29240643978118896,0.1826142966747284
the,0.42745697498321533,0.226883202791214,0.5107308030128479,0.5829201340675354,0.17898012697696686,0.1833842247724533,0.48381632566452026,0.5829201340675354,0.27778977155685425,0.733189046382904,0.2716025412082672,0.22068053483963013
resources,0.24701403081417084,0.18031151592731476,0.24799394607543945,0.19164273142814636,0.2976861298084259,0.22293755412101746,0.25327977538108826,0.19164273142814636,0.15844959020614624,0.2746381163597107,0.2009645402431488,0.26047492027282715
made,0.23419176042079926,0.20460854470729828,0.37619519233703613,0.3180864453315735,0.14632074534893036,0.13107559084892273,0.40740177035331726,0.3180864453315735,0.2020930051803589,0.33167365193367004,0.17295384407043457,0.17218779027462006
available,0.22032985091209412,0.07936310768127441,0.3133032023906708,0.19077399373054504,0.2532658278942108,0.13892348110675812,0.23867487907409668,0.19077399373054504,0.15933364629745483,0.2416580766439438,0.10367081314325333,0.2501629889011383
by,0.2455483376979828,0.13827815651893616,0.33887791633605957,0.32094135880470276,0.16183742880821228,0.14915348589420319,0.3815547823905945,0.32094135880470276,0.21075581014156342,0.3646814823150635,0.21250218152999878,0.17966607213020325
imperialism,0.24614648520946503,0.2159726768732071,0.09501302242279053,0.17335295677185059,0.23357179760932922,0.161639004945755,0.2192956656217575,0.17335295677185059,0.14028377830982208,0.29240643978118896,1.0,0.14998586475849152
",",0.3087472915649414,0.26807159185409546,0.49057599902153015,0.427140474319458,0.1937657743692398,0.16146816313266754,0.48816442489624023,0.427140474319458,0.23341737687587738,0.4946078956127167,0.2420617640018463,0.31091248989105225
the,0.42745697498321533,0.226883202791214,0.5107308030128479,0.5829201340675354,0.17898012697696686,0.1833842247724533,0.48381632566452026,0.5829201340675354,0.27778977155685425,0.733189046382904,0.2716025412082672,0.22068053483963013
world,0.21669597923755646,0.26091840863227844,0.22789059579372406,0.22239887714385986,0.29879724979400635,0.16467724740505219,0.22848254442214966,0.22239887714385986,0.14416688680648804,0.2828933000564575,0.2946701943874359,0.17579582333564758
's,0.02692362666130066,-0.017871098592877388,0.0026888418942689896,0.04866964742541313,0.10458717495203018,0.004218825604766607,-0.05775856226682663,0.04866964742541313,0.06641998142004013,-0.03817026689648628,0.00493214325979352,-0.023395681753754616
economy,0.21764783561229706,0.2910747826099396,0.17831654846668243,0.24415728449821472,0.33824166655540466,0.23071138560771942,0.2277245819568634,0.24415728449821472,0.21193693578243256,0.2583308815956116,0.41102567315101624,0.11486924439668655
grew,0.11968503892421722,1.0000001192092896,0.14932043850421906,0.15698304772377014,0.1400173306465149,0.1357315331697464,0.18854139745235443,0.15698304772377014,0.08584551513195038,0.2421051263809204,0.2159726768732071,0.05505307391285896
significantly,0.2746123671531677,0.2514840066432953,0.25293123722076416,0.2518039345741272,0.2769242227077484,0.29223811626434326,0.32110127806663513,0.2518039345741272,0.2656964361667633,0.2703875005245209,0.2236645370721817,0.1823679804801941
and,0.31309178471565247,0.315117746591568,0.4077630043029785,0.3739250600337982,0.22193439304828644,0.23044463992118835,0.49487000703811646,0.3739250600337982,0.27436327934265137,0.5116966962814331,0.19073538482189178,0.20544172823429108
became,0.1434093862771988,0.453728586435318,0.19448097050189972,0.28774285316467285,0.09905636310577393,0.09730847924947739,0.3482101261615753,0.28774285316467285,0.1480209082365036,0.3638904094696045,0.2538340389728546,0.11374033987522125
much,0.45316147804260254,0.3246287703514099,0.2834896147251129,0.2958075702190399,0.18558107316493988,0.17292428016662598,0.36514025926589966,0.2958075702190399,0.21987712383270264,0.2671096920967102,0.18958616256713867,0.23442231118679047
more,0.3484537899494171,0.19147023558616638,0.37351730465888977,0.3452818691730499,0.2011394202709198,0.20415359735488892,0.42839905619621277,0.3452818691730499,0.23343375325202942,0.30478984117507935,0.16551199555397034,0.27894994616508484
interconnected,0.20417001843452454,0.12465368956327438,0.2603481709957123,0.2223457247018814,0.18287065625190735,0.131784126162529,0.16824983060359955,0.2223457247018814,0.2057981789112091,0.27930793166160583,0.1329430639743805,0.10313405841588974
in,0.30808621644973755,0.2749199867248535,0.46853652596473694,0.539380669593811,0.10151144117116928,0.2105615884065628,0.3887844979763031,0.539380669593811,0.25670310854911804,0.5696388483047485,0.2081184834241867,0.20430970191955566
the,0.42745697498321533,0.226883202791214,0.5107308030128479,0.5829201340675354,0.17898012697696686,0.1833842247724533,0.48381632566452026,0.5829201340675354,0.27778977155685425,0.733189046382904,0.2716025412082672,0.22068053483963013
decades,0.12673556804656982,0.21946677565574646,0.1831984519958496,0.21634238958358765,0.20995715260505676,0.11964093148708344,0.2679493725299835,0.21634238958358765,0.2041037380695343,0.22400543093681335,0.3285837769508362,0.06808225065469742
before,0.3801657259464264,0.19222961366176605,0.3903424143791199,0.3583870828151703,0.1449565440416336,0.18849849700927734,0.3552539646625519,0.3583870828151703,0.32484784722328186,0.3282964527606964,0.14747634530067444,0.2507109045982361
world,0.21669597923755646,0.26091840863227844,0.22789059579372406,0.22239887714385986,0.29879724979400635,0.16467724740505219,0.22848254442214966,0.22239887714385986,0.14416688680648804,0.2828933000564575,0.2946701943874359,0.17579582333564758
war,0.22516006231307983,0.18741190433502197,0.23017507791519165,0.2368277609348297,0.2374102622270584,0.1579498052597046,0.24018222093582153,0.2368277609348297,0.18274202942848206,0.31680163741111755,0.3913637399673462,0.15510529279708862
i,0.4411132335662842,0.07209957391023636,0.238076314330101,0.3155658543109894,0.19232608377933502,0.14273224771022797,0.28558287024497986,0.3155658543109894,0.18919871747493744,0.25849398970603943,0.23699261248111725,0.4695145785808563
",",0.3087472915649414,0.26807159185409546,0.49057599902153015,0.427140474319458,0.1937657743692398,0.16146816313266754,0.48816442489624023,0.427140474319458,0.23341737687587738,0.4946078956127167,0.2420617640018463,0.31091248989105225
making,0.30777570605278015,0.22682063281536102,0.3108430504798889,0.3237393796443939,0.2378104031085968,0.2081841081380844,0.32462048530578613,0.3237393796443939,0.18525855243206024,0.3250596821308136,0.178288996219635,0.2539324164390564
the,0.42745697498321533,0.226883202791214,0.5107308030128479,0.5829201340675354,0.17898012697696686,0.1833842247724533,0.48381632566452026,0.5829201340675354,0.27778977155685425,0.733189046382904,0.2716025412082672,0.22068053483963013
many,0.36131182312965393,0.28187963366508484,0.32520127296447754,0.2872205972671509,0.16875286400318146,0.2027052491903305,0.4070141911506653,0.2872205972671509,0.2120126336812973,0.37253960967063904,0.2443603277206421,0.2124512493610382
imperial,0.09280271828174591,0.15834876894950867,0.14511078596115112,0.1928369700908661,0.10203887522220612,0.10165201127529144,0.21129533648490906,0.1928369700908661,0.14235353469848633,0.3205159604549408,0.6758624315261841,0.10900196433067322
powers,0.24108682572841644,0.1354593187570572,0.15752583742141724,0.17258815467357635,0.1405564844608307,0.11763989925384521,0.28767555952072144,0.17258815467357635,0.23067399859428406,0.22709226608276367,0.24714867770671844,0.17269276082515717
rich,0.22860300540924072,0.28858333826065063,0.15688900649547577,0.25359082221984863,0.11164727807044983,0.1325615793466568,0.22467732429504395,0.25359082221984863,0.10034684836864471,0.23752830922603607,0.19152869284152985,0.13849185407161713
