,what,is,another,term,for,university-preparatory,schools,?
this,0.5489566326141357,0.480927973985672,0.5523360371589661,0.3113332986831665,0.5082864165306091,0.24978141486644745,0.19956094026565552,0.3155723512172699
category,0.22909165918827057,0.1963299959897995,0.19155335426330566,0.19209782779216766,0.3097994327545166,0.17863796651363373,0.1851755678653717,0.2558678686618805
includes,0.17138352990150452,0.4033885896205902,0.17415325343608856,0.22192968428134918,0.3552350699901581,0.22551925480365753,0.17809028923511505,0.14011523127555847
university-preparatory,0.2397565394639969,0.23309992253780365,0.247306689620018,0.19035068154335022,0.27161499857902527,1.0000001192092896,0.4967142641544342,0.18451720476150513
schools,0.1820785105228424,0.2022145688533783,0.16504782438278198,0.1905326247215271,0.2320515662431717,0.4967142641544342,1.0,0.18349280953407288
or,0.33867141604423523,0.41870999336242676,0.4401204288005829,0.34949591755867004,0.4111599624156952,0.18682728707790375,0.23524631559848785,0.32389625906944275
``,0.008517155423760414,0.058766357600688934,0.06123349070549011,0.11803510040044785,0.01270448137074709,-0.008281828835606575,0.019756430760025978,0.0685480609536171
prep,0.21710115671157837,0.21007883548736572,0.26087766885757446,0.16503377258777618,0.30146345496177673,0.5049111843109131,0.3746900260448456,0.25586336851119995
schools,0.1820785105228424,0.2022145688533783,0.16504782438278198,0.1905326247215271,0.2320515662431717,0.4967142641544342,1.0,0.18349280953407288
'',0.08143015950918198,0.0793738141655922,0.0015353172784671187,0.13619764149188995,-0.04479556903243065,0.05311068892478943,0.07826808094978333,0.018684765323996544
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.21599270403385162,0.4464869201183319,0.3323199450969696,0.2760516405105591,0.31091248989105225
boarding,0.13694864511489868,0.17377105355262756,0.22170299291610718,0.13580170273780823,0.2551570534706116,0.44231534004211426,0.47905486822128296,0.1366773396730423
schools,0.1820785105228424,0.2022145688533783,0.16504782438278198,0.1905326247215271,0.2320515662431717,0.4967142641544342,1.0,0.18349280953407288
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.22272127866744995,0.5064792633056641,0.2934516668319702,0.29319998621940613,0.20544172823429108
day,0.2990210950374603,0.17517195641994476,0.1708863526582718,0.10983753949403763,0.23720888793468475,0.21590711176395416,0.13669390976428986,0.2141837179660797
schools,0.1820785105228424,0.2022145688533783,0.16504782438278198,0.1905326247215271,0.2320515662431717,0.4967142641544342,1.0,0.18349280953407288
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.18456575274467468,0.4726039469242096,0.3352828919887543,0.2752705216407776,0.4130953550338745
