,which,part,of,the,museum,received,the,first,major,post-war,work,?
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.24861779808998108,0.24890556931495667,1.0,0.49448907375335693,0.31775903701782227,0.3500460982322693,0.2704800069332123,0.22068053483963013
1950s,0.3753165006637573,0.2118779569864273,0.2965795397758484,0.3424292504787445,0.11383843421936035,0.2592781186103821,0.3424292504787445,0.29731088876724243,0.21366529166698456,0.15016083419322968,0.2809162437915802,0.16557677090168
and,0.506277859210968,0.35301485657691956,0.5116966962814331,0.5171257257461548,0.21554097533226013,0.24762246012687683,0.5171257257461548,0.3167642652988434,0.29795366525650024,0.2466750591993332,0.37551814317703247,0.20544172823429108
early,0.29240089654922485,0.2464199811220169,0.30937549471855164,0.34442198276519775,0.23575761914253235,0.20692770183086395,0.34442198276519775,0.4007106125354767,0.1670743227005005,0.28832682967185974,0.2853560745716095,0.15272949635982513
1960s,-0.09265822172164917,0.015244551934301853,-0.02275673858821392,-0.06868536025285721,0.16260817646980286,-0.01868259161710739,-0.06868536025285721,-0.06204143539071083,0.02431091107428074,-0.044409748166799545,-0.1721028983592987,-0.08257022500038147
saw,0.15807431936264038,0.1610429733991623,0.28204935789108276,0.318278044462204,0.13488774001598358,0.2393312007188797,0.318278044462204,0.33369511365890503,0.18345682322978973,0.2479277402162552,0.165460005402565,0.14690998196601868
little,0.290253609418869,0.16123399138450623,0.20116642117500305,0.2412613034248352,0.06933373212814331,0.15330830216407776,0.2412613034248352,0.1775916963815689,0.15923339128494263,0.13365019857883453,0.24502459168434143,0.20336517691612244
in,0.4840516746044159,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.2407650351524353,0.2772020101547241,0.6662389636039734,0.4127444326877594,0.3249945342540741,0.26482048630714417,0.2753349542617798,0.20430970191955566
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.24861779808998108,0.24890556931495667,1.0,0.49448907375335693,0.31775903701782227,0.3500460982322693,0.2704800069332123,0.22068053483963013
way,0.4262211322784424,0.24792565405368805,0.266871839761734,0.36217406392097473,0.1362258642911911,0.1353166103363037,0.36217406392097473,0.2823508083820343,0.23116034269332886,0.22494490444660187,0.3709937036037445,0.31575819849967957
of,0.5011631846427917,0.452393114566803,1.0,0.733189046382904,0.23314370214939117,0.2628524899482727,0.733189046382904,0.3536086082458496,0.2641255557537079,0.31283748149871826,0.23473061621189117,0.1826142966747284
building,0.3029557466506958,0.2476673424243927,0.26200541853904724,0.3159640431404114,0.33589062094688416,0.12384461611509323,0.3159640431404114,0.16419914364814758,0.11805087327957153,0.19114695489406586,0.3346593379974365,0.13549931347370148
work,0.30331435799598694,0.2006094753742218,0.23473061621189117,0.2704800069332123,0.1728498339653015,0.2457362860441208,0.2704800069332123,0.24996063113212585,0.1532536894083023,0.27030202746391296,1.0,0.2621155381202698
;,-0.01244901679456234,0.17379768192768097,0.054534342139959335,0.09152708947658539,0.11569859832525253,0.04927321895956993,0.09152708947658539,0.07760433852672577,0.05951778590679169,0.051952019333839417,0.044925615191459656,0.10349778085947037
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.24861779808998108,0.24890556931495667,1.0,0.49448907375335693,0.31775903701782227,0.3500460982322693,0.2704800069332123,0.22068053483963013
first,0.3828166127204895,0.2607765197753906,0.3536086082458496,0.49448907375335693,0.19499869644641876,0.22090888023376465,0.49448907375335693,1.0,0.3049021065235138,0.2992439568042755,0.24996063113212585,0.18701928853988647
major,0.31470122933387756,0.22967763245105743,0.2641255557537079,0.31775903701782227,0.13597285747528076,0.12384704500436783,0.31775903701782227,0.3049021065235138,0.9999998807907104,0.19600020349025726,0.1532536894083023,0.19788557291030884
work,0.30331435799598694,0.2006094753742218,0.23473061621189117,0.2704800069332123,0.1728498339653015,0.2457362860441208,0.2704800069332123,0.24996063113212585,0.1532536894083023,0.27030202746391296,1.0,0.2621155381202698
was,0.2830964922904968,0.3407018780708313,0.4069072902202606,0.48711544275283813,0.21266788244247437,0.3745744526386261,0.48711544275283813,0.5022147297859192,0.20676274597644806,0.26076027750968933,0.24745555222034454,0.18412111699581146
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.24861779808998108,0.24890556931495667,1.0,0.49448907375335693,0.31775903701782227,0.3500460982322693,0.2704800069332123,0.22068053483963013
creation,0.3792828321456909,0.33540257811546326,0.35750406980514526,0.34625571966171265,0.12627917528152466,0.05116935446858406,0.34625571966171265,0.24566496908664703,0.1322847157716751,0.2331746220588684,0.2595362663269043,0.2407430112361908
of,0.5011631846427917,0.452393114566803,1.0,0.733189046382904,0.23314370214939117,0.2628524899482727,0.733189046382904,0.3536086082458496,0.2641255557537079,0.31283748149871826,0.23473061621189117,0.1826142966747284
new,0.33739399909973145,0.23838530480861664,0.343457967042923,0.3845241069793701,0.14840424060821533,0.16968829929828644,0.3845241069793701,0.3283863663673401,0.19747984409332275,0.22046831250190735,0.2501217722892761,0.14782847464084625
storage,0.3534325659275055,0.1946413367986679,0.24337847530841827,0.22913692891597748,0.2665790319442749,0.12322242558002472,0.22913692891597748,0.136416956782341,0.1151713877916336,0.21815918385982513,0.30004945397377014,0.15578968822956085
space,0.2025344967842102,0.16391241550445557,0.21300287544727325,0.24495907127857208,0.17987877130508423,0.10016286373138428,0.24495907127857208,0.24688784778118134,0.1462603211402893,0.1884555220603943,0.2294510304927826,0.1885536164045334
for,0.44095608592033386,0.250704288482666,0.4185989499092102,0.4739971458911896,0.15718214213848114,0.30396392941474915,0.4739971458911896,0.3800288736820221,0.23592928051948547,0.26688334345817566,0.4087657630443573,0.264628142118454
books,0.22369812428951263,0.18582189083099365,0.18863578140735626,0.23187310993671417,0.19210147857666016,0.1328931748867035,0.23187310993671417,0.2043619453907013,0.13539719581604004,0.25361984968185425,0.3309216797351837,0.1897611767053604
in,0.4840516746044159,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.2407650351524353,0.2772020101547241,0.6662389636039734,0.4127444326877594,0.3249945342540741,0.26482048630714417,0.2753349542617798,0.20430970191955566
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.24861779808998108,0.24890556931495667,1.0,0.49448907375335693,0.31775903701782227,0.3500460982322693,0.2704800069332123,0.22068053483963013
art,0.19862167537212372,0.19549208879470825,0.22648051381111145,0.20297785103321075,0.5128974318504333,0.14273186028003693,0.20297785103321075,0.185503751039505,0.15193267166614532,0.27583590149879456,0.2805716097354889,0.138971745967865
