,what,is,a,complex,net,of,contracts,and,other,legal,obligations,?
a,0.3320399522781372,0.658733606338501,1.0,0.26552852988243103,0.1262080818414688,0.5052502155303955,0.21033822000026703,0.3739250600337982,0.2806335389614105,0.24255292117595673,0.2428174912929535,0.23916715383529663
construction,0.20329850912094116,0.2135658711194992,0.25036895275115967,0.33050382137298584,0.09585128724575043,0.2815735340118408,0.2999422252178192,0.22762417793273926,0.23197735846042633,0.2299482673406601,0.2485182285308838,0.13494056463241577
project,0.27033838629722595,0.1924840211868286,0.2328382134437561,0.21056348085403442,0.26255282759666443,0.17578177154064178,0.1859109252691269,0.23249590396881104,0.21385139226913452,0.21099784970283508,0.1941547840833664,0.30569031834602356
is,0.28837618231773376,1.0,0.658733606338501,0.2723233699798584,0.11006560176610947,0.4854315221309662,0.17589467763900757,0.3859752118587494,0.25895947217941284,0.20037926733493805,0.21203279495239258,0.22961433231830597
a,0.3320399522781372,0.658733606338501,1.0,0.26552852988243103,0.1262080818414688,0.5052502155303955,0.21033822000026703,0.3739250600337982,0.2806335389614105,0.24255292117595673,0.2428174912929535,0.23916715383529663
complex,0.2605343163013458,0.2723233699798584,0.26552852988243103,0.9999998807907104,0.02738085202872753,0.24271073937416077,0.2025873363018036,0.2597591280937195,0.2679487466812134,0.11123073101043701,0.23725175857543945,0.17752902209758759
net,0.14762049913406372,0.11006560176610947,0.1262080818414688,0.02738085202872753,1.0,0.15895754098892212,0.13289792835712433,0.14261965453624725,0.19395743310451508,0.12944239377975464,0.09805329144001007,0.20179778337478638
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.24271073937416077,0.15895754098892212,1.0,0.19568492472171783,0.5116966962814331,0.38583824038505554,0.2720220685005188,0.22609607875347137,0.1826142966747284
contracts,0.2268635481595993,0.17589467763900757,0.21033822000026703,0.2025873363018036,0.13289792835712433,0.19568492472171783,1.0,0.20802323520183563,0.22126102447509766,0.3753800094127655,0.3962673544883728,0.09254205226898193
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2597591280937195,0.14261965453624725,0.5116966962814331,0.20802323520183563,1.0,0.5504306554794312,0.2664804756641388,0.2513674199581146,0.20544172823429108
other,0.341873437166214,0.25895947217941284,0.2806335389614105,0.2679487466812134,0.19395743310451508,0.38583824038505554,0.22126102447509766,0.5504306554794312,0.9999999403953552,0.24152451753616333,0.3094997704029083,0.24682199954986572
legal,0.26388198137283325,0.20037926733493805,0.24255292117595673,0.11123073101043701,0.12944239377975464,0.2720220685005188,0.3753800094127655,0.2664804756641388,0.24152451753616333,0.9999998807907104,0.42224475741386414,0.2143220454454422
obligations,0.26247575879096985,0.21203279495239258,0.2428174912929535,0.23725175857543945,0.09805329144001007,0.22609607875347137,0.3962673544883728,0.2513674199581146,0.3094997704029083,0.42224475741386414,1.0,0.221116840839386
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2636418044567108,0.18643678724765778,0.4946078956127167,0.20246046781539917,0.6633074283599854,0.4446498453617096,0.24151813983917236,0.2152092307806015,0.31091248989105225
each,0.3353266417980194,0.2954041659832001,0.434999018907547,0.19618725776672363,0.17283976078033447,0.38460010290145874,0.24421028792858124,0.2984027564525604,0.5260580778121948,0.19106057286262512,0.29406383633613586,0.21173812448978424
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.24271073937416077,0.15895754098892212,1.0,0.19568492472171783,0.5116966962814331,0.38583824038505554,0.2720220685005188,0.22609607875347137,0.1826142966747284
which,0.5261979103088379,0.4457404911518097,0.56894451379776,0.36717817187309265,0.16077597439289093,0.5011631846427917,0.2966824769973755,0.506277859210968,0.50507652759552,0.22899343073368073,0.3432561457157135,0.25814583897590637
all,0.41981086134910583,0.2553904056549072,0.2696802616119385,0.26528844237327576,0.16575758159160614,0.42798417806625366,0.2304968237876892,0.4542157053947449,0.5273400545120239,0.20216822624206543,0.3893243968486786,0.29575422406196594
parties,0.21181418001651764,0.18434752523899078,0.2509554326534271,0.07195132225751877,-0.007290312089025974,0.2394237220287323,0.16576658189296722,0.28593164682388306,0.28949210047721863,0.31337982416152954,0.31978029012680054,0.16949701309204102
must,0.30362528562545776,0.3093329071998596,0.3016769587993622,0.14183498919010162,0.13645672798156738,0.24322323501110077,0.2053082287311554,0.33253467082977295,0.33371371030807495,0.28783610463142395,0.38391008973121643,0.23707495629787445
carefully,0.3852337598800659,0.22160780429840088,0.26007458567619324,0.26278969645500183,0.07224428653717041,0.1739562302827835,0.21019244194030762,0.31937170028686523,0.2968895733356476,0.22119559347629547,0.25813785195350647,0.22870610654354095
consider,0.44261306524276733,0.32138293981552124,0.308129221200943,0.24695688486099243,0.16427946090698242,0.3074679970741272,0.16359078884124756,0.3083309531211853,0.3172423839569092,0.32116445899009705,0.32988905906677246,0.37281370162963867
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2245299518108368,0.22163958847522736,0.5352458953857422,0.16093319654464722,0.588965117931366,0.41511186957359314,0.24492493271827698,0.1982361078262329,0.4130953550338745
