,after,the,merger,between,abc,and,capital,cities,",",who,became,the,vice,president,of,abc,broadcasting,?
it,0.36872005462646484,0.6251175999641418,0.26304227113723755,0.311247855424881,0.17324577271938324,0.40957894921302795,0.27145886421203613,0.2412966936826706,0.48329564929008484,0.2868398427963257,0.21312855184078217,0.6251175999641418,0.15421521663665771,0.20577441155910492,0.38761502504348755,0.17324577271938324,0.2340458482503891,0.25732165575027466
also,0.33205533027648926,0.6021018624305725,0.17490112781524658,0.3419207036495209,0.2030053734779358,0.5755972862243652,0.22019171714782715,0.22708983719348907,0.4717654287815094,0.47919341921806335,0.3172256350517273,0.6021018624305725,0.16132456064224243,0.17705458402633667,0.4924938678741455,0.2030053734779358,0.26302027702331543,0.21848613023757935
initiated,0.30767822265625,0.2882399260997772,0.20109130442142487,0.22696390748023987,0.1347886025905609,0.22654639184474945,0.10326184332370758,0.08963257074356079,0.20428580045700073,0.23622433841228485,0.22553741931915283,0.2882399260997772,0.1466810405254364,0.22463978826999664,0.2752402126789093,0.1347886025905609,0.21980032324790955,0.16644564270973206
several,0.264902263879776,0.40559855103492737,0.15732057392597198,0.30924007296562195,0.1428346037864685,0.4663935899734497,0.11598861962556839,0.1921219676733017,0.3402247726917267,0.30628830194473267,0.19657781720161438,0.40559855103492737,0.15850499272346497,0.12589912116527557,0.3271615505218506,0.1428346037864685,0.25119075179100037,0.15595775842666626
changes,0.2278626561164856,0.3427845537662506,0.2335892617702484,0.213847354054451,0.1437690109014511,0.27557092905044556,0.1525052785873413,0.17846666276454926,0.23045918345451355,0.20586563646793365,0.11242294311523438,0.3427845537662506,0.11641696095466614,0.13177801668643951,0.25827232003211975,0.1437690109014511,0.1846797615289688,0.21264225244522095
in,0.44050168991088867,0.6662389636039734,0.22860760986804962,0.41100412607192993,0.1697147786617279,0.4954058527946472,0.3233928978443146,0.32293570041656494,0.5201468467712402,0.2792111933231354,0.31047213077545166,0.6662389636039734,0.14977192878723145,0.18811661005020142,0.5696388483047485,0.1697147786617279,0.27609771490097046,0.20430970191955566
its,0.29879069328308105,0.559237003326416,0.18644186854362488,0.2510443925857544,0.19045390188694,0.3841775357723236,0.2783217430114746,0.2535979151725769,0.33157986402511597,0.1326070874929428,0.24712269008159637,0.559237003326416,0.1293967068195343,0.1704227179288864,0.48690423369407654,0.19045390188694,0.2771732807159424,0.15103481709957123
management,0.09511769562959671,0.26673808693885803,0.2089078277349472,0.12096074223518372,0.13873222470283508,0.3066174387931824,0.17150503396987915,0.12475582957267761,0.24724458158016205,0.14967867732048035,0.1943351775407791,0.26673808693885803,0.1766686737537384,0.19430743157863617,0.31602242588996887,0.13873222470283508,0.29677507281303406,0.15866325795650482
:,-0.011440866626799107,-0.03403344005346298,-0.0057443892583251,-0.06276274472475052,-0.06154730170965195,-0.04625999182462692,-0.02328784205019474,0.002675239462405443,-0.004729332868009806,-0.0025186005514115095,0.03203670680522919,-0.03403344005346298,0.08548448979854584,0.06327061355113983,-0.08807745575904846,-0.06154730170965195,-0.06647756695747375,-0.07156077772378922
frederick,0.21371206641197205,0.24321560561656952,0.1362198442220688,0.18872779607772827,0.08191824704408646,0.24556243419647217,0.14673857390880585,0.17520581185817719,0.29222559928894043,0.2823238670825958,0.20273011922836304,0.24321560561656952,0.10357170552015305,0.17365403473377228,0.25539323687553406,0.08191824704408646,0.15231680870056152,0.16359178721904755
