,which,company,provided,streetcar,connections,between,downtown,and,the,hospital,?
this,0.6719430088996887,0.2114456593990326,0.3166451156139374,0.21136942505836487,0.2915443181991577,0.29040461778640747,0.15446637570858002,0.42353692650794983,0.6274310946464539,0.10548729449510574,0.3155723512172699
rapid,0.29233717918395996,0.1714400351047516,0.15554587543010712,0.2482524812221527,0.22070591151714325,0.1451440155506134,0.22335003316402435,0.15131959319114685,0.24250900745391846,0.16164939105510712,0.17199881374835968
development,0.3198052942752838,0.23337338864803314,0.21934284269809723,0.22852899134159088,0.29511988162994385,0.14466792345046997,0.22872231900691986,0.26069340109825134,0.3362044394016266,0.15013667941093445,0.1211358830332756
was,0.2830964922904968,0.2293137013912201,0.2404836267232895,0.2776646614074707,0.2256079763174057,0.24048170447349548,0.20767293870449066,0.3740963041782379,0.48711544275283813,0.2941000163555145,0.18412111699581146
no,0.32479003071784973,0.14901213347911835,0.3263758718967438,0.17238973081111908,0.23502026498317719,0.16708187758922577,0.13827890157699585,0.25880882143974304,0.3461136817932129,0.11752446740865707,0.32165053486824036
doubt,0.25572970509529114,0.07159750163555145,0.30471548438072205,0.17920555174350739,0.2008070945739746,0.10527899116277695,0.11006708443164825,0.24486371874809265,0.22196529805660248,0.07141575217247009,0.3371197581291199
hastened,0.29188257455825806,0.17856262624263763,0.1672235131263733,0.16096389293670654,0.16703546047210693,0.15285828709602356,0.17224356532096863,0.15482312440872192,0.28936365246772766,0.21235208213329315,0.13334709405899048
by,0.40543368458747864,0.22328482568264008,0.2935292720794678,0.27429869771003723,0.22269801795482635,0.28115302324295044,0.12360361963510513,0.4289871156215668,0.4408751428127289,0.12463296204805374,0.17966607213020325
the,0.6521818041801453,0.26591673493385315,0.304488867521286,0.24600356817245483,0.31443437933921814,0.39067012071609497,0.2602716088294983,0.5171257257461548,1.0,0.17318566143512726,0.22068053483963013
fresno,0.14756552875041962,0.1543436050415039,0.16723278164863586,0.25434309244155884,0.2075217217206955,0.1513681411743164,0.29853299260139465,0.21513071656227112,0.22571885585784912,0.35835888981819153,0.13224096596240997
traction,0.34861698746681213,0.27291953563690186,0.21535933017730713,0.36440467834472656,0.3041123151779175,0.2118757665157318,0.22302794456481934,0.19237478077411652,0.2531668245792389,0.17042094469070435,0.14741027355194092
company,0.25990763306617737,1.0,0.22792533040046692,0.34224873781204224,0.164738729596138,0.10894446820020676,0.20560455322265625,0.23788511753082275,0.26591673493385315,0.1759711652994156,0.12195809185504913
