,what,happened,to,tesla,'s,funding,once,the,war,begun,?
after,0.21973377466201782,0.40630295872688293,0.37890323996543884,0.0752151682972908,-0.055672239512205124,0.26029708981513977,0.3643892705440521,0.4565047025680542,0.3393358886241913,0.33525845408439636,0.16608688235282898
the,0.42745697498321533,0.3589572608470917,0.535392165184021,0.1324402391910553,-0.01540423184633255,0.3006567358970642,0.4227895736694336,1.0,0.366199791431427,0.2750677764415741,0.22068053483963013
war,0.22516006231307983,0.3277305066585541,0.2610234022140503,0.15806899964809418,0.06856801360845566,0.23737430572509766,0.22922779619693756,0.366199791431427,1.0000001192092896,0.18462085723876953,0.15510529279708862
started,0.21609699726104736,0.3689032196998596,0.24973157048225403,0.10913282632827759,0.01797550357878208,0.26258668303489685,0.1866733580827713,0.3222070634365082,0.24956567585468292,0.5441744923591614,0.19447724521160126
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.20599327981472015,-0.0016132977325469255,0.23183828592300415,0.32163992524147034,0.4933079481124878,0.2671184241771698,0.24253425002098083,0.31091248989105225
tesla,0.23221199214458466,0.11394373327493668,0.17548894882202148,0.9999999403953552,0.06449045985937119,0.17594441771507263,0.09063416719436646,0.1324402391910553,0.15806899964809418,0.15758396685123444,0.10250775516033173
lost,0.198215052485466,0.2810816168785095,0.23270919919013977,0.0778714269399643,-0.04458974674344063,0.1711028665304184,0.32801350951194763,0.3376973867416382,0.25246182084083557,0.20172765851020813,0.15261413156986237
the,0.42745697498321533,0.3589572608470917,0.535392165184021,0.1324402391910553,-0.01540423184633255,0.3006567358970642,0.4227895736694336,1.0,0.366199791431427,0.2750677764415741,0.22068053483963013
funding,0.2725590467453003,0.1480848491191864,0.3602164685726166,0.17594441771507263,0.013703925535082817,1.0,0.23028673231601715,0.3006567358970642,0.23737430572509766,0.33135074377059937,0.1842934638261795
he,0.3114890456199646,0.3040652275085449,0.385390967130661,0.12373391538858414,0.024063590914011,0.2592797875404358,0.3327394723892212,0.4571082592010498,0.34136271476745605,0.1762540191411972,0.2089974731206894
was,0.22111038863658905,0.36671528220176697,0.3636345863342285,0.16455206274986267,0.008974763564765453,0.2314583957195282,0.3461752235889435,0.48711544275283813,0.3560331463813782,0.2829301357269287,0.18412111699581146
receiving,0.1824735403060913,0.10700681060552597,0.26238158345222473,0.15855829417705536,-0.034328654408454895,0.35525742173194885,0.2361978441476822,0.3056924641132355,0.18083739280700684,0.14558297395706177,0.11734168976545334
from,0.2737620174884796,0.21165096759796143,0.4069952368736267,0.10324860364198685,-0.01936490088701248,0.27866506576538086,0.2586478292942047,0.40150508284568787,0.1811102032661438,0.1729198694229126,0.19969791173934937
his,0.26976513862609863,0.21838653087615967,0.3715193271636963,0.1580733060836792,0.047556519508361816,0.2704143524169922,0.2655123472213745,0.4394008219242096,0.2932312488555908,0.23867830634117126,0.18075084686279297
patents,0.16317835450172424,0.08440572023391724,0.2135588526725769,0.352291464805603,0.011529999785125256,0.2535998821258545,0.12245598435401917,0.20236903429031372,0.1933191567659378,0.10973602533340454,0.1148110032081604
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.17097744345664978,-0.037580832839012146,0.2074873298406601,0.33631399273872375,0.6662389636039734,0.29904094338417053,0.2913682758808136,0.20430970191955566
european,0.15324164927005768,0.18461941182613373,0.21011990308761597,0.09152039885520935,0.08902547508478165,0.2308140993118286,0.18404056131839752,0.3423081040382385,0.2521776556968689,0.1608176976442337,0.14560863375663757
countries,0.22319257259368896,0.22588317096233368,0.3111797273159027,0.16981260478496552,0.04551587626338005,0.27140772342681885,0.1985262781381607,0.33290645480155945,0.2999389171600342,0.16040731966495514,0.15128466486930847
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.17949827015399933,-0.003708066651597619,0.24722786247730255,0.32454150915145874,0.5934505462646484,0.3000848889350891,0.21411722898483276,0.4130953550338745
