,what,is,a,name,for,the,different,ways,to,instruct,students,?
different,0.39262300729751587,0.24624870717525482,0.29175353050231934,0.21417944133281708,0.34825223684310913,0.36412742733955383,1.0,0.5665085911750793,0.3617510497570038,0.2904329001903534,0.1803710162639618,0.24476227164268494
ways,0.394069641828537,0.23305881023406982,0.25739049911499023,0.14552949368953705,0.3712952733039856,0.25153350830078125,0.5665085911750793,1.0,0.3916551172733307,0.3199797570705414,0.19714166224002838,0.2710120975971222
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.27806994318962097,0.4451248347759247,0.535392165184021,0.3617510497570038,0.3916551172733307,1.0,0.36040177941322327,0.2905822694301605,0.29463258385658264
teach,0.2818700671195984,0.15221208333969116,0.18608243763446808,0.09182561188936234,0.31015744805336,0.1966347098350525,0.30357518792152405,0.312829852104187,0.36650484800338745,0.443875789642334,0.5338317155838013,0.24188745021820068
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.17349179089069366,0.3895993232727051,0.40399202704429626,0.5170795917510986,0.38641616702079773,0.3504326641559601,0.20713885128498077,0.2835792899131775,0.24591213464736938
often,0.3849453330039978,0.3856629431247711,0.3930865228176117,0.15621964633464813,0.37495917081832886,0.38004449009895325,0.5255016088485718,0.45592498779296875,0.4351843297481537,0.260196328163147,0.2222440242767334,0.23748154938220978
referred,0.16724665462970734,0.3144040107727051,0.2686276137828827,0.28861865401268005,0.21213997900485992,0.3088674545288086,0.19749988615512848,0.09495095908641815,0.22845174372196198,0.19758588075637817,0.08796537667512894,0.06677805632352829
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.27806994318962097,0.4451248347759247,0.535392165184021,0.3617510497570038,0.3916551172733307,1.0,0.36040177941322327,0.2905822694301605,0.29463258385658264
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.2851914167404175,0.44774648547172546,0.48381632566452026,0.2646806538105011,0.2867274880409241,0.42092081904411316,0.2219109982252121,0.2101105898618698,0.27043893933296204
pedagogy,0.28524529933929443,0.2126118391752243,0.2632211148738861,0.04515373706817627,0.2566000521183014,0.20774714648723602,0.20744140446186066,0.20183008909225464,0.22692595422267914,0.27611973881721497,0.4081411361694336,0.25397226214408875
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.24737101793289185,0.4726039469242096,0.5934505462646484,0.31511759757995605,0.24406853318214417,0.4645031690597534,0.20009879767894745,0.2607303857803345,0.4130953550338745
