,what,had,the,number,of,people,living,in,warsaw,declined,to,by,1945,?
in,0.30808621644973755,0.385026752948761,0.6662389636039734,0.3024539053440094,0.5696388483047485,0.39605680108070374,0.3253810405731201,1.0,0.22642600536346436,0.25098711252212524,0.45010748505592346,0.370934396982193,-0.04109480232000351,0.20430970191955566
1939,0.11055738478899002,0.2838471531867981,0.3322303593158722,0.06743176281452179,0.30115509033203125,0.1754726618528366,0.09739286452531815,0.23226740956306458,0.1926027536392212,0.22090652585029602,0.24435016512870789,0.18040841817855835,-0.12025067210197449,-0.0777229517698288
",",0.3087472915649414,0.35487717390060425,0.4933079481124878,0.2535701394081116,0.4946078956127167,0.36644625663757324,0.26278790831565857,0.5201468467712402,0.25300899147987366,0.3096577823162079,0.44245919585227966,0.3680937886238098,0.05705150589346886,0.31091248989105225
c.,0.03813721984624863,-0.0324355848133564,-0.23451577126979828,-0.08090857416391373,-0.18015630543231964,0.0873306542634964,-0.039072293788194656,-0.17233212292194366,-0.16221389174461365,-0.0782918855547905,-0.015615013428032398,-0.05647776648402214,-0.018892347812652588,0.019047532230615616
"1,300,000",0.05861644446849823,0.20877936482429504,0.25994861125946045,0.09028477221727371,0.26848721504211426,0.006414806470274925,0.0048625110648572445,0.24781134724617004,0.1985200196504593,0.07029503583908081,0.14399470388889313,0.2322356104850769,0.24722367525100708,-0.003324186196550727
people,0.32444337010383606,0.2759630084037781,0.36838498711586,0.14050929248332977,0.3251037895679474,1.0000001192092896,0.39172837138175964,0.39605680108070374,0.17416244745254517,0.1488615721464157,0.37275731563568115,0.20350977778434753,-0.12753868103027344,0.23739641904830933
lived,0.18411467969417572,0.3942968547344208,0.2897515296936035,0.11528396606445312,0.3103700876235962,0.3190171420574188,0.5325228571891785,0.3669787347316742,0.15919925272464752,0.18288297951221466,0.1957261860370636,0.1329089254140854,0.0854719802737236,0.1798510104417801
in,0.30808621644973755,0.385026752948761,0.6662389636039734,0.3024539053440094,0.5696388483047485,0.39605680108070374,0.3253810405731201,1.0,0.22642600536346436,0.25098711252212524,0.45010748505592346,0.370934396982193,-0.04109480232000351,0.20430970191955566
warsaw,0.10373849421739578,0.2310895472764969,0.23137180507183075,0.14529547095298767,0.19253842532634735,0.17416244745254517,0.13359560072422028,0.22642600536346436,1.0,0.15832407772541046,0.1953994333744049,0.15291538834571838,0.11277902871370316,0.09769917279481888
",",0.3087472915649414,0.35487717390060425,0.4933079481124878,0.2535701394081116,0.4946078956127167,0.36644625663757324,0.26278790831565857,0.5201468467712402,0.25300899147987366,0.3096577823162079,0.44245919585227966,0.3680937886238098,0.05705150589346886,0.31091248989105225
but,0.5029441118240356,0.4414518475532532,0.4859698414802551,0.27500495314598083,0.39942997694015503,0.2892884612083435,0.24303536117076874,0.48674455285072327,0.19758136570453644,0.37729206681251526,0.5542377829551697,0.3159136474132538,-0.0657125934958458,0.27921953797340393
in,0.30808621644973755,0.385026752948761,0.6662389636039734,0.3024539053440094,0.5696388483047485,0.39605680108070374,0.3253810405731201,1.0,0.22642600536346436,0.25098711252212524,0.45010748505592346,0.370934396982193,-0.04109480232000351,0.20430970191955566
1945,-0.14733538031578064,0.0334925539791584,-0.12090112268924713,-0.13014225661754608,-0.1348620504140854,-0.12753868103027344,-0.041729290038347244,-0.04109480232000351,0.11277902871370316,0.023589298129081726,-0.12532354891300201,-0.07130987197160721,0.9999999403953552,-0.03421006724238396
–,0.13008765876293182,0.19478954374790192,0.2607575058937073,0.09428931772708893,0.2799985408782959,0.07075772434473038,0.13700275123119354,0.23687128722667694,0.17540127038955688,0.11934851109981537,0.19410304725170135,0.22072714567184448,0.11069035530090332,0.2714554965496063
only,0.41415658593177795,0.3839550316333771,0.5497692227363586,0.39694860577583313,0.49632513523101807,0.32472479343414307,0.2753382921218872,0.42992329597473145,0.15353617072105408,0.2576580047607422,0.5096819996833801,0.36511722207069397,-0.16554366052150726,0.2767370045185089
"420,000",-0.04479646682739258,-0.016077430918812752,-0.030041052028536797,-0.07322191447019577,0.035980500280857086,-0.06412648409605026,-0.06718619167804718,0.037726711481809616,0.017281703650951385,-0.027464039623737335,-0.04448332637548447,0.02507789060473442,0.35247641801834106,-0.046198222786188126
.,0.3567904531955719,0.37348684668540955,0.5934505462646484,0.3256329298019409,0.5352458953857422,0.33118996024131775,0.27785244584083557,0.5591574311256409,0.26825499534606934,0.29203805327415466,0.4645031690597534,0.3936232924461365,-0.019170649349689484,0.4130953550338745
