,by,which,year,did,chrysler,ended,its,full,sized,luxury,model,?
chrysler,0.16941078007221222,0.24411582946777344,0.22688785195350647,0.13421878218650818,1.0,0.16471190750598907,0.23874744772911072,0.11212171614170074,0.35257893800735474,0.43687230348587036,0.32936564087867737,0.17612145841121674
ended,0.23570303618907928,0.17998263239860535,0.30346307158470154,0.33372020721435547,0.16471190750598907,1.0,0.207168310880661,0.1782316416501999,0.09751244634389877,0.10495772212743759,0.178304061293602,0.15429291129112244
production,0.24570661783218384,0.3583662211894989,0.14960145950317383,0.1752309501171112,0.3148380517959595,0.1600579172372818,0.2860186994075775,0.17753732204437256,0.13236528635025024,0.29925814270973206,0.16780851781368256,0.19318072497844696
of,0.3646814823150635,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.14228402078151703,0.27636510133743286,0.48690423369407654,0.3238043189048767,0.2283622771501541,0.16530226171016693,0.18271391093730927,0.1826142966747284
their,0.3242124021053314,0.4582767188549042,0.20591455698013306,0.38078752160072327,0.14819784462451935,0.24458195269107819,0.5367968082427979,0.2970364987850189,0.22082413733005524,0.19847403466701508,0.08143971115350723,0.1898253709077835
full-sized,0.2189245969057083,0.3058168888092041,0.12402597069740295,0.25460946559906006,0.31913965940475464,0.1825704127550125,0.21111465990543365,0.5184063911437988,0.7529364824295044,0.28376373648643494,0.253891259431839,0.15507672727108002
luxury,0.14062076807022095,0.17932045459747314,0.10087364166975021,0.19088926911354065,0.43687230348587036,0.10495772212743759,0.2118242233991623,0.14080892503261566,0.3075290322303772,0.9999999403953552,0.26296502351760864,0.08989071846008301
sedans,0.23511861264705658,0.2250286489725113,0.17564648389816284,0.17390716075897217,0.3883885145187378,0.18186889588832855,0.20253145694732666,0.24026590585708618,0.3233194649219513,0.4087654650211334,0.2257533073425293,0.17435280978679657
at,0.2368064820766449,0.3286694884300232,0.3146436810493469,0.28390252590179443,0.15996822714805603,0.2377178817987442,0.2685394287109375,0.22890213131904602,0.12273454666137695,0.14635956287384033,0.15189559757709503,0.21978627145290375
the,0.4408751428127289,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.1921911984682083,0.3356485068798065,0.559237003326416,0.2988807260990143,0.23903165757656097,0.20747578144073486,0.14028635621070862,0.22068053483963013
end,0.19136181473731995,0.31110426783561707,0.3135334253311157,0.18808481097221375,0.10700632631778717,0.4509032666683197,0.19770386815071106,0.21981967985630035,0.11510097235441208,0.16923236846923828,0.0713622197508812,0.12543344497680664
of,0.3646814823150635,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.14228402078151703,0.27636510133743286,0.48690423369407654,0.3238043189048767,0.2283622771501541,0.16530226171016693,0.18271391093730927,0.1826142966747284
the,0.4408751428127289,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.1921911984682083,0.3356485068798065,0.559237003326416,0.2988807260990143,0.23903165757656097,0.20747578144073486,0.14028635621070862,0.22068053483963013
1981,-0.0527162030339241,-0.08675561100244522,0.01889675483107567,-0.034994546324014664,0.18349573016166687,-0.006710433401167393,0.02275439351797104,-0.03369768336415291,0.23875482380390167,0.05870061740279198,0.09687915444374084,0.07968433201313019
model,0.12459231913089752,0.22893153131008148,0.1623365879058838,0.13862785696983337,0.32936564087867737,0.178304061293602,0.12051054835319519,0.07705090939998627,0.20470857620239258,0.26296502351760864,1.0000001192092896,0.14843042194843292
year,0.28805047273635864,0.242343008518219,1.0,0.21422851085662842,0.22688785195350647,0.30346307158470154,0.15338382124900818,0.17481876909732819,0.1274438500404358,0.10087364166975021,0.1623365879058838,0.18315006792545319
",",0.3680937886238098,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.21499164402484894,0.2682836353778839,0.33157986402511597,0.18524548411369324,0.16738343238830566,0.19004124402999878,0.244965597987175,0.31091248989105225
moving,0.19884225726127625,0.32693639397621155,0.14478395879268646,0.22342470288276672,0.21029502153396606,0.1760573536157608,0.29408028721809387,0.16304083168506622,0.21111848950386047,0.1639714539051056,0.16111654043197632,0.21667467057704926
instead,0.2769894301891327,0.4252457022666931,0.206660196185112,0.34208473563194275,0.188666433095932,0.20757779479026794,0.2632089853286743,0.26974231004714966,0.1399494856595993,0.22389034926891327,0.21721205115318298,0.2942638397216797
to,0.33534231781959534,0.5345056653022766,0.23523004353046417,0.4452643394470215,0.14751732349395752,0.26005783677101135,0.3691340684890747,0.2671089768409729,0.17093586921691895,0.21244941651821136,0.187554731965065,0.29463258385658264
a,0.32094135880470276,0.56894451379776,0.29350247979164124,0.2552328109741211,0.19605427980422974,0.23481619358062744,0.4424409866333008,0.2751905620098114,0.29024532437324524,0.2540847361087799,0.29218459129333496,0.23916715383529663
full,0.16102208197116852,0.290617972612381,0.17481876909732819,0.21422791481018066,0.11212171614170074,0.1782316416501999,0.27832919359207153,1.0,0.2535454332828522,0.14080892503261566,0.07705090939998627,0.168479785323143
front-wheel,0.19529861211776733,0.33827826380729675,0.15298235416412354,0.16392157971858978,0.3792892098426819,0.22145242989063263,0.2725316882133484,0.23557761311531067,0.2806902825832367,0.2544550895690918,0.30115848779678345,0.25209662318229675
drive,0.12660659849643707,0.2456657886505127,0.1787550002336502,0.1745801717042923,0.28072142601013184,0.14720404148101807,0.16031841933727264,0.188929483294487,0.14212773740291595,0.20983155071735382,0.1949736326932907,0.11447915434837341
lineup,0.179256871342659,0.2603868842124939,0.34065839648246765,0.21803408861160278,0.2456633746623993,0.25047391653060913,0.27827075123786926,0.20319516956806183,0.17801107466220856,0.1315922737121582,0.14105859398841858,0.19030295312404633
for,0.3248702883720398,0.44095608592033386,0.29294124245643616,0.318512886762619,0.18206393718719482,0.25393593311309814,0.2992613911628723,0.2962910830974579,0.1451425999403,0.19780564308166504,0.17261183261871338,0.264628142118454
1982,0.06538842618465424,-0.032773274928331375,0.021840602159500122,0.01052793301641941,0.08500594645738602,0.14727574586868286,0.01583797298371792,-0.0023739158641546965,0.09210184216499329,0.21028728783130646,0.10213742405176163,-0.028324265033006668
(,0.20696312189102173,0.2589828372001648,0.2556702494621277,0.18979617953300476,0.17719759047031403,0.17012202739715576,0.1924784928560257,0.1530357152223587,0.136690154671669,0.10571370273828506,0.15940167009830475,0.40561532974243164
except,0.23904778063297272,0.32604995369911194,0.17567585408687592,0.2574186623096466,0.048969198018312454,0.12220238894224167,0.22417990863323212,0.12389133870601654,0.2112419307231903,0.12491453438997269,0.10073760896921158,0.16405975818634033
for,0.3248702883720398,0.44095608592033386,0.29294124245643616,0.318512886762619,0.18206393718719482,0.25393593311309814,0.2992613911628723,0.2962910830974579,0.1451425999403,0.19780564308166504,0.17261183261871338,0.264628142118454
the,0.4408751428127289,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.1921911984682083,0.3356485068798065,0.559237003326416,0.2988807260990143,0.23903165757656097,0.20747578144073486,0.14028635621070862,0.22068053483963013
m-body,0.25560253858566284,0.3801865875720978,0.17003430426120758,0.2523020803928375,0.2801756262779236,0.1207767054438591,0.2545066177845001,0.21970999240875244,0.2484380602836609,0.21002088487148285,0.15780113637447357,0.31271040439605713
dodge,0.1437414288520813,0.19427956640720367,0.166423037648201,0.16378235816955566,0.5389373898506165,0.1377471536397934,0.1755286008119583,0.1142667904496193,0.33088645339012146,0.3464531898498535,0.21718469262123108,0.1866140216588974
diplomat/plymouth,0.25799456238746643,0.23451127111911774,0.22752350568771362,0.2781582176685333,0.24729757010936737,0.3039606511592865,0.20601899921894073,0.18886420130729675,0.12349265813827515,0.25936922430992126,0.1837489753961563,0.2849366366863251
gran,0.14755570888519287,0.22033020853996277,0.13295546174049377,0.056998733431100845,0.23810644447803497,0.14006365835666656,0.1804749220609665,0.10401266068220139,0.1288660168647766,0.24635913968086243,0.16494490206241608,0.06042856350541115
fury,0.15381039679050446,0.15723536908626556,0.0862799882888794,0.14269386231899261,0.1573229730129242,0.17605610191822052,0.07650835067033768,0.0891253650188446,0.07546321302652359,0.2369527667760849,0.08988836407661438,0.13730759918689728
and,0.4289871156215668,0.506277859210968,0.2506658732891083,0.34479495882987976,0.1509794294834137,0.2036798745393753,0.3841775357723236,0.2361413836479187,0.22133584320545197,0.2596641480922699,0.22216768562793732,0.20544172823429108
chrysler,0.16941078007221222,0.24411582946777344,0.22688785195350647,0.13421878218650818,1.0,0.16471190750598907,0.23874744772911072,0.11212171614170074,0.35257893800735474,0.43687230348587036,0.32936564087867737,0.17612145841121674
new,0.25394493341445923,0.33739399909973145,0.25045546889305115,0.227974995970726,0.26607972383499146,0.1636754274368286,0.2215755134820938,0.12322160601615906,0.13513018190860748,0.1730707436800003,0.1785660982131958,0.14782847464084625
yorker,0.20031391084194183,0.16740000247955322,0.19301345944404602,0.1377638429403305,0.27712908387184143,0.10783880203962326,0.18172703683376312,0.1647769659757614,0.10897693783044815,0.19047486782073975,0.15619292855262756,0.24605333805084229
fifth,0.2833954691886902,0.27710679173469543,0.24606621265411377,0.16395080089569092,0.18191887438297272,0.24333783984184265,0.16377955675125122,0.1668510138988495,0.15231123566627502,0.173587366938591,0.1632833331823349,0.13128890097141266
avenue,0.11896534264087677,0.16567915678024292,0.12357621639966965,0.0673476979136467,0.20687125623226166,0.12412600219249725,0.23564715683460236,0.09588383138179779,0.0645713061094284,0.22458907961845398,0.07457149028778076,0.06327427178621292
sedans,0.23511861264705658,0.2250286489725113,0.17564648389816284,0.17390716075897217,0.3883885145187378,0.18186889588832855,0.20253145694732666,0.24026590585708618,0.3233194649219513,0.4087654650211334,0.2257533073425293,0.17435280978679657
