,what,characteristic,of,oxygen,causes,it,to,form,bonds,with,other,elements,?
due,0.15204688906669617,0.19825777411460876,0.2533245384693146,0.23325195908546448,0.3472176492214203,0.2184215486049652,0.35188060998916626,0.15926139056682587,0.16619348526000977,0.22345976531505585,0.2065928727388382,0.1335839331150055,0.10954997688531876
to,0.455847829580307,0.26635119318962097,0.41548454761505127,0.24193501472473145,0.2537674903869629,0.513711154460907,1.0,0.2772196829319,0.21307186782360077,0.4239959120750427,0.4193183183670044,0.22117622196674347,0.29463258385658264
its,0.30393704771995544,0.39111703634262085,0.48690423369407654,0.23293741047382355,0.21775475144386292,0.5786119699478149,0.3691340684890747,0.2492789775133133,0.2029373049736023,0.3087116777896881,0.29483991861343384,0.30015841126441956,0.15103481709957123
electronegativity,0.27904632687568665,0.3412555754184723,0.2217739373445511,0.5212929844856262,0.2555813789367676,0.31021445989608765,0.2665178179740906,0.2779492139816284,0.47594451904296875,0.20692771673202515,0.2794886827468872,0.46227923035621643,0.200034037232399
",",0.3087472915649414,0.263354629278183,0.4946078956127167,0.21812842786312103,0.3057606518268585,0.48329564929008484,0.44245919585227966,0.21805599331855774,0.19887931644916534,0.4120737314224243,0.4446498453617096,0.2555456757545471,0.31091248989105225
oxygen,0.16781960427761078,0.2778324782848358,0.16848602890968323,0.9999999403953552,0.26106759905815125,0.26699385046958923,0.24193501472473145,0.22106200456619263,0.3768948018550873,0.200663760304451,0.2354368269443512,0.32853466272354126,0.16786395013332367
forms,0.16334041953086853,0.4151400923728943,0.33835989236831665,0.21243564784526825,0.2445775717496872,0.3264540135860443,0.2363802045583725,0.6824371218681335,0.3409830629825592,0.24043329060077667,0.30812856554985046,0.38868337869644165,0.1196754202246666
chemical,0.26249468326568604,0.2851845920085907,0.22874756157398224,0.46001601219177246,0.26570892333984375,0.26532378792762756,0.19030416011810303,0.16953223943710327,0.4052645266056061,0.16361583769321442,0.22803284227848053,0.3923552632331848,0.2040288895368576
bonds,0.16189642250537872,0.2585075795650482,0.1858377605676651,0.3768948018550873,0.23681895434856415,0.18513375520706177,0.21307186782360077,0.33417484164237976,1.0,0.1937876045703888,0.24984365701675415,0.3198009729385376,0.12427790462970734
with,0.2464839518070221,0.30304741859436035,0.41827285289764404,0.200663760304451,0.1879570037126541,0.3369046747684479,0.4239959120750427,0.29348593950271606,0.1937876045703888,0.9999999403953552,0.44086363911628723,0.20816650986671448,0.2433311939239502
almost,0.2467888444662094,0.23162950575351715,0.3144364058971405,0.17669527232646942,0.2069176286458969,0.3708342909812927,0.2893180847167969,0.2598845958709717,0.13113176822662354,0.3421899080276489,0.3427431583404541,0.2077854573726654,0.1372147500514984
all,0.41981086134910583,0.3090073764324188,0.42798417806625366,0.22770634293556213,0.14416009187698364,0.36125609278678894,0.42520734667778015,0.2039855718612671,0.18994489312171936,0.3876307010650635,0.5273400545120239,0.29632681608200073,0.29575422406196594
other,0.341873437166214,0.31180623173713684,0.38583824038505554,0.2354368269443512,0.20599205791950226,0.36282607913017273,0.4193183183670044,0.2616437077522278,0.24984365701675415,0.44086363911628723,0.9999999403953552,0.27879294753074646,0.24682199954986572
elements,0.2152351289987564,0.384086012840271,0.23613712191581726,0.32853466272354126,0.21199332177639008,0.2618464529514313,0.22117622196674347,0.29706767201423645,0.3198009729385376,0.20816650986671448,0.27879294753074646,1.0000001192092896,0.15222592651844025
to,0.455847829580307,0.26635119318962097,0.41548454761505127,0.24193501472473145,0.2537674903869629,0.513711154460907,1.0,0.2772196829319,0.21307186782360077,0.4239959120750427,0.4193183183670044,0.22117622196674347,0.29463258385658264
give,0.32935357093811035,0.2666102349758148,0.33489471673965454,0.21485719084739685,0.20898161828517914,0.2881653606891632,0.4396136403083801,0.2498747855424881,0.15400798618793488,0.32338687777519226,0.27330368757247925,0.18557952344417572,0.2985610067844391
corresponding,0.2633531987667084,0.37074434757232666,0.3214208483695984,0.2772413194179535,0.1579732447862625,0.262349009513855,0.3358774781227112,0.29454463720321655,0.2505415081977844,0.3121618628501892,0.32770898938179016,0.3271392285823822,0.21760094165802002
oxides,0.1899927854537964,0.30953794717788696,0.19486629962921143,0.6094407439231873,0.25945955514907837,0.2683362364768982,0.20237383246421814,0.1929810792207718,0.3934119939804077,0.21799837052822113,0.2916184961795807,0.38888758420944214,0.18569931387901306
.,0.3567904531955719,0.2017466127872467,0.5352458953857422,0.2554275095462799,0.26090872287750244,0.5593622326850891,0.4645031690597534,0.28317511081695557,0.2304111123085022,0.4446153938770294,0.41511186957359314,0.2422238141298294,0.4130953550338745
