,le,grand,concludes,that,an,author,'s,words,offer,only,what,they,intended,for,them,to,imply,regarding,this,type,of,terminology,?
like,0.12750959396362305,0.1653619110584259,0.21973420679569244,0.5397313237190247,0.2679307162761688,0.10770752280950546,0.06462705135345459,0.2825617790222168,0.26213333010673523,0.38797420263290405,0.4320242702960968,0.4550771117210388,0.24712614715099335,0.35140180587768555,0.46300578117370605,0.35482415556907654,0.30886775255203247,0.2775767147541046,0.4462447166442871,0.2712353765964508,0.3244853615760803,0.26547467708587646,0.3268813192844391
alice,0.16341695189476013,0.1945781707763672,0.10600825399160385,0.15396730601787567,0.22562715411186218,0.17270676791667938,0.004419276025146246,0.11641348898410797,0.1375916600227356,0.1904500275850296,0.19639728963375092,0.16120712459087372,0.09711083769798279,0.14588850736618042,0.1648174375295639,0.1973392218351364,0.05315452069044113,0.14636030793190002,0.18103723227977753,0.07732850313186646,0.17534750699996948,0.20011742413043976,0.1645866334438324
in,0.20278146862983704,0.24767720699310303,0.2912607789039612,0.435920387506485,0.2605783939361572,0.18350110948085785,-0.037580832839012146,0.20740897953510284,0.1875079721212387,0.42992329597473145,0.30808621644973755,0.4330179989337921,0.2369074523448944,0.4322226941585541,0.29119014739990234,0.45010748505592346,0.11365438252687454,0.2634240984916687,0.45205554366111755,0.20604541897773743,0.5696388483047485,0.2312852144241333,0.20430970191955566
wonderland,0.2474651038646698,0.16665342450141907,0.164550319314003,0.23605763912200928,0.19557347893714905,0.20190788805484772,-0.020853620022535324,0.2197360098361969,0.14320746064186096,0.15879453718662262,0.2824557423591614,0.17689502239227295,0.17027699947357178,0.2693120837211609,0.1709003746509552,0.1965654045343399,0.09692425280809402,0.18515121936798096,0.22141912579536438,0.09041908383369446,0.20013776421546936,0.2373467981815338,0.22602081298828125
",",0.1742672175168991,0.29582488536834717,0.25500860810279846,0.4137537479400635,0.3581022024154663,0.3292938470840454,-0.0016132977325469255,0.2805471420288086,0.2830800712108612,0.4220978021621704,0.3087472915649414,0.390799880027771,0.18479764461517334,0.4464869201183319,0.3985835015773773,0.44245919585227966,0.20758846402168274,0.2758248746395111,0.4316047728061676,0.1804078221321106,0.4946078956127167,0.23080453276634216,0.31091248989105225
he,0.18077747523784637,0.21114638447761536,0.16755004227161407,0.36068853735923767,0.281929612159729,0.27487581968307495,0.024063590914011,0.2252577841281891,0.1982349306344986,0.31580641865730286,0.3114890456199646,0.4156855344772339,0.16135427355766296,0.4540175199508667,0.3947606682777405,0.385390967130661,0.13111747801303864,0.15882879495620728,0.3176022469997406,0.11091722548007965,0.38706058263778687,0.1476978361606598,0.2089974731206894
often,0.20829777419567108,0.11016474664211273,0.1669352650642395,0.43873903155326843,0.18115736544132233,0.09171465039253235,0.05346176400780678,0.3547304570674896,0.22034139931201935,0.4216242730617523,0.3849453330039978,0.5099413394927979,0.36180198192596436,0.37495917081832886,0.4468117952346802,0.4351843297481537,0.28636279702186584,0.22929102182388306,0.40794891119003296,0.29205119609832764,0.3351972997188568,0.2962310314178467,0.23748154938220978
finds,0.08511502295732498,0.10885487496852875,0.2549773156642914,0.3196756839752197,0.16595372557640076,0.16991205513477325,-0.025854656472802162,0.17462114989757538,0.18934980034828186,0.2761097848415375,0.22031353414058685,0.21067893505096436,0.15993839502334595,0.2604725956916809,0.3212207853794098,0.2838672697544098,0.1644303798675537,0.19520844519138336,0.24274732172489166,0.10426471382379532,0.2427980899810791,0.08885996788740158,0.13760407269001007
that,0.13482193648815155,0.20241984724998474,0.33099642395973206,1.0,0.365763783454895,0.19326357543468475,0.04397977516055107,0.3719562590122223,0.3168180584907532,0.6004067063331604,0.6297725439071655,0.5710820555686951,0.4053201675415039,0.4137635827064514,0.5601773262023926,0.5436353087425232,0.4261035621166229,0.40174636244773865,0.6909449696540833,0.25817251205444336,0.41498205065727234,0.26614853739738464,0.32716336846351624
specific,0.049149040132761,0.07056369632482529,0.16843995451927185,0.38467007875442505,0.248777374625206,0.21502400934696198,-0.007234338205307722,0.27083849906921387,0.2647222578525543,0.3496595621109009,0.37695175409317017,0.31264808773994446,0.4092438817024231,0.36453771591186523,0.34978628158569336,0.3962339460849762,0.31900596618652344,0.3813338279724121,0.4508054256439209,0.31804385781288147,0.2744234502315521,0.3940050005912781,0.30923372507095337
