,where,is,kenya,place,on,the,scale,in,2012,?
in,0.5344807505607605,0.5394441485404968,0.23621977865695953,0.38128477334976196,0.46853652596473694,0.6662389636039734,0.2105615884065628,1.0,0.3800647258758545,0.20430970191955566
2012,0.3085521161556244,0.4531058669090271,0.2628988027572632,0.32414424419403076,0.24696305394172668,0.46885523200035095,0.21503165364265442,0.3800647258758545,1.0,0.18042556941509247
",",0.3149496018886566,0.4691906273365021,0.23432263731956482,0.34068408608436584,0.49057599902153015,0.4933079481124878,0.16146816313266754,0.5201468467712402,0.42079734802246094,0.31091248989105225
the,0.5003893971443176,0.5823672413825989,0.21657514572143555,0.4179787337779999,0.5107308030128479,1.0,0.1833842247724533,0.6662389636039734,0.46885523200035095,0.22068053483963013
nation,0.21890567243099213,0.2303507775068283,0.30210545659065247,0.2757105529308319,0.20550084114074707,0.39486879110336304,0.15779410302639008,0.24983231723308563,0.3428177535533905,0.17865248024463654
placed,0.34552374482154846,0.2521167993545532,0.11096193641424179,0.49585071206092834,0.3127811551094055,0.38702741265296936,0.13213859498500824,0.263030469417572,0.21311070024967194,0.18964257836341858
139th,0.12654268741607666,0.2291484773159027,-0.01205222588032484,0.11602630466222763,0.1340911090373993,0.21296101808547974,0.22222305834293365,0.13774126768112183,0.07949567586183548,0.06690385937690735
out,0.4094439148902893,0.2817855477333069,0.10362929105758667,0.29128244519233704,0.39060163497924805,0.39404502511024475,0.20308291912078857,0.3576207756996155,0.15508632361888885,0.22020699083805084
of,0.38066378235816956,0.4854315221309662,0.22226637601852417,0.2685627043247223,0.3966929316520691,0.733189046382904,0.19989530742168427,0.5696388483047485,0.4422316551208496,0.1826142966747284
176,0.05913218483328819,0.09277554601430893,0.1071179211139679,0.07677391916513443,0.08766255527734756,0.1193961650133133,0.09844046831130981,0.11596174538135529,0.30813196301460266,0.18637031316757202
total,0.23611721396446228,0.18159881234169006,0.0969947800040245,0.1591714471578598,0.19572006165981293,0.27068960666656494,0.13263769447803497,0.27667245268821716,0.2982551157474518,0.14396025240421295
countries,0.2731434106826782,0.254234254360199,0.2983141243457794,0.2160511463880539,0.2938643991947174,0.33290645480155945,0.18017777800559998,0.3027990758419037,0.2302418053150177,0.15128466486930847
in,0.5344807505607605,0.5394441485404968,0.23621977865695953,0.38128477334976196,0.46853652596473694,0.6662389636039734,0.2105615884065628,1.0,0.3800647258758545,0.20430970191955566
the,0.5003893971443176,0.5823672413825989,0.21657514572143555,0.4179787337779999,0.5107308030128479,1.0,0.1833842247724533,0.6662389636039734,0.46885523200035095,0.22068053483963013
cpi,0.23407812416553497,0.20557169616222382,0.3297657370567322,0.16119709610939026,0.19321425259113312,0.26674386858940125,0.2019420862197876,0.21718299388885498,0.2625829875469208,0.2325928509235382
",",0.3149496018886566,0.4691906273365021,0.23432263731956482,0.34068408608436584,0.49057599902153015,0.4933079481124878,0.16146816313266754,0.5201468467712402,0.42079734802246094,0.31091248989105225
with,0.4142743945121765,0.3250955045223236,0.13224487006664276,0.18794342875480652,0.40749499201774597,0.4223487675189972,0.18137779831886292,0.4080928862094879,0.27785399556159973,0.2433311939239502
a,0.40997210144996643,0.658733606338501,0.1701713502407074,0.3079278767108917,0.3848365545272827,0.5829201340675354,0.2199064940214157,0.539380669593811,0.3774794936180115,0.23916715383529663
score,0.10195399820804596,0.1772533506155014,0.013006006367504597,0.12948107719421387,0.1815592646598816,0.2042495757341385,0.18429028987884521,0.13240541517734528,0.1303902268409729,0.199510395526886
of,0.38066378235816956,0.4854315221309662,0.22226637601852417,0.2685627043247223,0.3966929316520691,0.733189046382904,0.19989530742168427,0.5696388483047485,0.4422316551208496,0.1826142966747284
27/100,0.12236027419567108,0.1436716467142105,0.25382888317108154,0.06985262781381607,0.12423866242170334,0.2095816433429718,0.1884007304906845,0.1329578161239624,0.28049835562705994,0.1744605451822281
.,0.41390106081962585,0.4569662809371948,0.24234211444854736,0.2844318151473999,0.49257001280784607,0.5934505462646484,0.23170605301856995,0.5591574311256409,0.37805238366127014,0.4130953550338745
