,what,would,income,differentials,be,if,individual,contributions,were,relevant,to,the,social,product,?
in,0.30808621644973755,0.30461156368255615,0.1795814335346222,0.21750977635383606,0.3481820821762085,0.2589588761329651,0.27755051851272583,0.2112797647714615,0.3815755248069763,0.2808280289173126,0.45010748505592346,0.6662389636039734,0.23382627964019775,0.17412906885147095,0.20430970191955566
order,0.16634008288383484,0.26961007714271545,0.1507362276315689,0.22062864899635315,0.23933173716068268,0.20093509554862976,0.2427806407213211,0.1567787081003189,0.16340558230876923,0.1564200073480606,0.35544881224632263,0.3284194767475128,0.23981864750385284,0.1572093367576599,0.13725648820400238
to,0.455847829580307,0.5965728163719177,0.27188464999198914,0.276399165391922,0.4972836375236511,0.4559597074985504,0.3278317153453827,0.26259103417396545,0.31913647055625916,0.315670907497406,1.0,0.535392165184021,0.19684761762619019,0.24510730803012848,0.29463258385658264
rectify,0.35528993606567383,0.38499805331230164,0.24316738545894623,0.38064295053482056,0.3922386169433594,0.4185037612915039,0.2392321676015854,0.25077322125434875,0.2017224282026291,0.32867759466171265,0.38769885897636414,0.263774573802948,0.10216131806373596,0.21618716418743134,0.2360811084508896
this,0.5489566326141357,0.47797831892967224,0.26293206214904785,0.3289512097835541,0.566177248954773,0.48231831192970276,0.38206401467323303,0.34335896372795105,0.25469228625297546,0.4295213222503662,0.5759071707725525,0.6274310946464539,0.18580013513565063,0.2806263267993927,0.3155723512172699
situation,0.4481324255466461,0.4142591059207916,0.21289508044719696,0.30995428562164307,0.36314764618873596,0.3985370695590973,0.30681562423706055,0.28621572256088257,0.17185047268867493,0.31333497166633606,0.3826505243778229,0.29657405614852905,0.2619023621082306,0.20734117925167084,0.2714049518108368
",",0.3087472915649414,0.32586824893951416,0.19703416526317596,0.2309851348400116,0.39254459738731384,0.257730096578598,0.20963770151138306,0.3066929578781128,0.36755475401878357,0.2808854281902313,0.44245919585227966,0.4933079481124878,0.2674078345298767,0.20782852172851562,0.31091248989105225
socialists,0.27393391728401184,0.2978910803794861,0.23897360265254974,0.25482019782066345,0.21549515426158905,0.1767846792936325,0.19897577166557312,0.20551037788391113,0.3014034926891327,0.23566806316375732,0.2196017950773239,0.2460591197013855,0.5598487257957458,0.11937256902456284,0.1783614307641983
argue,0.41590559482574463,0.36905837059020996,0.2407795786857605,0.2549133002758026,0.317128986120224,0.3814076781272888,0.24844716489315033,0.27233222126960754,0.19423441588878632,0.3722436726093292,0.27746978402137756,0.20374833047389984,0.24503523111343384,0.25053870677948,0.32235559821128845
that,0.6297725439071655,0.5895259380340576,0.2627509534358978,0.3252551853656769,0.6036020517349243,0.5634250640869141,0.3969862163066864,0.30188509821891785,0.35517072677612305,0.3857395648956299,0.5436353087425232,0.5473989248275757,0.23622825741767883,0.34754347801208496,0.32716336846351624
the,0.42745697498321533,0.4133751392364502,0.23699946701526642,0.26107293367385864,0.4248143136501312,0.33724796772003174,0.3706541955471039,0.216569185256958,0.3906462490558624,0.3216378390789032,0.535392165184021,1.0,0.21797899901866913,0.23984220623970032,0.22068053483963013
means,0.2553325295448303,0.2575497031211853,0.16552069783210754,0.32532966136932373,0.33581557869911194,0.34415021538734436,0.25979581475257874,0.1562870442867279,0.1760343760251999,0.21164420247077942,0.2301892638206482,0.32225894927978516,0.16647969186306,0.3001406490802765,0.21233566105365753
of,0.33290785551071167,0.3353942930698395,0.2581324577331543,0.28864607214927673,0.33904364705085754,0.2557544410228729,0.3372420072555542,0.2577681839466095,0.34038281440734863,0.27652084827423096,0.41548454761505127,0.733189046382904,0.2605111300945282,0.19526132941246033,0.1826142966747284
production,0.16636081039905548,0.224795863032341,0.2489543855190277,0.1987922042608261,0.20240652561187744,0.11555122584104538,0.2159493863582611,0.16626107692718506,0.16264601051807404,0.20285296440124512,0.2144220918416977,0.2657334506511688,0.10713580250740051,0.5532492995262146,0.19318072497844696
should,0.43830034136772156,0.5900080800056458,0.2029237002134323,0.25978901982307434,0.6527681946754456,0.5581767559051514,0.3515188992023468,0.3536408245563507,0.3050706386566162,0.49843260645866394,0.44452130794525146,0.32399165630340576,0.2230125218629837,0.2271212488412857,0.4442402422428131
be,0.3929833769798279,0.5202695727348328,0.19847987592220306,0.3067927956581116,1.0,0.5628611445426941,0.4096139669418335,0.26159366965293884,0.4064064621925354,0.41481274366378784,0.4972836375236511,0.4248143136501312,0.1878766417503357,0.30949610471725464,0.3324260413646698
socially,0.2431422770023346,0.24770718812942505,0.21008418500423431,0.22370296716690063,0.38587772846221924,0.25343114137649536,0.2802897095680237,0.21101319789886475,0.2821282744407654,0.2336827665567398,0.25140541791915894,0.18457017838954926,0.626067042350769,0.17398647964000702,0.13515418767929077
owned,0.12432919442653656,0.19513648748397827,0.2438907027244568,0.09012695401906967,0.14386385679244995,0.11671879887580872,0.09582193195819855,0.08745259791612625,0.2597377896308899,0.13704648613929749,0.12258157879114151,0.1999378502368927,0.1526750922203064,0.23707866668701172,0.1288648396730423
so,0.539469838142395,0.5908153653144836,0.21857722103595734,0.308986097574234,0.5552230477333069,0.643597424030304,0.3483068346977234,0.3197355568408966,0.3436952531337738,0.3640757203102112,0.5091881155967712,0.4296516180038452,0.19067521393299103,0.28777647018432617,0.43163934350013733
that,0.6297725439071655,0.5895259380340576,0.2627509534358978,0.3252551853656769,0.6036020517349243,0.5634250640869141,0.3969862163066864,0.30188509821891785,0.35517072677612305,0.3857395648956299,0.5436353087425232,0.5473989248275757,0.23622825741767883,0.34754347801208496,0.32716336846351624
income,0.21837803721427917,0.24426236748695374,1.0,0.28856590390205383,0.19847987592220306,0.24648375809192657,0.30897796154022217,0.2500245273113251,0.20246681571006775,0.2751561403274536,0.27188464999198914,0.23699946701526642,0.23773884773254395,0.32589834928512573,0.14935168623924255
differentials,0.30831965804100037,0.248459130525589,0.28856590390205383,0.9999999403953552,0.3067927956581116,0.2974163591861725,0.38394615054130554,0.27439847588539124,0.2653995454311371,0.31356456875801086,0.276399165391922,0.26107293367385864,0.28665265440940857,0.33743202686309814,0.196336030960083
would,0.45766422152519226,1.0000001192092896,0.24426236748695374,0.248459130525589,0.5202695727348328,0.5543612837791443,0.34179502725601196,0.34078797698020935,0.37426912784576416,0.3269939124584198,0.5965728163719177,0.4133751392364502,0.17745959758758545,0.26112908124923706,0.37178951501846313
be,0.3929833769798279,0.5202695727348328,0.19847987592220306,0.3067927956581116,1.0,0.5628611445426941,0.4096139669418335,0.26159366965293884,0.4064064621925354,0.41481274366378784,0.4972836375236511,0.4248143136501312,0.1878766417503357,0.30949610471725464,0.3324260413646698
reflective,0.27075478434562683,0.21593943238258362,0.1805698126554489,0.4125518798828125,0.2845517098903656,0.2246563881635666,0.3739737570285797,0.24459894001483917,0.17201051115989685,0.29655638337135315,0.20555715262889862,0.2903715968132019,0.30619800090789795,0.21076205372810364,0.12292608618736267
of,0.33290785551071167,0.3353942930698395,0.2581324577331543,0.28864607214927673,0.33904364705085754,0.2557544410228729,0.3372420072555542,0.2577681839466095,0.34038281440734863,0.27652084827423096,0.41548454761505127,0.733189046382904,0.2605111300945282,0.19526132941246033,0.1826142966747284
individual,0.34021541476249695,0.34179502725601196,0.30897796154022217,0.38394615054130554,0.4096139669418335,0.35867682099342346,1.0000001192092896,0.3105930685997009,0.25293898582458496,0.4338129758834839,0.3278317153453827,0.3706541955471039,0.27748095989227295,0.2558417320251465,0.2058374285697937
