,what,is,the,name,of,sky,q,'s,broadband,router,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.26521286368370056,0.17467540502548218,-0.01540423184633255,0.27147287130355835,0.27651092410087585,0.22068053483963013
sky,0.16493305563926697,0.21240133047103882,0.26521286368370056,0.17572557926177979,0.16284865140914917,1.0,0.18591025471687317,0.054967135190963745,0.26495790481567383,0.148935928940773,0.11270341277122498
q,0.2383371889591217,0.1645382046699524,0.17467540502548218,0.11159223318099976,0.142526313662529,0.18591025471687317,0.9999998807907104,0.07204610109329224,0.16533134877681732,0.22374217212200165,0.31306079030036926
range,0.19613829255104065,0.2467041313648224,0.2311336100101471,0.10159777849912643,0.234999418258667,0.16448265314102173,0.2016577273607254,-0.008888337761163712,0.3226385712623596,0.21660088002681732,0.1204894632101059
consists,0.11367427557706833,0.43405216932296753,0.3362659811973572,0.09724965691566467,0.41510096192359924,0.10177899897098541,0.00020662398310378194,-0.021244008094072342,0.22901731729507446,0.2071070522069931,-0.004641483072191477
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.16284865140914917,0.142526313662529,-0.03817026689648628,0.19338497519493103,0.19503377377986908,0.1826142966747284
three,0.24888746440410614,0.23072560131549835,0.43452659249305725,0.1462973952293396,0.3844621181488037,0.1818981170654297,0.07384535670280457,0.03946888819336891,0.16213341057300568,0.18785008788108826,0.20928427577018738
set,0.28954121470451355,0.21148966252803802,0.2927955985069275,0.1284906417131424,0.20671486854553223,0.132208451628685,0.09370187669992447,0.05998389050364494,0.20354528725147247,0.22891616821289062,0.1698019951581955
top,0.21232028305530548,0.17102722823619843,0.31754136085510254,0.17510008811950684,0.20362378656864166,0.1955816149711609,0.1573854684829712,0.04869917780160904,0.19551168382167816,0.1325812041759491,0.17265194654464722
boxes,0.22161251306533813,0.20117680728435516,0.2145986557006836,0.060462307184934616,0.16295993328094482,0.1614818125963211,0.08811987936496735,0.0695219412446022,0.23457105457782745,0.24640020728111267,0.21614888310432434
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.17148615419864655,0.21993602812290192,0.0012731997994706035,0.22015860676765442,0.18531766533851624,0.40561532974243164
