,what,are,apicomplexans,similar,to,?
like,0.4320242702960968,0.4686352014541626,0.343814879655838,0.5880904793739319,0.35482415556907654,0.3268813192844391
the,0.42745697498321533,0.40399202704429626,0.36324241757392883,0.2963123023509979,0.535392165184021,0.22068053483963013
helicosproidia,0.25824183225631714,0.3143373429775238,0.5466293692588806,0.30477282404899597,0.23977504670619965,0.27045440673828125
",",0.3087472915649414,0.4062570035457611,0.3248426616191864,0.29403579235076904,0.44245919585227966,0.31091248989105225
they,0.4431931674480438,0.610666811466217,0.41929563879966736,0.33017247915267944,0.5452046394348145,0.2753053903579712
're,0.18585160374641418,0.19681763648986816,0.20285730063915253,0.13284459710121155,0.1905905157327652,0.2452637404203415
parasitic,0.10340037941932678,0.3116908073425293,0.6203139424324036,0.2290310114622116,0.14839349687099457,0.16101112961769104
",",0.3087472915649414,0.4062570035457611,0.3248426616191864,0.29403579235076904,0.44245919585227966,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.32976552844047546,0.3316260874271393,0.48971283435821533,0.20544172823429108
have,0.39808809757232666,0.6577680706977844,0.4241267442703247,0.42367541790008545,0.4544740617275238,0.32991164922714233
a,0.3320399522781372,0.265255331993103,0.332450807094574,0.34790337085723877,0.45503583550453186,0.23916715383529663
nonphotosynthetic,0.2261371910572052,0.3612769544124603,0.5241444110870361,0.30661869049072266,0.3093850910663605,0.1846344918012619
chloroplast,0.23505516350269318,0.26561424136161804,0.5550090074539185,0.2233681082725525,0.22531428933143616,0.12532055377960205
.,0.3567904531955719,0.3452940285205841,0.3341436982154846,0.306670606136322,0.4645031690597534,0.4130953550338745
