,what,did,he,work,on,refining,until,the,end,of,his,life,?
he,0.3114890456199646,0.3292143940925598,1.0000001192092896,0.3134653568267822,0.32403138279914856,0.13572975993156433,0.36324307322502136,0.4571082592010498,0.25187915563583374,0.38706058263778687,0.7171558737754822,0.2685181796550751,0.2089974731206894
continued,0.17878234386444092,0.4863187372684479,0.31699156761169434,0.2510858178138733,0.2799161672592163,0.15054106712341309,0.47343844175338745,0.29953038692474365,0.24287162721157074,0.2527073323726654,0.4197447597980499,0.2154908925294876,0.10404038429260254
to,0.455847829580307,0.4452643394470215,0.385390967130661,0.3482864499092102,0.41031414270401,0.2322370558977127,0.354556679725647,0.535392165184021,0.3229445815086365,0.41548454761505127,0.3715193271636963,0.24560359120368958,0.29463258385658264
work,0.3762225806713104,0.336654931306839,0.3134653568267822,1.0,0.26663315296173096,0.3286973834037781,0.23580248653888702,0.2704800069332123,0.13841573894023895,0.23473061621189117,0.36648666858673096,0.30639681220054626,0.2621155381202698
on,0.34226128458976746,0.2670976221561432,0.32403138279914856,0.26663315296173096,0.9999999403953552,0.252498060464859,0.3038109838962555,0.5107308030128479,0.2773675322532654,0.3966929316520691,0.32064297795295715,0.19639495015144348,0.2714994251728058
refining,0.22895461320877075,0.15937432646751404,0.13572975993156433,0.3286973834037781,0.252498060464859,1.0,0.1279565691947937,0.2678412199020386,0.16444970667362213,0.3010917901992798,0.19517205655574799,0.22575387358665466,0.14730171859264374
the,0.42745697498321533,0.34736719727516174,0.4571082592010498,0.2704800069332123,0.5107308030128479,0.2678412199020386,0.37191009521484375,1.0,0.39658910036087036,0.733189046382904,0.4394008219242096,0.23528170585632324,0.22068053483963013
translation,0.22188860177993774,0.1068030595779419,0.10858869552612305,0.34953954815864563,0.13263548910617828,0.2308538258075714,0.0957399234175682,0.26402729749679565,0.16715216636657715,0.18704865872859955,0.16262900829315186,0.16085079312324524,0.22574150562286377
until,0.2693650424480438,0.33905428647994995,0.36324307322502136,0.23580248653888702,0.3038109838962555,0.1279565691947937,1.0,0.37191009521484375,0.30801546573638916,0.2787701487541199,0.35266077518463135,0.21110086143016815,0.20304496586322784
the,0.42745697498321533,0.34736719727516174,0.4571082592010498,0.2704800069332123,0.5107308030128479,0.2678412199020386,0.37191009521484375,1.0,0.39658910036087036,0.733189046382904,0.4394008219242096,0.23528170585632324,0.22068053483963013
end,0.29234179854393005,0.18808481097221375,0.25187915563583374,0.13841573894023895,0.2773675322532654,0.16444970667362213,0.30801546573638916,0.39658910036087036,1.0,0.2215006798505783,0.18775546550750732,0.1473490595817566,0.12543344497680664
of,0.33290785551071167,0.2513895630836487,0.38706058263778687,0.23473061621189117,0.3966929316520691,0.3010917901992798,0.2787701487541199,0.733189046382904,0.2215006798505783,1.0,0.38364991545677185,0.2788603901863098,0.1826142966747284
his,0.26976513862609863,0.3546801507472992,0.7171558737754822,0.36648666858673096,0.32064297795295715,0.19517205655574799,0.35266077518463135,0.4394008219242096,0.18775546550750732,0.38364991545677185,0.9999998807907104,0.37379691004753113,0.18075084686279297
life,0.24693015217781067,0.22298283874988556,0.2685181796550751,0.30639681220054626,0.19639495015144348,0.22575387358665466,0.21110086143016815,0.23528170585632324,0.1473490595817566,0.2788603901863098,0.37379691004753113,1.0,0.21677987277507782
.,0.3567904531955719,0.35288307070732117,0.38061028718948364,0.33121398091316223,0.49257001280784607,0.24862968921661377,0.36876651644706726,0.5934505462646484,0.26526886224746704,0.5352458953857422,0.3119256794452667,0.3029138445854187,0.4130953550338745
