,how,do,platyctenids,reproduce,?
fertilization,0.25806301832199097,0.25819021463394165,0.4658411741256714,0.592301070690155,0.18676581978797913
is,0.22544461488723755,0.30895981192588806,0.22171913087368011,0.18486742675304413,0.22961433231830597
external,0.20209915935993195,0.26782527565956116,0.26423749327659607,0.4029728174209595,0.18867096304893494
in,0.2601168751716614,0.23402775824069977,0.2267540991306305,0.20055049657821655,0.20430970191955566
most,0.311336874961853,0.31522849202156067,0.2563212513923645,0.27984142303466797,0.2107497900724411
species,0.20142129063606262,0.20613440871238708,0.5839789509773254,0.4388328194618225,0.1957087516784668
",",0.22659391164779663,0.3283645510673523,0.2663584351539612,0.1640341728925705,0.31091248989105225
but,0.43101516366004944,0.4077886939048767,0.2596343755722046,0.31939730048179626,0.27921953797340393
platyctenids,0.19909732043743134,0.2775275409221649,1.0,0.44383588433265686,0.1917940229177475
use,0.39296725392341614,0.4545445144176483,0.1976064145565033,0.33350980281829834,0.32795652747154236
internal,0.19838258624076843,0.23520267009735107,0.21640078723430634,0.3246315121650696,0.1665428727865219
fertilization,0.25806301832199097,0.25819021463394165,0.4658411741256714,0.592301070690155,0.18676581978797913
and,0.33647966384887695,0.276123583316803,0.26407063007354736,0.26401931047439575,0.20544172823429108
keep,0.2636590301990509,0.3047105073928833,0.15601801872253418,0.21486830711364746,0.2537146508693695
the,0.33890387415885925,0.30239659547805786,0.2612636685371399,0.25927668809890747,0.22068053483963013
eggs,0.21213866770267487,0.22035886347293854,0.4853828251361847,0.43596509099006653,0.1739477664232254
in,0.2601168751716614,0.23402775824069977,0.2267540991306305,0.20055049657821655,0.20430970191955566
brood,0.19100329279899597,0.19215203821659088,0.4534495174884796,0.4507535398006439,0.14995023608207703
chambers,0.2139936238527298,0.11765911430120468,0.21868494153022766,0.1600317806005478,0.06382281333208084
until,0.1887991726398468,0.1848897933959961,0.14659863710403442,0.1371723711490631,0.20304496586322784
they,0.43247655034065247,0.4667694866657257,0.3928740918636322,0.3680291175842285,0.2753053903579712
hatch,0.16832566261291504,0.2142815887928009,0.3274671137332916,0.3546545207500458,0.20584222674369812
.,0.3287222981452942,0.3613996207714081,0.26745790243148804,0.27828001976013184,0.4130953550338745
