,what,kind,of,weapons,did,tesla,'s,treatise,concern,?
during,0.24137552082538605,0.15725892782211304,0.3869180977344513,0.2524166703224182,0.30679523944854736,0.08954931050539017,0.011294117197394371,0.12086999416351318,0.17862838506698608,0.1325719803571701
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.24496999382972717,0.34736719727516174,0.1324402391910553,-0.01540423184633255,0.2190825194120407,0.23735320568084717,0.22068053483963013
same,0.3764382302761078,0.29939019680023193,0.3808329105377197,0.15253353118896484,0.3097444474697113,0.1633947193622589,0.0036877936217933893,0.18027253448963165,0.2002582550048828,0.22649677097797394
year,0.15184831619262695,0.12288408726453781,0.2578314542770386,0.11413808912038803,0.21422851085662842,0.1455472707748413,-0.04087831452488899,0.0912761241197586,0.14211896061897278,0.18315006792545319
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24384108185768127,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.22035661339759827,0.2630102038383484,0.31091248989105225
tesla,0.23221199214458466,0.20704586803913116,0.18837453424930573,0.23841391503810883,0.09757418930530548,0.9999999403953552,0.06449045985937119,0.22555430233478546,0.1616564840078354,0.10250775516033173
wrote,0.2664989233016968,0.26110371947288513,0.30241408944129944,0.08972644060850143,0.3485160768032074,0.13169313967227936,0.07554080337285995,0.4280576705932617,0.17808453738689423,0.19322504103183746
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.23424826562404633,0.2552328109741211,0.2211925983428955,0.04866964742541313,0.1838270127773285,0.23163463175296783,0.23916715383529663
treatise,0.23453468084335327,0.2654450535774231,0.3056868314743042,0.19602994620800018,0.14455445110797882,0.22555430233478546,-0.024936746805906296,1.0,0.14305418729782104,0.1367369443178177
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24384108185768127,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.22035661339759827,0.2630102038383484,0.31091248989105225
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.24496999382972717,0.34736719727516174,0.1324402391910553,-0.01540423184633255,0.2190825194120407,0.23735320568084717,0.22068053483963013
art,0.19292277097702026,0.16522718966007233,0.22648051381111145,0.24459457397460938,0.1711656004190445,0.1541682481765747,-0.0026162867434322834,0.3054003417491913,0.13806463778018951,0.138971745967865
of,0.33290785551071167,0.2285657674074173,1.0,0.21305988729000092,0.2513895630836487,0.18837453424930573,-0.03817026689648628,0.3056868314743042,0.23287762701511383,0.1826142966747284
projecting,0.2732459008693695,0.23983758687973022,0.3205321133136749,0.21057870984077454,0.14046691358089447,0.20831149816513062,0.0579664371907711,0.25526854395866394,0.2793930768966675,0.1896611750125885
concentrated,0.20476274192333221,0.20603743195533752,0.28396520018577576,0.19571825861930847,0.23969793319702148,0.12617792189121246,0.05134525150060654,0.16705988347530365,0.26435717940330505,0.11501483619213104
non-dispersive,0.29002732038497925,0.3235359787940979,0.3188959062099457,0.24148018658161163,0.15892216563224792,0.25963541865348816,0.04529856517910957,0.3193170428276062,0.3113555312156677,0.2666443884372711
energy,0.190252885222435,0.20184482634067535,0.26257598400115967,0.3324016034603119,0.14123573899269104,0.28722304105758667,-0.050826653838157654,0.14909301698207855,0.2749110758304596,0.14860127866268158
through,0.23167094588279724,0.20041711628437042,0.3647414743900299,0.17828865349292755,0.14190755784511566,0.1141991838812828,-0.020649312064051628,0.1328711360692978,0.19518445432186127,0.16913433372974396
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.24496999382972717,0.34736719727516174,0.1324402391910553,-0.01540423184633255,0.2190825194120407,0.23735320568084717,0.22068053483963013
natural,0.15666867792606354,0.20793487131595612,0.2963479459285736,0.12765000760555267,0.08853514492511749,0.16401347517967224,-0.049410052597522736,0.2738662660121918,0.18787983059883118,0.16155436635017395
media,0.18292108178138733,0.14066334068775177,0.19700391590595245,0.166945219039917,0.1758316457271576,0.23083125054836273,0.07690927386283875,0.1497495472431183,0.210464209318161,0.1571006178855896
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24384108185768127,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.22035661339759827,0.2630102038383484,0.31091248989105225
concerning,0.32910221815109253,0.2594768702983856,0.3457396328449249,0.18685787916183472,0.23080378770828247,0.15055841207504272,-0.11767230927944183,0.36615192890167236,0.6186921000480652,0.2719282805919647
charged,0.191240593791008,0.10916604846715927,0.21960902214050293,0.27485933899879456,0.18427717685699463,0.24807360768318176,-0.012363323010504246,0.1497860699892044,0.14945639669895172,0.1305682212114334
particle,0.31278425455093384,0.2744087874889374,0.2452378273010254,0.2855369448661804,0.15412317216396332,0.34292855858802795,-0.02675824798643589,0.29106613993644714,0.22701811790466309,0.22597293555736542
beam,0.20283140242099762,0.2455684393644333,0.14627066254615784,0.34303146600723267,0.151189386844635,0.27438047528266907,-0.0005701262853108346,0.19634100794792175,0.149893656373024,0.14325125515460968
weapons,0.18805687129497528,0.17051149904727936,0.21305988729000092,0.9999999403953552,0.2783046066761017,0.23841391503810883,0.022701945155858994,0.19602994620800018,0.21794334053993225,0.12573792040348053
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.20480431616306305,0.35288307070732117,0.17949827015399933,-0.003708066651597619,0.1687270700931549,0.24761129915714264,0.4130953550338745
