,how,does,adaptive/acquired,immunity,help,in,the,future,?
adaptive,0.25727546215057373,0.158999502658844,0.81484454870224,0.40294596552848816,0.2182181179523468,0.22990182042121887,0.25968632102012634,0.23186878859996796,0.12147218734025955
(,0.1676948219537735,0.2728188931941986,0.17482982575893402,0.14039519429206848,0.23475761711597443,0.3087427020072937,0.33289089798927307,0.2194698601961136,0.40561532974243164
or,0.3378981947898865,0.4248845875263214,0.2609143555164337,0.2634049355983734,0.30695268511772156,0.3586423695087433,0.4174870550632477,0.19697751104831696,0.32389625906944275
acquired,0.11872366070747375,0.08292895555496216,0.728581964969635,0.2292994260787964,0.17419642210006714,0.20108897984027863,0.22202405333518982,0.17038877308368683,0.09366346150636673
),0.17939934134483337,0.2575884759426117,0.15602105855941772,0.11909116804599762,0.24308834969997406,0.3326910734176636,0.3456730246543884,0.22310222685337067,0.42300865054130554
immunity,0.22810980677604675,0.17286410927772522,0.4114271402359009,1.0000001192092896,0.18960051238536835,0.16387996077537537,0.25992491841316223,0.1871088743209839,0.16423189640045166
creates,0.26778361201286316,0.40703076124191284,0.2640981376171112,0.14491933584213257,0.2699412703514099,0.203060120344162,0.2989917993545532,0.2449713498353958,0.20012600719928741
immunological,0.2588100731372833,0.19139310717582703,0.47570860385894775,0.5730583071708679,0.20613199472427368,0.22100606560707092,0.27035608887672424,0.2207038402557373,0.18608254194259644
memory,0.22968627512454987,0.1745750457048416,0.24090102314949036,0.17977221310138702,0.18551382422447205,0.2039261907339096,0.1785092055797577,0.2027306705713272,0.1397676020860672
after,0.23871733248233795,0.18596531450748444,0.24390150606632233,0.1907080113887787,0.24238140881061554,0.44050168991088867,0.4565047025680542,0.19101321697235107,0.16608688235282898
an,0.2520636022090912,0.29477936029434204,0.26651614904403687,0.17141196131706238,0.18658781051635742,0.2605783939361572,0.4207492768764496,0.16225744783878326,0.19793890416622162
initial,0.21066758036613464,0.25702667236328125,0.32410097122192383,0.2022683024406433,0.1642942577600479,0.22201098501682281,0.29837024211883545,0.21496175229549408,0.16868601739406586
response,0.34960323572158813,0.2029130905866623,0.31400686502456665,0.3737179636955261,0.3218093812465668,0.20744606852531433,0.28909924626350403,0.246992290019989,0.2007838636636734
to,0.44169697165489197,0.4391997456550598,0.2815650999546051,0.23462912440299988,0.46191298961639404,0.45010748505592346,0.535392165184021,0.3191963732242584,0.29463258385658264
a,0.29312583804130554,0.38201746344566345,0.2609935998916626,0.196896031498909,0.23381464183330536,0.539380669593811,0.5829201340675354,0.16284751892089844,0.23916715383529663
specific,0.38300737738609314,0.31801894307136536,0.33833444118499756,0.3155837059020996,0.2751801609992981,0.26078200340270996,0.3501757085323334,0.24987971782684326,0.30923372507095337
pathogen,0.283581405878067,0.25629642605781555,0.4438689053058624,0.43813949823379517,0.23618394136428833,0.1709301620721817,0.21664372086524963,0.1721240133047104,0.1893778294324875
",",0.22659391164779663,0.28617382049560547,0.24167053401470184,0.21605436503887177,0.2855570912361145,0.5201468467712402,0.4933079481124878,0.2609160840511322,0.31091248989105225
leading,0.18543758988380432,0.206157386302948,0.21875610947608948,0.1241549551486969,0.21348166465759277,0.33273574709892273,0.3809107840061188,0.1698230803012848,0.1360926628112793
to,0.44169697165489197,0.4391997456550598,0.2815650999546051,0.23462912440299988,0.46191298961639404,0.45010748505592346,0.535392165184021,0.3191963732242584,0.29463258385658264
an,0.2520636022090912,0.29477936029434204,0.26651614904403687,0.17141196131706238,0.18658781051635742,0.2605783939361572,0.4207492768764496,0.16225744783878326,0.19793890416622162
enhanced,0.22032445669174194,0.1898030936717987,0.3778366148471832,0.1403977870941162,0.284646600484848,0.143305703997612,0.20192280411720276,0.2906709611415863,0.13735352456569672
response,0.34960323572158813,0.2029130905866623,0.31400686502456665,0.3737179636955261,0.3218093812465668,0.20744606852531433,0.28909924626350403,0.246992290019989,0.2007838636636734
to,0.44169697165489197,0.4391997456550598,0.2815650999546051,0.23462912440299988,0.46191298961639404,0.45010748505592346,0.535392165184021,0.3191963732242584,0.29463258385658264
subsequent,0.2477182298898697,0.20590463280677795,0.28899478912353516,0.1292017549276352,0.16401419043540955,0.1837678998708725,0.2562725245952606,0.17019648849964142,0.13111010193824768
encounters,0.22611737251281738,0.22795584797859192,0.3316650688648224,0.2793431580066681,0.24686329066753387,0.2199096530675888,0.2514905333518982,0.28537291288375854,0.12401029467582703
with,0.3525622487068176,0.26186925172805786,0.2682100236415863,0.18350563943386078,0.32894450426101685,0.4080928862094879,0.4223487675189972,0.24820348620414734,0.2433311939239502
that,0.557814359664917,0.4764937460422516,0.32982322573661804,0.2581852376461029,0.34615394473075867,0.435920387506485,0.5473989248275757,0.31481194496154785,0.32716336846351624
same,0.28913575410842896,0.36572811007499695,0.2955096662044525,0.13474887609481812,0.16176798939704895,0.3692481815814972,0.4583131968975067,0.15516415238380432,0.22649677097797394
pathogen,0.283581405878067,0.25629642605781555,0.4438689053058624,0.43813949823379517,0.23618394136428833,0.1709301620721817,0.21664372086524963,0.1721240133047104,0.1893778294324875
.,0.3287222981452942,0.3022993505001068,0.27231866121292114,0.20537415146827698,0.32205137610435486,0.5591574311256409,0.5934505462646484,0.24031390249729156,0.4130953550338745
