,how,many,general,questions,are,available,to,opposition,leaders,?
the,0.33890387415885925,0.4335206151008606,0.28634732961654663,0.23562853038311005,0.40399202704429626,0.26723232865333557,0.535392165184021,0.26783087849617004,0.3157886564731598,0.22068053483963013
four,0.1955733299255371,0.4139232039451599,0.16116668283939362,0.21783742308616638,0.3568944036960602,0.20932847261428833,0.2803118824958801,0.16066104173660278,0.1877874732017517,0.14532537758350372
general,0.19638104736804962,0.21976788341999054,1.0000001192092896,0.22032441198825836,0.15219135582447052,0.20738452672958374,0.24755197763442993,0.26019591093063354,0.22257763147354126,0.1972234547138214
questions,0.41637086868286133,0.26459506154060364,0.22032441198825836,1.0000001192092896,0.30979788303375244,0.291682630777359,0.317446768283844,0.30300840735435486,0.24326705932617188,0.42967134714126587
available,0.2581886649131775,0.27195167541503906,0.20738452672958374,0.291682630777359,0.31910744309425354,1.0000001192092896,0.2394571453332901,0.13071919977664948,0.08839206397533417,0.2501629889011383
to,0.44169697165489197,0.40243685245513916,0.24755197763442993,0.317446768283844,0.3504326641559601,0.2394571453332901,1.0,0.2251589596271515,0.25293630361557007,0.29463258385658264
opposition,0.23877081274986267,0.2189795970916748,0.26019591093063354,0.30300840735435486,0.22134993970394135,0.13071919977664948,0.2251589596271515,0.9999998807907104,0.43289482593536377,0.15647298097610474
leaders,0.2026149332523346,0.29123497009277344,0.22257763147354126,0.24326705932617188,0.21984897553920746,0.08839206397533417,0.25293630361557007,0.43289482593536377,1.0,0.13927052915096283
are,0.311818927526474,0.5655534863471985,0.15219135582447052,0.30979788303375244,1.0,0.31910744309425354,0.3504326641559601,0.22134993970394135,0.21984897553920746,0.24591213464736938
:,-0.11215605586767197,-0.10786184668540955,0.008705174550414085,-0.08889511972665787,-0.1189703419804573,-0.12902796268463135,-0.09243495017290115,-0.010608202777802944,0.08056152611970901,-0.07156077772378922
