,when,was,a,study,conducted,of,swedish,counties,?
a,0.44397395849227905,0.4508470594882965,1.0,0.2268155962228775,0.1929338276386261,0.5052502155303955,0.2105913907289505,0.13999399542808533,0.23916715383529663
study,0.2670287787914276,0.18420368432998657,0.2268155962228775,1.0,0.287423312664032,0.29377859830856323,0.05684085190296173,0.14215593039989471,0.15902167558670044
of,0.3757161796092987,0.4069072902202606,0.5052502155303955,0.29377859830856323,0.22415050864219666,1.0,0.15661373734474182,0.2559657096862793,0.1826142966747284
swedish,0.14790135622024536,0.19575688242912292,0.2105913907289505,0.05684085190296173,0.09516116231679916,0.15661373734474182,1.0,0.07712863385677338,0.08206682652235031
counties,0.17993196845054626,0.1531493216753006,0.13999399542808533,0.14215593039989471,0.16598089039325714,0.2559657096862793,0.07712863385677338,1.0,0.09521792083978653
between,0.38258615136146545,0.24048170447349548,0.29385313391685486,0.22155719995498657,0.19396664202213287,0.3737983703613281,0.12084527313709259,0.19663138687610626,0.12887074053287506
1960,-0.11895739287137985,0.02247970923781395,0.06404880434274673,-0.009084087796509266,-0.07330911606550217,0.05807475745677948,0.01796632818877697,0.011375094763934612,-0.02243652194738388
and,0.4716290831565857,0.3740963041782379,0.3739250600337982,0.300253301858902,0.2071675807237625,0.5116966962814331,0.22327753901481628,0.21969299018383026,0.20544172823429108
2000,-0.05569573864340782,0.06843073666095734,-0.03899485245347023,-0.11384295672178268,-0.008400104008615017,0.010344067588448524,0.05503850430250168,-0.09758724272251129,-0.0824366956949234
found,0.24078510701656342,0.18447895348072052,0.2869448959827423,0.27707019448280334,0.2018323689699173,0.2982911467552185,0.1062704399228096,0.12121915817260742,0.16790300607681274
a,0.44397395849227905,0.4508470594882965,1.0,0.2268155962228775,0.1929338276386261,0.5052502155303955,0.2105913907289505,0.13999399542808533,0.23916715383529663
positive,0.22980894148349762,0.16531184315681458,0.2522195875644684,0.1537390798330307,0.22228658199310303,0.19149050116539001,0.0482170395553112,0.07289014756679535,0.16532565653324127
impact,0.1764514297246933,0.23431995511054993,0.24985632300376892,0.1869966983795166,0.19839681684970856,0.21139270067214966,0.11476355046033859,0.029828116297721863,0.18429921567440033
of,0.3757161796092987,0.4069072902202606,0.5052502155303955,0.29377859830856323,0.22415050864219666,1.0,0.15661373734474182,0.2559657096862793,0.1826142966747284
inequality,0.18042483925819397,0.14637966454029083,0.1783585250377655,0.25449204444885254,0.15223094820976257,0.27910974621772766,0.11991843581199646,0.21842867136001587,0.23619021475315094
on,0.37706470489501953,0.3909217119216919,0.3848365545272827,0.1889076977968216,0.26555413007736206,0.3966929316520691,0.1423248052597046,0.1780954748392105,0.2714994251728058
growth,0.2527426779270172,0.1385122835636139,0.21544985473155975,0.30610087513923645,0.02796841412782669,0.2679378092288971,0.1174795851111412,0.14969170093536377,0.07547862827777863
with,0.5075214505195618,0.27411898970603943,0.3783375024795532,0.15485534071922302,0.2037583589553833,0.41827285289764404,0.14752212166786194,0.17983654141426086,0.2433311939239502
lead,0.2627306580543518,0.1970783770084381,0.20661775767803192,0.1504456251859665,0.13349677622318268,0.19835850596427917,0.1704670786857605,0.09586142003536224,0.14552436769008636
times,0.3857055902481079,0.2859917879104614,0.2745400369167328,0.12357159703969955,0.18963581323623657,0.24352745711803436,0.16609962284564972,0.20433087646961212,0.18880689144134521
of,0.3757161796092987,0.4069072902202606,0.5052502155303955,0.29377859830856323,0.22415050864219666,1.0,0.15661373734474182,0.2559657096862793,0.1826142966747284
five,0.2892635762691498,0.310379296541214,0.2874281108379364,0.19151242077350616,0.14468960464000702,0.3980514109134674,0.17704980075359344,0.2508431673049927,0.18342848122119904
years,0.3409145474433899,0.35855233669281006,0.23773819208145142,0.2741253674030304,0.1999625265598297,0.2904134690761566,0.20586252212524414,0.18720069527626038,0.1914375126361847
or,0.417120099067688,0.2330796718597412,0.48853766918182373,0.22420622408390045,0.12620843946933746,0.3792596757411957,0.18702004849910736,0.14876773953437805,0.32389625906944275
less,0.37969323992729187,0.19779354333877563,0.3475147485733032,0.2161399871110916,0.1373085081577301,0.30836719274520874,0.08818572759628296,0.12213796377182007,0.22418740391731262
",",0.36674630641937256,0.45456063747406006,0.427140474319458,0.26425549387931824,0.23980332911014557,0.4946078956127167,0.20123498141765594,0.2766191363334656,0.31091248989105225
but,0.5599016547203064,0.36023372411727905,0.44750767946243286,0.2077558934688568,0.2252802848815918,0.39942997694015503,0.12536083161830902,0.2093638926744461,0.27921953797340393
no,0.28761178255081177,0.19955526292324066,0.26280897855758667,0.1928689032793045,0.10028672963380814,0.24809792637825012,0.12515945732593536,0.15812240540981293,0.32165053486824036
correlation,0.24768826365470886,0.17331308126449585,0.2699151039123535,0.37748169898986816,0.20600217580795288,0.2555362582206726,0.12162309139966965,0.15808407962322235,0.23400020599365234
after,0.5331412553787231,0.49306565523147583,0.3831600844860077,0.16599605977535248,0.19824042916297913,0.3867455720901489,0.1635018289089203,0.14811073243618011,0.16608688235282898
ten,0.2517945468425751,0.27622097730636597,0.23545676469802856,0.2086551934480667,0.1429891735315323,0.2743614614009857,0.1455627679824829,0.15144233405590057,0.14471080899238586
years,0.3409145474433899,0.35855233669281006,0.23773819208145142,0.2741253674030304,0.1999625265598297,0.2904134690761566,0.20586252212524414,0.18720069527626038,0.1914375126361847
.,0.475719153881073,0.40146201848983765,0.50484299659729,0.23432257771492004,0.1726469248533249,0.5352458953857422,0.1936822086572647,0.21356114745140076,0.4130953550338745
