,what,is,the,main,goal,of,criminal,punishment,of,civil,disobedients,?
along,0.22421957552433014,0.23571021854877472,0.39495137333869934,0.3070458471775055,0.1547272652387619,0.34889817237854004,0.057115588337183,0.10970427095890045,0.34889817237854004,0.10868970304727554,0.18594999611377716,0.17134909331798553
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.1962798684835434,0.1991085708141327,0.41827285289764404,0.1395583599805832,0.14433805644512177,0.41827285289764404,0.13053880631923676,0.2729675769805908,0.2433311939239502
giving,0.28628480434417725,0.24181054532527924,0.3626074492931366,0.15058419108390808,0.19521884620189667,0.3440891206264496,0.18515191972255707,0.23511150479316711,0.3440891206264496,0.10219912976026535,0.29040592908859253,0.2052922248840332
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.2443244755268097,0.733189046382904,0.25219881534576416,0.2503047287464142,0.733189046382904,0.2477465271949768,0.34096023440361023,0.22068053483963013
offender,0.3252338767051697,0.2212001532316208,0.17913901805877686,0.02051357924938202,0.18337559700012207,0.15783801674842834,0.4341351091861725,0.44452333450317383,0.15783801674842834,0.15426553785800934,0.315166711807251,0.3327721059322357
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.143780916929245,0.21726307272911072,0.38364991545677185,0.25903868675231934,0.25519201159477234,0.38364991545677185,0.18942002952098846,0.30854737758636475,0.18075084686279297
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.009458402171730995,0.01941765658557415,0.06780257821083069,0.017372701317071915,0.04033021256327629,0.06780257821083069,0.06784805655479431,0.06906302273273468,0.0685480609536171
just,0.5854880809783936,0.369599312543869,0.40061673521995544,0.3141711950302124,0.26675885915756226,0.35124439001083374,0.1799791306257248,0.2624053955078125,0.35124439001083374,0.22370319068431854,0.2647916376590729,0.4144178032875061
deserts,0.23288166522979736,0.23531168699264526,0.2802146077156067,0.13726896047592163,0.14970098435878754,0.247413769364357,0.09669756889343262,0.19486857950687408,0.247413769364357,0.17076611518859863,0.32096120715141296,0.17907465994358063
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,-0.012597051449120045,0.045381300151348114,0.13035868108272552,0.0394991859793663,-0.0038303197361528873,0.13035868108272552,-0.062313709408044815,-0.030517132952809334,0.018684765323996544
