,how,did,the,education,during,the,high,school,education,movement,differ,from,the,subsequent,high,school,education,?
high,0.16700881719589233,0.15957149863243103,0.28034812211990356,0.32903406023979187,0.16778922080993652,0.28034812211990356,1.0,0.5397339463233948,0.32903406023979187,0.14251722395420074,0.11198808997869492,0.193696990609169,0.28034812211990356,0.09658799320459366,1.0,0.5397339463233948,0.32903406023979187,0.11137914657592773
school,0.11585085093975067,0.19696208834648132,0.22953221201896667,0.5861870050430298,0.16465038061141968,0.22953221201896667,0.5397339463233948,1.0,0.5861870050430298,0.1308644413948059,0.0262092687189579,0.1915854513645172,0.22953221201896667,0.09393808245658875,0.5397339463233948,1.0,0.5861870050430298,0.15091250836849213
education,0.12444977462291718,0.19762296974658966,0.23982903361320496,1.0,0.17693781852722168,0.23982903361320496,0.32903406023979187,0.5861870050430298,1.0,0.22377124428749084,0.11299954354763031,0.19191351532936096,0.23982903361320496,0.11169256269931793,0.32903406023979187,0.5861870050430298,1.0,0.18067774176597595
during,0.26830652356147766,0.30679523944854736,0.4838213622570038,0.17693781852722168,1.0,0.4838213622570038,0.16778922080993652,0.16465038061141968,0.17693781852722168,0.2561885714530945,0.13629457354545593,0.3186885714530945,0.4838213622570038,0.2353878617286682,0.16778922080993652,0.16465038061141968,0.17693781852722168,0.1325719803571701
the,0.33890387415885925,0.34736719727516174,1.0,0.23982903361320496,0.4838213622570038,1.0,0.28034812211990356,0.22953221201896667,0.23982903361320496,0.339571475982666,0.274601012468338,0.40150508284568787,1.0,0.2562725245952606,0.28034812211990356,0.22953221201896667,0.23982903361320496,0.22068053483963013
period,0.22695960104465485,0.1760309934616089,0.3125074505805969,0.174258753657341,0.5020045042037964,0.3125074505805969,0.11772013455629349,0.1526889055967331,0.174258753657341,0.27538007497787476,0.21216052770614624,0.2558770775794983,0.3125074505805969,0.16563236713409424,0.11772013455629349,0.1526889055967331,0.174258753657341,0.18706195056438446
was,0.16678167879581451,0.41399896144866943,0.48711544275283813,0.23187610507011414,0.4470829963684082,0.48711544275283813,0.19978567957878113,0.25740107893943787,0.23187610507011414,0.18520963191986084,0.09885670244693756,0.31171464920043945,0.48711544275283813,0.20916680991649628,0.19978567957878113,0.25740107893943787,0.23187610507011414,0.18412111699581146
designed,0.21924960613250732,0.24120000004768372,0.2559613883495331,0.1871795952320099,0.1698603630065918,0.2559613883495331,0.14433395862579346,0.1465057134628296,0.1871795952320099,0.13836464285850525,0.1527121216058731,0.12069370597600937,0.2559613883495331,0.13960552215576172,0.14433395862579346,0.1465057134628296,0.1871795952320099,0.11213942617177963
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.2626708149909973,0.2828781306743622,0.535392165184021,0.28947713971138,0.24496325850486755,0.2626708149909973,0.2780168950557709,0.252501904964447,0.4069952368736267,0.535392165184021,0.2506476640701294,0.28947713971138,0.24496325850486755,0.2626708149909973,0.29463258385658264
equip,0.24861030280590057,0.20662708580493927,0.1334221065044403,0.20366884768009186,0.1023443415760994,0.1334221065044403,0.13282786309719086,0.15893390774726868,0.20366884768009186,0.13436655700206757,0.1983378678560257,0.05594569072127342,0.1334221065044403,0.11640842258930206,0.13282786309719086,0.15893390774726868,0.20366884768009186,0.14468441903591156
students,0.25370386242866516,0.1996062994003296,0.25268980860710144,0.5498206615447998,0.1957223117351532,0.25268980860710144,0.308525413274765,0.6345757842063904,0.5498206615447998,0.14928759634494781,0.09943647682666779,0.20272988080978394,0.25268980860710144,0.09154608845710754,0.308525413274765,0.6345757842063904,0.5498206615447998,0.18017297983169556
with,0.3525622487068176,0.25472134351730347,0.4223487675189972,0.11138669401407242,0.28545209765434265,0.4223487675189972,0.19851811230182648,0.13135014474391937,0.11138669401407242,0.18811029195785522,0.24196213483810425,0.26272761821746826,0.4223487675189972,0.14085686206817627,0.19851811230182648,0.13135014474391937,0.11138669401407242,0.2433311939239502
necessary,0.37167298793792725,0.34152600169181824,0.28364068269729614,0.23459236323833466,0.20002056658267975,0.28364068269729614,0.17378394305706024,0.12434613704681396,0.23459236323833466,0.1864464432001114,0.3211183547973633,0.1611299067735672,0.28364068269729614,0.2963067293167114,0.17378394305706024,0.12434613704681396,0.23459236323833466,0.3430270850658417
skill,0.3265477418899536,0.2626155614852905,0.1876901537179947,0.28516441583633423,0.2249153107404709,0.1876901537179947,0.23540188372135162,0.2245008796453476,0.28516441583633423,0.1151592805981636,0.19282309710979462,0.11360415816307068,0.1876901537179947,0.15378287434577942,0.23540188372135162,0.2245008796453476,0.28516441583633423,0.14437545835971832
sets,0.27850115299224854,0.1249794140458107,0.2320500761270523,0.05436088144779205,0.15606822073459625,0.2320500761270523,0.1071823462843895,0.11873319000005722,0.05436088144779205,0.147638738155365,0.19624221324920654,0.15882490575313568,0.2320500761270523,0.06744945049285889,0.1071823462843895,0.11873319000005722,0.05436088144779205,0.07869148254394531
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.2626708149909973,0.2828781306743622,0.535392165184021,0.28947713971138,0.24496325850486755,0.2626708149909973,0.2780168950557709,0.252501904964447,0.4069952368736267,0.535392165184021,0.2506476640701294,0.28947713971138,0.24496325850486755,0.2626708149909973,0.29463258385658264
be,0.4158933162689209,0.22657383978366852,0.4248143136501312,0.19451211392879486,0.24990400671958923,0.4248143136501312,0.1991795301437378,0.16095811128616333,0.19451211392879486,0.1545189768075943,0.292641818523407,0.3107333183288574,0.4248143136501312,0.31602877378463745,0.1991795301437378,0.16095811128616333,0.19451211392879486,0.3324260413646698
able,0.4865567088127136,0.43777281045913696,0.3435857892036438,0.12850606441497803,0.23386408388614655,0.3435857892036438,0.17804555594921112,0.11913048475980759,0.12850606441497803,0.16786673665046692,0.2037539780139923,0.2139057070016861,0.3435857892036438,0.24668322503566742,0.17804555594921112,0.11913048475980759,0.12850606441497803,0.260649710893631
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.2626708149909973,0.2828781306743622,0.535392165184021,0.28947713971138,0.24496325850486755,0.2626708149909973,0.2780168950557709,0.252501904964447,0.4069952368736267,0.535392165184021,0.2506476640701294,0.28947713971138,0.24496325850486755,0.2626708149909973,0.29463258385658264
perform,0.29445943236351013,0.29621028900146484,0.22443658113479614,0.13638952374458313,0.23693746328353882,0.22443658113479614,0.10017744451761246,0.14743834733963013,0.13638952374458313,0.16168427467346191,0.19065871834754944,0.15843187272548676,0.22443658113479614,0.16242152452468872,0.10017744451761246,0.14743834733963013,0.13638952374458313,0.13460582494735718
at,0.2154216170310974,0.28390252590179443,0.457212895154953,0.22585788369178772,0.372769296169281,0.457212895154953,0.2874184250831604,0.3177914023399353,0.22585788369178772,0.13521893322467804,0.15844590961933136,0.3447161316871643,0.457212895154953,0.18268808722496033,0.2874184250831604,0.3177914023399353,0.22585788369178772,0.21978627145290375
work,0.38187548518180847,0.336654931306839,0.2704800069332123,0.2793422043323517,0.1864008754491806,0.2704800069332123,0.1812952160835266,0.19769346714019775,0.2793422043323517,0.26338663697242737,0.2839715778827667,0.20936714112758636,0.2704800069332123,0.14305172860622406,0.1812952160835266,0.19769346714019775,0.2793422043323517,0.2621155381202698
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.27047446370124817,0.3485563397407532,0.5934505462646484,0.24301011860370636,0.24214158952236176,0.27047446370124817,0.22796523571014404,0.1655583530664444,0.41536515951156616,0.5934505462646484,0.16953890025615692,0.24301011860370636,0.24214158952236176,0.27047446370124817,0.4130953550338745
