,in,what,year,was,the,first,doctor,who,audiobook,released,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.49448907375335693,0.2820442318916321,0.3733934462070465,0.2116597294807434,0.24578391015529633,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.3099139928817749,0.5022147297859192,0.49448907375335693,1.0,0.27244147658348083,0.39065709710121155,0.23942509293556213,0.33788758516311646,0.18701928853988647
commercially,0.2583075165748596,0.13558313250541687,0.13690729439258575,0.2954142093658447,0.2240111082792282,0.31788432598114014,0.07838231325149536,0.11628497391939163,0.19382423162460327,0.3443008363246918,0.050892215222120285
available,0.1939793825149536,0.22032985091209412,0.11653824895620346,0.1657772958278656,0.26723232865333557,0.2574032247066498,0.16156968474388123,0.1272890865802765,0.37850451469421387,0.30250266194343567,0.2501629889011383
audiobook,0.17760728299617767,0.2664114236831665,0.15594887733459473,0.22895415127277374,0.2116597294807434,0.23942509293556213,0.19928856194019318,0.20623360574245453,0.9999998807907104,0.3116421699523926,0.23815706372261047
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.19672659039497375,0.3318818509578705,0.22895415127277374,0.32720035314559937,0.18412111699581146
an,0.2605783939361572,0.2821882665157318,0.17045794427394867,0.3694365322589874,0.4207492768764496,0.29757723212242126,0.1790127456188202,0.2848317325115204,0.1751386523246765,0.15115685760974884,0.19793890416622162
abridged,0.2623235285282135,0.1895192563533783,0.08254530280828476,0.2715209722518921,0.28656500577926636,0.28137731552124023,0.15817739069461823,0.22894471883773804,0.4802471697330475,0.3199387192726135,0.2508881092071533
reading,0.23746685683727264,0.3198648989200592,0.1727503538131714,0.16964635252952576,0.2655330300331116,0.2677288055419922,0.18645955622196198,0.21759745478630066,0.4185459315776825,0.1407667100429535,0.2818225026130676
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.3536086082458496,0.16895952820777893,0.2827862501144409,0.1590750813484192,0.17721395194530487,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.49448907375335693,0.2820442318916321,0.3733934462070465,0.2116597294807434,0.24578391015529633,0.22068053483963013
fourth,0.29149749875068665,0.137417271733284,0.2531149685382843,0.35251522064208984,0.40804702043533325,0.5567235350608826,0.21519136428833008,0.16443325579166412,0.15559743344783783,0.30622661113739014,0.13791213929653168
doctor,0.25567495822906494,0.20870667695999146,0.16282056272029877,0.19672659039497375,0.2820442318916321,0.27244147658348083,0.9999999403953552,0.3504868149757385,0.19928856194019318,0.16010989248752594,0.1462511420249939
