,the,rhine,flowed,through,swabia,",",franconia,and,what,other,location,in,the,10th,century,?
in,0.6662389636039734,0.24648422002792358,0.2876976430416107,0.38533157110214233,0.2781798541545868,0.5201468467712402,0.3369867503643036,0.4954058527946472,0.30808621644973755,0.39989137649536133,0.3397608697414398,1.0,0.6662389636039734,0.23028290271759033,0.3174034655094147,0.20430970191955566
the,1.0,0.30735138058662415,0.3597415089607239,0.44071322679519653,0.2215086966753006,0.4933079481124878,0.3273923099040985,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.351087361574173,0.6662389636039734,1.0,0.3098960816860199,0.3617299497127533,0.22068053483963013
9th,0.15220077335834503,0.021898256614804268,-0.012941171415150166,0.07083123922348022,-0.05178264155983925,0.13849611580371857,-0.06735938787460327,0.21029727160930634,0.12212204188108444,0.10498296469449997,-0.025969889014959335,0.06262481957674026,0.15220077335834503,0.7603479027748108,0.13130202889442444,0.06775698810815811
",",0.4933079481124878,0.167837992310524,0.24361252784729004,0.3060276508331299,0.290785551071167,1.0000001192092896,0.2724020481109619,0.6633074283599854,0.3087472915649414,0.4446498453617096,0.25077858567237854,0.5201468467712402,0.4933079481124878,0.26009640097618103,0.24487493932247162,0.31091248989105225
it,0.6251175999641418,0.17693428695201874,0.27987635135650635,0.3374522924423218,0.2125079333782196,0.48329564929008484,0.25177696347236633,0.40957894921302795,0.45803478360176086,0.36282607913017273,0.27346327900886536,0.5130809545516968,0.6251175999641418,0.28753525018692017,0.2796405553817749,0.25732165575027466
formed,0.28813210129737854,0.12505698204040527,0.3034472167491913,0.24054740369319916,0.13527539372444153,0.2636634409427643,0.17203828692436218,0.27619341015815735,0.15451857447624207,0.20881874859333038,0.17018307745456696,0.27325257658958435,0.28813210129737854,0.08996151387691498,0.10673335194587708,0.09686966985464096
part,0.527681291103363,0.23044916987419128,0.24200572073459625,0.3582339882850647,0.23811139166355133,0.3376222252845764,0.32193270325660706,0.35301485657691956,0.3476244807243347,0.25873222947120667,0.2523777484893799,0.4499994218349457,0.527681291103363,0.21842525899410248,0.22761808335781097,0.08557961881160736
of,0.733189046382904,0.2548927664756775,0.30274975299835205,0.3647414743900299,0.3305501937866211,0.4946078956127167,0.29164794087409973,0.5116966962814331,0.33290785551071167,0.38583824038505554,0.28702232241630554,0.5696388483047485,0.733189046382904,0.23135127127170563,0.2826060354709625,0.1826142966747284
the,1.0,0.30735138058662415,0.3597415089607239,0.44071322679519653,0.2215086966753006,0.4933079481124878,0.3273923099040985,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.351087361574173,0.6662389636039734,1.0,0.3098960816860199,0.3617299497127533,0.22068053483963013
border,0.2856229841709137,0.32308438420295715,0.295509934425354,0.2256595492362976,0.29943573474884033,0.2548258304595947,0.3312560021877289,0.29048892855644226,0.26696228981018066,0.22773391008377075,0.2973066568374634,0.28533756732940674,0.2856229841709137,0.15186110138893127,0.17116522789001465,0.1706928312778473
