,what,programs,are,broadcast,from,the,times,square,studios,for,abc,?
abc,0.1317344456911087,0.3454950749874115,0.06184951588511467,0.4876510202884674,0.12159302085638046,0.2068762183189392,0.1631121188402176,0.09751051664352417,0.2829587459564209,0.22510288655757904,1.0000001192092896,0.19065172970294952
also,0.42747777700424194,0.39758992195129395,0.4565894305706024,0.23285190761089325,0.33783096075057983,0.6021018624305725,0.36468109488487244,0.19063931703567505,0.21927863359451294,0.5373267531394958,0.2030053734779358,0.21848613023757935
owns,0.1270528882741928,0.1460021734237671,0.22650936245918274,0.1611565202474594,0.11936654150485992,0.19328729808330536,0.16139410436153412,0.17842426896095276,0.29258865118026733,0.23517553508281708,0.23212404549121857,0.18703800439834595
the,0.42745697498321533,0.21757709980010986,0.40399202704429626,0.2713715434074402,0.40150508284568787,1.0,0.29093852639198303,0.2809545397758484,0.25030121207237244,0.4739971458911896,0.2068762183189392,0.22068053483963013
times,0.21414996683597565,0.17383693158626556,0.16137352585792542,0.23030094802379608,0.25679540634155273,0.29093852639198303,1.0,0.21139036118984222,0.1739162653684616,0.2999500632286072,0.1631121188402176,0.18880689144134521
square,0.12660330533981323,0.07799588888883591,0.18786215782165527,0.13172492384910583,0.10668959468603134,0.2809545397758484,0.21139036118984222,1.0,0.23060990869998932,0.1615643948316574,0.09751051664352417,0.1201515942811966
studios,0.15965642035007477,0.24634091556072235,0.15611153841018677,0.3257775902748108,0.16741159558296204,0.25030121207237244,0.1739162653684616,0.23060990869998932,1.0,0.14505156874656677,0.2829587459564209,0.16383133828639984
at,0.2838611304759979,0.15027402341365814,0.2074895054101944,0.2025444209575653,0.3447161316871643,0.457212895154953,0.26909148693084717,0.21245744824409485,0.24949678778648376,0.34237727522850037,0.12953892350196838,0.21978627145290375
1500,-0.06053812801837921,-0.07126176357269287,0.03255774453282356,-0.08196170628070831,-0.06471225619316101,-0.03235486149787903,-0.06540314108133316,-0.09628670662641525,-0.033961523324251175,-0.015217471867799759,-0.05785762518644333,0.08418000489473343
broadway,0.1423991322517395,0.2569124400615692,0.0984814465045929,0.2556634247303009,0.10366813093423843,0.18395566940307617,0.19597947597503662,0.2287626415491104,0.30159226059913635,0.21107125282287598,0.35529398918151855,0.188872292637825
on,0.34226128458976746,0.28622785210609436,0.268924742937088,0.2845228910446167,0.36926645040512085,0.5107308030128479,0.21426425874233246,0.17756907641887665,0.22911055386066437,0.36199691891670227,0.2862928807735443,0.2714994251728058
land,0.23411516845226288,0.11344767361879349,0.1816364973783493,0.14362701773643494,0.21997374296188354,0.28587454557418823,0.1410026103258133,0.24449965357780457,0.18179844319820404,0.19845563173294067,0.11165688931941986,0.1432059109210968
in,0.30808621644973755,0.2276356965303421,0.3841303884983063,0.26723843812942505,0.4274188280105591,0.6662389636039734,0.2427823841571808,0.2193731665611267,0.24788589775562286,0.4322226941585541,0.1697147786617279,0.20430970191955566
times,0.21414996683597565,0.17383693158626556,0.16137352585792542,0.23030094802379608,0.25679540634155273,0.29093852639198303,1.0,0.21139036118984222,0.1739162653684616,0.2999500632286072,0.1631121188402176,0.18880689144134521
square,0.12660330533981323,0.07799588888883591,0.18786215782165527,0.13172492384910583,0.10668959468603134,0.2809545397758484,0.21139036118984222,1.0,0.23060990869998932,0.1615643948316574,0.09751051664352417,0.1201515942811966
owned,0.12432919442653656,0.1938660889863968,0.17828314006328583,0.25112810730934143,0.17882458865642548,0.1999378502368927,0.17633098363876343,0.15573327243328094,0.3180728852748871,0.19904224574565887,0.2405787706375122,0.1288648396730423
by,0.2455483376979828,0.2369476854801178,0.37842893600463867,0.22584840655326843,0.3373257517814636,0.4408751428127289,0.18494531512260437,0.20503279566764832,0.24147972464561462,0.3248702883720398,0.17600902915000916,0.17966607213020325
a,0.3320399522781372,0.25316864252090454,0.265255331993103,0.2046348601579666,0.322764128446579,0.5829201340675354,0.2745400369167328,0.22548454999923706,0.18739166855812073,0.44038116931915283,0.21331243216991425,0.23916715383529663
development,0.19014155864715576,0.29188624024391174,0.22856876254081726,0.13886599242687225,0.15210078656673431,0.3362044394016266,0.18046934902668,0.14493203163146973,0.25515425205230713,0.28623178601264954,0.12770791351795197,0.1211358830332756
fund,0.14864346385002136,0.29024454951286316,0.13604092597961426,0.26919931173324585,0.1892695426940918,0.25521403551101685,0.10402384400367737,0.20580746233463287,0.12975217401981354,0.3049182593822479,0.2062237560749054,0.1883198469877243
