,when,did,a,plague-ridden,ship,land,in,norway,?
it,0.4775012135505676,0.2993364930152893,0.5452592968940735,0.3250594437122345,0.18937671184539795,0.2534204423427582,0.5130809545516968,0.19163154065608978,0.25732165575027466
was,0.37326499819755554,0.41399896144866943,0.4508470594882965,0.23994487524032593,0.20396772027015686,0.23751215636730194,0.45514053106307983,0.17472463846206665,0.18412111699581146
introduced,0.21339701116085052,0.17650672793388367,0.2573881149291992,0.2419268786907196,0.12718312442302704,0.12582576274871826,0.2614979147911072,0.12139977514743805,0.16386865079402924
in,0.4431333839893341,0.2593238651752472,0.539380669593811,0.2867788076400757,0.21587909758090973,0.22871792316436768,1.0,0.25539493560791016,0.20430970191955566
norway,0.18879380822181702,0.13200347125530243,0.20911905169487,0.24674412608146667,0.2288159877061844,0.17373156547546387,0.25539493560791016,0.9999999403953552,0.12105534970760345
in,0.4431333839893341,0.2593238651752472,0.539380669593811,0.2867788076400757,0.21587909758090973,0.22871792316436768,1.0,0.25539493560791016,0.20430970191955566
1349,0.07998857647180557,-0.0045248656533658504,0.07724875956773758,0.06074129790067673,0.024043040350079536,0.03156726434826851,-0.017409570515155792,0.01843004859983921,0.04325690120458603
when,0.9999999403953552,0.3228907287120819,0.44397395849227905,0.30387815833091736,0.2550215423107147,0.20329858362674713,0.4431333839893341,0.18879380822181702,0.22841128706932068
a,0.44397395849227905,0.2552328109741211,1.0,0.3073784410953522,0.20629847049713135,0.247930645942688,0.539380669593811,0.20911905169487,0.23916715383529663
ship,0.2550215423107147,0.16892459988594055,0.20629847049713135,0.2808745205402374,1.0000001192092896,0.27746325731277466,0.21587909758090973,0.2288159877061844,0.14488010108470917
landed,0.27301180362701416,0.22126129269599915,0.21975062787532806,0.21400907635688782,0.4481935203075409,0.5001826882362366,0.2692160904407501,0.18633747100830078,0.1640893667936325
at,0.38876327872276306,0.28390252590179443,0.3095070421695709,0.17144881188869476,0.14877007901668549,0.15723508596420288,0.4374977946281433,0.1873781532049179,0.21978627145290375
askøy,0.2329569160938263,0.3123970031738281,0.17521651089191437,0.07420364767313004,0.03803751617670059,0.07369402050971985,0.10580600053071976,0.07201378792524338,0.30672091245651245
",",0.36674630641937256,0.3015086054801941,0.427140474319458,0.33200889825820923,0.2015654593706131,0.22220008075237274,0.5201468467712402,0.23151691257953644,0.31091248989105225
then,0.6026323437690735,0.303744375705719,0.3970017731189728,0.3170442581176758,0.19256728887557983,0.18512290716171265,0.36253848671913147,0.14881467819213867,0.2884598970413208
spread,0.22687478363513947,0.1917719841003418,0.17979469895362854,0.33657100796699524,0.1328323781490326,0.15282779932022095,0.24312569200992584,0.1843051165342331,0.16482828557491302
to,0.5423505902290344,0.4452643394470215,0.45503583550453186,0.2787624001502991,0.25755465030670166,0.2885280251502991,0.45010748505592346,0.19345083832740784,0.29463258385658264
bjørgvin,0.2458324432373047,0.1877790242433548,0.30929768085479736,0.13624590635299683,0.07386693358421326,0.09069566428661346,0.2966470718383789,0.3190148174762726,0.24331876635551453
(,0.2459595799446106,0.18979617953300476,0.3206180930137634,0.16950587928295135,0.1307222992181778,0.15432493388652802,0.3087427020072937,0.1390243023633957,0.40561532974243164
modern,0.19283193349838257,0.21376098692417145,0.24361324310302734,0.19592268764972687,0.09625644981861115,0.17234867811203003,0.29808807373046875,0.08101163059473038,0.12475407868623734
bergen,0.10787754505872726,0.08058269321918488,0.22986212372779846,0.23533359169960022,0.19400213658809662,0.19321849942207336,0.2749575674533844,0.44153648614883423,0.14942072331905365
),0.2538422644138336,0.18584993481636047,0.3640355169773102,0.16620737314224243,0.1378374695777893,0.1601184755563736,0.3326910734176636,0.16747544705867767,0.42300865054130554
and,0.4716290831565857,0.34479495882987976,0.3739250600337982,0.30686190724372864,0.22449490427970886,0.2874513864517212,0.4954058527946472,0.23708364367485046,0.20544172823429108
iceland,0.19079656898975372,0.12171703577041626,0.18890424072742462,0.2521834969520569,0.23990830779075623,0.21289905905723572,0.18967437744140625,0.5863115191459656,0.09851763397455215
.,0.475719153881073,0.35288307070732117,0.50484299659729,0.3302983343601227,0.2356855869293213,0.259204238653183,0.5591574311256409,0.255178302526474,0.4130953550338745
