,what,is,the,ieee,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1104082316160202,0.20430970191955566
1888,0.15734994411468506,0.19951151311397552,0.2002750039100647,0.12663038074970245,0.07625395059585571
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.24352361261844635,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.1838465929031372,0.22068053483963013
editor,0.24203328788280487,0.22448866069316864,0.17138153314590454,0.17851106822490692,0.29182010889053345
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2129846066236496,0.1826142966747284
electrical,0.19961315393447876,0.20024892687797546,0.2523402273654938,0.37310829758644104,0.10923371464014053
world,0.21669597923755646,0.24458536505699158,0.33604270219802856,0.2539602220058441,0.17579582333564758
magazine,0.16423653066158295,0.16479767858982086,0.19931171834468842,0.2616514265537262,0.15570664405822754
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.24352361261844635,0.31091248989105225
thomas,0.1806955188512802,0.15801864862442017,0.23505409061908722,0.21509091556072235,0.16133050620555878
commerford,0.16102948784828186,0.2203911691904068,0.24951380491256714,0.30446121096611023,0.13851870596408844
martin,0.14814218878746033,0.17765893042087555,0.22029393911361694,0.22641928493976593,0.060103293508291245
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.23260299861431122,0.40561532974243164
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.16850139200687408,0.23916715383529663
friend,0.21574655175209045,0.19575034081935883,0.1746615767478943,0.16038286685943604,0.12953594326972961
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.19170649349689484,0.20544172823429108
publicist,0.19299936294555664,0.08817599713802338,0.12261292338371277,0.21867264807224274,0.23023360967636108
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.22289595007896423,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.24352361261844635,0.31091248989105225
arranged,0.1523403525352478,0.1437956988811493,0.26620063185691833,0.12213728576898575,0.08499907702207565
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.27159491181373596,0.264628142118454
tesla,0.23221199214458466,0.14061255753040314,0.1324402391910553,0.3623356223106384,0.10250775516033173
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.1780811995267868,0.29463258385658264
demonstrate,0.2640211582183838,0.1701287031173706,0.2374596893787384,0.20952335000038147,0.20898205041885376
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.11539559066295624,0.18075084686279297
alternating,0.10095972567796707,0.2651365399360657,0.34576064348220825,0.24261857569217682,0.13878576457500458
current,0.18294453620910645,0.2555285692214966,0.3314409554004669,0.22133088111877441,0.12074550241231918
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.22901274263858795,0.15556083619594574
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.24352361261844635,0.31091248989105225
including,0.18328791856765747,0.25093933939933777,0.3738902807235718,0.23379658162593842,0.1633303165435791
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.11539559066295624,0.18075084686279297
induction,0.21248550713062286,0.2118605077266693,0.26266005635261536,0.37904393672943115,0.1510571390390396
motor,0.18952611088752747,0.21910050511360168,0.26024484634399414,0.17595814168453217,0.0637441948056221
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.24352361261844635,0.31091248989105225
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.1757829487323761,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.1838465929031372,0.22068053483963013
american,0.1909721940755844,0.1853146106004715,0.24562937021255493,0.24350228905677795,0.18877598643302917
institute,0.17608846724033356,0.1914694458246231,0.24399729073047638,0.3035942316055298,0.115291528403759
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2129846066236496,0.1826142966747284
electrical,0.19961315393447876,0.20024892687797546,0.2523402273654938,0.37310829758644104,0.10923371464014053
engineers,0.259060800075531,0.1401476263999939,0.25282254815101624,0.33787575364112854,0.18139411509037018
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.23260299861431122,0.40561532974243164
now,0.4903225302696228,0.39589470624923706,0.38266420364379883,0.17558999359607697,0.29641881585121155
ieee,0.14314574003219604,0.1370701938867569,0.1838465929031372,1.0,0.16785793006420135
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.22289595007896423,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.20208533108234406,0.4130953550338745
