,how,many,times,prios,has,the,sun,life,stadium,had,super,bowls,?
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.2263406664133072,0.4177538752555847,1.0,0.258540540933609,0.23528170585632324,0.21145665645599365,0.3875846862792969,0.21959073841571808,0.17019082605838776,0.22068053483963013
south,0.11786635220050812,0.2319321483373642,0.11877748370170593,0.1372516006231308,0.2072066068649292,0.3129390776157379,0.2149018794298172,0.08111972361803055,0.24209190905094147,0.17805784940719604,0.13015596568584442,0.17790992558002472,0.12336621433496475
florida/miami,0.142497718334198,0.20585575699806213,0.20234590768814087,0.31054553389549255,0.21910303831100464,0.2696992754936218,0.23610903322696686,0.1933450698852539,0.25719889998435974,0.2066710889339447,0.2097877860069275,0.31114211678504944,0.17255498468875885
area,0.17030490934848785,0.2414858043193817,0.19833897054195404,0.04824071377515793,0.3084876537322998,0.37834644317626953,0.13395428657531738,0.05918777361512184,0.22079673409461975,0.24870362877845764,0.09147491306066513,0.12791679799556732,0.12640461325645447
has,0.26820555329322815,0.4266262650489807,0.37720999121665955,0.20240333676338196,1.0,0.4177538752555847,0.18989816308021545,0.1895075887441635,0.11947191506624222,0.5787927508354187,0.15233033895492554,0.18202731013298035,0.15994466841220856
previously,0.14952975511550903,0.2832973301410675,0.30574196577072144,0.20687003433704376,0.33915409445762634,0.33854439854621887,0.13500072062015533,0.1338120549917221,0.1626196652650833,0.3946262300014496,0.24618855118751526,0.1462308019399643,0.15811841189861298
hosted,0.12016339600086212,0.20845934748649597,0.17764340341091156,0.12368973344564438,0.28831419348716736,0.2576315402984619,0.08588912338018417,0.08137089014053345,0.3499431312084198,0.2181791067123413,0.1794566810131073,0.17014619708061218,0.09810540825128555
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.2263406664133072,0.4177538752555847,1.0,0.258540540933609,0.23528170585632324,0.21145665645599365,0.3875846862792969,0.21959073841571808,0.17019082605838776,0.22068053483963013
event,0.1736278086900711,0.17792239785194397,0.17862682044506073,0.19084540009498596,0.16105224192142487,0.2960145175457001,0.20481444895267487,0.1555248349905014,0.2870921492576599,0.1993836760520935,0.20683135092258453,0.194216787815094,0.16076280176639557
10,0.09177426248788834,0.3056783974170685,0.03208233043551445,0.029418418183922768,0.1565546989440918,0.2880653440952301,0.13491807878017426,0.04514903202652931,0.11419178545475006,0.1529655158519745,0.053164973855018616,0.05382133647799492,0.022911956533789635
times,0.2685738503932953,0.303416907787323,1.0,0.2272213250398636,0.37720999121665955,0.29093852639198303,0.2999598979949951,0.2844661474227905,0.12687304615974426,0.31343862414360046,0.19135531783103943,0.24609826505184174,0.18880689144134521
