,outside,of,northern,san,diego,",",which,other,region,contains,business,districts,?
most,0.26764848828315735,0.4178851246833801,0.26077258586883545,0.19508418440818787,0.1866137683391571,0.3636029064655304,0.4637843072414398,0.4585079252719879,0.19658514857292175,0.27266764640808105,0.21127663552761078,0.16708983480930328,0.2107497900724411
of,0.2973117530345917,1.0,0.32586339116096497,0.25237205624580383,0.1941702961921692,0.4946078956127167,0.5011631846427917,0.38583824038505554,0.2852717339992523,0.34575599431991577,0.23985227942466736,0.2693168818950653,0.1826142966747284
these,0.3060399293899536,0.42684608697891235,0.19267238676548004,0.16423894464969635,0.14469647407531738,0.37613096833229065,0.5959210991859436,0.6478539705276489,0.21670378744602203,0.30138036608695984,0.19731180369853973,0.2414141297340393,0.2571668326854706
districts,0.19237558543682098,0.2693168818950653,0.2480810135602951,0.09998460114002228,0.03322974219918251,0.252678245306015,0.22943581640720367,0.19583407044410706,0.37322741746902466,0.1657758504152298,0.138702392578125,1.0000001192092896,0.10677915066480637
are,0.30540841817855835,0.39081433415412903,0.1961788535118103,0.13921020925045013,0.16360539197921753,0.4062570035457611,0.42922598123550415,0.5932393670082092,0.20011243224143982,0.4062691628932953,0.16427041590213776,0.26054954528808594,0.24591213464736938
located,0.3065417408943176,0.32520920038223267,0.32189637422561646,0.19361372292041779,0.1347682774066925,0.2678719460964203,0.29797419905662537,0.15855982899665833,0.35381484031677246,0.27686721086502075,0.17554257810115814,0.24233360588550568,0.08983194828033447
in,0.4191201329231262,0.5696388483047485,0.3545122444629669,0.2617562413215637,0.2255222201347351,0.5201468467712402,0.4840516746044159,0.39989137649536133,0.3524819314479828,0.28116101026535034,0.2298729121685028,0.26488247513771057,0.20430970191955566
northern,0.3140469193458557,0.32586339116096497,0.9999998807907104,0.2401038110256195,0.16888955235481262,0.29473260045051575,0.2470913678407669,0.2566784620285034,0.4094666540622711,0.0985240489244461,0.1835709810256958,0.2480810135602951,0.13149388134479523
san,0.17368431389331818,0.25237205624580383,0.2401038110256195,0.9999999403953552,0.6883842349052429,0.25561806559562683,0.190042182803154,0.19091297686100006,0.13148866593837738,0.12784850597381592,0.16463854908943176,0.09998460114002228,0.10952327400445938
diego,0.14565928280353546,0.1941702961921692,0.16888955235481262,0.6883842349052429,0.9999999403953552,0.25578492879867554,0.12495049089193344,0.1986868679523468,0.09232752025127411,0.13127022981643677,0.16646680235862732,0.03322974219918251,0.11438121646642685
and,0.31803378462791443,0.5116966962814331,0.2852024435997009,0.23541347682476044,0.2412230372428894,0.6633074283599854,0.506277859210968,0.5504306554794312,0.2372262328863144,0.27121078968048096,0.33353009819984436,0.2542273700237274,0.20544172823429108
some,0.3156074583530426,0.4300730526447296,0.20145535469055176,0.2117152065038681,0.21164129674434662,0.42400437593460083,0.5407140851020813,0.6399164199829102,0.13805310428142548,0.3110649883747101,0.20298494398593903,0.17308886349201202,0.2562315762042999
within,0.4441429674625397,0.39594778418540955,0.28241926431655884,0.1252341866493225,0.15499277412891388,0.2513136863708496,0.43539655208587646,0.2836414575576782,0.3193294405937195,0.34257739782333374,0.23568616807460785,0.1970306783914566,0.1870293766260147
north,0.24378706514835358,0.3604778051376343,0.5398455858230591,0.27082112431526184,0.20499058067798615,0.31834840774536133,0.2384447455406189,0.21928533911705017,0.3999730050563812,0.15385209023952484,0.1941557675600052,0.2802347242832184,0.11829731613397598
county,0.16481734812259674,0.2393190860748291,0.3014852702617645,0.25673016905784607,0.2317018359899521,0.26861095428466797,0.1709478199481964,0.17025738954544067,0.25755172967910767,0.1469804048538208,0.22033794224262238,0.2710418403148651,0.07680056244134903
regions,0.3060830533504486,0.3694140613079071,0.3885270953178406,0.09314806014299393,0.08435343950986862,0.26776278018951416,0.2879617512226105,0.29254353046417236,0.7069834470748901,0.2382749766111374,0.16308242082595825,0.4299609363079071,0.11608363687992096
.,0.28971612453460693,0.5352458953857422,0.2815330922603607,0.24563752114772797,0.2188110053539276,0.6812511086463928,0.45942068099975586,0.41511186957359314,0.2506107687950134,0.22984972596168518,0.25987809896469116,0.20579329133033752,0.4130953550338745
