,what,compounds,are,released,by,injured,or,infected,cells,",",triggering,inflammation,?
inflammation,0.24853453040122986,0.42391538619995117,0.301786333322525,0.19820882380008698,0.1914810687303543,0.2913872301578522,0.369493305683136,0.5157074332237244,0.4767861068248749,0.21966072916984558,0.4497671127319336,0.9999999403953552,0.2187519371509552
is,0.28837618231773376,0.2659003734588623,0.5330929756164551,0.21587204933166504,0.3899846076965332,0.09947870671749115,0.41870999336242676,0.16576501727104187,0.1644774079322815,0.4691906273365021,0.2595789134502411,0.24709373712539673,0.22961433231830597
produced,0.1393624097108841,0.19841724634170532,0.1927390992641449,0.42076432704925537,0.4647648334503174,0.1608034372329712,0.1420074999332428,0.1799941062927246,0.2253560572862625,0.22260788083076477,0.15370500087738037,0.17834557592868805,0.1623450517654419
by,0.2455483376979828,0.21271248161792755,0.37842893600463867,0.31595227122306824,1.0000001192092896,0.24834254384040833,0.30274316668510437,0.2319251000881195,0.19208736717700958,0.3680937886238098,0.30069270730018616,0.1914810687303543,0.17966607213020325
eicosanoids,0.2890376150608063,0.47086918354034424,0.4223092496395111,0.23807255923748016,0.19004356861114502,0.2423790991306305,0.386328786611557,0.33295539021492004,0.5056809782981873,0.3180268704891205,0.30009087920188904,0.5355671644210815,0.2850205898284912
and,0.31309178471565247,0.25433242321014404,0.48576638102531433,0.2706851661205292,0.4289871156215668,0.2198655754327774,0.4713204801082611,0.24575527012348175,0.24033623933792114,0.6633074283599854,0.21728764474391937,0.2020522803068161,0.20544172823429108
cytokines,0.23624680936336517,0.4460044503211975,0.3043077886104584,0.24900947511196136,0.23592901229858398,0.160527765750885,0.3258764445781708,0.4280526041984558,0.6944684386253357,0.19288359582424164,0.429473876953125,0.5937551259994507,0.15750601887702942
",",0.3087472915649414,0.20700839161872864,0.4062570035457611,0.2775750756263733,0.3680937886238098,0.20513707399368286,0.3769497275352478,0.232400581240654,0.20582014322280884,1.0000001192092896,0.20830675959587097,0.21966072916984558,0.31091248989105225
which,0.5261979103088379,0.29740291833877563,0.42922598123550415,0.2545137405395508,0.40543368458747864,0.2000359296798706,0.5105096101760864,0.2923981845378876,0.3000165820121765,0.3658004403114319,0.37104332447052,0.3527457118034363,0.25814583897590637
are,0.29724663496017456,0.3708919882774353,1.0,0.17719070613384247,0.37842893600463867,0.14303159713745117,0.5374364256858826,0.19334425032138824,0.2908284366130829,0.4062570035457611,0.3413870930671692,0.301786333322525,0.24591213464736938
released,0.20228935778141022,0.188520148396492,0.17719070613384247,1.0,0.31595227122306824,0.2163543999195099,0.19135762751102448,0.24473467469215393,0.1925678700208664,0.2775750756263733,0.16113020479679108,0.19820882380008698,0.20329579710960388
by,0.2455483376979828,0.21271248161792755,0.37842893600463867,0.31595227122306824,1.0000001192092896,0.24834254384040833,0.30274316668510437,0.2319251000881195,0.19208736717700958,0.3680937886238098,0.30069270730018616,0.1914810687303543,0.17966607213020325
injured,0.14425544440746307,0.2143668830394745,0.14303159713745117,0.2163543999195099,0.24834254384040833,1.0000001192092896,0.21605180203914642,0.36654430627822876,0.17563001811504364,0.20513707399368286,0.22619181871414185,0.2913872301578522,0.12394905835390091
or,0.33867141604423523,0.34232544898986816,0.5374364256858826,0.19135762751102448,0.30274316668510437,0.21605180203914642,1.0000001192092896,0.29212579131126404,0.32840585708618164,0.3769497275352478,0.37711596488952637,0.369493305683136,0.32389625906944275
infected,0.18830068409442902,0.30778467655181885,0.19334425032138824,0.24473467469215393,0.2319251000881195,0.36654430627822876,0.29212579131126404,1.0000001192092896,0.41876426339149475,0.232400581240654,0.28729569911956787,0.5157074332237244,0.17761120200157166
cells,0.1758001297712326,0.4153059124946594,0.2908284366130829,0.1925678700208664,0.19208736717700958,0.17563001811504364,0.32840585708618164,0.41876426339149475,1.0,0.20582014322280884,0.3140336275100708,0.4767861068248749,0.1898086667060852
.,0.3567904531955719,0.23886778950691223,0.3452940285205841,0.298698753118515,0.3936232924461365,0.2339104264974594,0.36683785915374756,0.26742252707481384,0.2868211269378662,0.6812511086463928,0.237875297665596,0.2382277250289917,0.4130953550338745
