,what,does,the,armagnac,manuscript,in,the,v,&,a,library,archive,depict,?
illuminated,0.1660466343164444,0.21254293620586395,0.25755834579467773,0.343532532453537,0.4025060534477234,0.19316352903842926,0.25755834579467773,0.1447104513645172,0.23285849392414093,0.17589955031871796,0.23275749385356903,0.18208472430706024,0.3543987274169922,0.14651840925216675
manuscripts,0.16659684479236603,0.17029954493045807,0.2274177074432373,0.23670178651809692,0.9260348677635193,0.20494025945663452,0.2274177074432373,0.14413684606552124,0.058022018522024155,0.12508811056613922,0.47801464796066284,0.3554403483867645,0.27883026003837585,0.16131190955638885
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.18808697164058685,0.20317763090133667,1.0,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.2101847380399704,0.11993463337421417,0.19531284272670746,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,1.0,0.20475567877292633,0.2120380848646164,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.19920319318771362,0.20227214694023132,0.20201213657855988,0.22068053483963013
library,0.19149379432201385,0.11357046663761139,0.19920319318771362,0.14676442742347717,0.4302135705947876,0.2101847380399704,0.19920319318771362,0.16114428639411926,0.1183592677116394,0.13480092585086823,0.9999999403953552,0.39149990677833557,0.13701273500919342,0.18938742578029633
dating,0.19090399146080017,0.13914524018764496,0.23401090502738953,0.1975456029176712,0.30418163537979126,0.2300887107849121,0.23401090502738953,0.03615359961986542,0.08294995874166489,0.18985961377620697,0.14178980886936188,0.10364930331707001,0.2113819271326065,0.1135709211230278
from,0.2737620174884796,0.1777622550725937,0.40150508284568787,0.22335809469223022,0.19973866641521454,0.4274188280105591,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.21735483407974243,0.12935520708560944,0.1750570833683014,0.19969791173934937
the,0.42745697498321533,0.35928019881248474,1.0,0.20475567877292633,0.2120380848646164,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.19920319318771362,0.20227214694023132,0.20201213657855988,0.22068053483963013
12th,0.1207122877240181,0.14766888320446014,0.27435246109962463,0.09221336990594864,0.17015723884105682,0.16606415808200836,0.27435246109962463,0.17841649055480957,0.09368837624788284,0.19884245097637177,0.06257530301809311,0.08908887207508087,0.10233709961175919,0.05097517371177673
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.12142185866832733,0.171523317694664,0.45010748505592346,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.19252733886241913,0.2094893753528595,0.1591634750366211,0.29463258385658264
16th,0.08221480250358582,0.11998652666807175,0.2201097458600998,0.026523331180214882,0.10951065272092819,0.1515994518995285,0.2201097458600998,0.1764819324016571,0.11967941373586655,0.18024180829524994,0.09076862037181854,0.12033172696828842,0.06219801679253578,0.06695828586816788
