,how,many,base,pairs,are,there,in,chromatophore,dna,?
chromatophore,0.30385199189186096,0.24689945578575134,0.29548487067222595,0.4076020419597626,0.3702438771724701,0.22890184819698334,0.20455235242843628,1.0,0.5175532698631287,0.1974949687719345
dna,0.20989857614040375,0.19319185614585876,0.22540372610092163,0.3627537488937378,0.20945711433887482,0.1394793689250946,0.15587100386619568,0.5175532698631287,1.0000001192092896,0.1548636108636856
is,0.22544461488723755,0.2649032473564148,0.28868359327316284,0.1598605364561081,0.5330929756164551,0.3904260993003845,0.5394441485404968,0.26852190494537354,0.15626907348632812,0.22961433231830597
about,0.44264400005340576,0.3800397515296936,0.18043109774589539,0.09330981224775314,0.36165615916252136,0.463201105594635,0.39797019958496094,0.2123040407896042,0.19264796376228333,0.302409827709198
a,0.29312583804130554,0.2872205972671509,0.27513372898101807,0.21801026165485382,0.265255331993103,0.4214206337928772,0.539380669593811,0.28408682346343994,0.2164907455444336,0.23916715383529663
million,0.21114659309387207,0.3520967364311218,0.17226797342300415,0.15082241594791412,0.21881309151649475,0.22681257128715515,0.2596224844455719,0.1385718286037445,0.21188843250274658,0.23092924058437347
base,0.14943158626556396,0.197978213429451,1.0000001192092896,0.2859043478965759,0.23093703389167786,0.20333515107631683,0.2292785793542862,0.29548487067222595,0.22540372610092163,0.10518061369657516
pairs,0.14922308921813965,0.1677653193473816,0.2859043478965759,1.0,0.3051724135875702,0.21009163558483124,0.13932488858699799,0.4076020419597626,0.3627537488937378,0.1550348997116089
long,0.2615325152873993,0.33054181933403015,0.24133919179439545,0.25293177366256714,0.23909839987754822,0.29671722650527954,0.2759332060813904,0.23654045164585114,0.1956009566783905,0.19699987769126892
",",0.22659391164779663,0.40610817074775696,0.24008820950984955,0.19049978256225586,0.4062570035457611,0.4587128460407257,0.5201468467712402,0.19613045454025269,0.2115938663482666,0.31091248989105225
containing,0.18926005065441132,0.23557426035404205,0.17106406390666962,0.22774042189121246,0.4119071066379547,0.28493884205818176,0.2999787926673889,0.40338945388793945,0.2380279004573822,0.1655367761850357
around,0.3297552764415741,0.4112928509712219,0.2150920182466507,0.1820479780435562,0.3560173511505127,0.3998771011829376,0.41294145584106445,0.2142854928970337,0.11260419338941574,0.14729668200016022
850,0.09848039597272873,0.14676399528980255,0.07338310778141022,0.10128092020750046,0.10879293829202652,0.1286584883928299,0.13669835031032562,0.08027471601963043,0.06650250405073166,0.09615745395421982
protein,0.24576620757579803,0.22064612805843353,0.23309127986431122,0.28101491928100586,0.279949426651001,0.16380921006202698,0.22392553091049194,0.5249418616294861,0.6112315654754639,0.169142946600914
encoding,0.2543673813343048,0.21683456003665924,0.20287872850894928,0.2586246728897095,0.2846527695655823,0.24507851898670197,0.21006087958812714,0.42951831221580505,0.4606570303440094,0.21611304581165314
genes—far,0.2716399133205414,0.2567850649356842,0.1412734091281891,0.20670759677886963,0.21877896785736084,0.15720964968204498,0.2101285606622696,0.36875542998313904,0.520575761795044,0.2391427457332611
less,0.3495950996875763,0.3831726610660553,0.18841144442558289,0.15920840203762054,0.37797531485557556,0.36695441603660583,0.2661931812763214,0.24529753625392914,0.13598668575286865,0.22418740391731262
than,0.29763275384902954,0.39069414138793945,0.19434787333011627,0.17122136056423187,0.39206281304359436,0.4433900713920593,0.3270052373409271,0.2165880650281906,0.15791213512420654,0.24917294085025787
the,0.33890387415885925,0.4335206151008606,0.2870652377605438,0.19104152917861938,0.40399202704429626,0.47025805711746216,0.6662389636039734,0.2669876217842102,0.19235704839229584,0.22068053483963013
three,0.23807744681835175,0.4501400589942932,0.1960296779870987,0.28729626536369324,0.38895705342292786,0.3531675636768341,0.34828072786331177,0.239024356007576,0.16074979305267334,0.20928427577018738
million,0.21114659309387207,0.3520967364311218,0.17226797342300415,0.15082241594791412,0.21881309151649475,0.22681257128715515,0.2596224844455719,0.1385718286037445,0.21188843250274658,0.23092924058437347
base,0.14943158626556396,0.197978213429451,1.0000001192092896,0.2859043478965759,0.23093703389167786,0.20333515107631683,0.2292785793542862,0.29548487067222595,0.22540372610092163,0.10518061369657516
pair,0.1598973572254181,0.216458261013031,0.3265073895454407,0.7183676362037659,0.3115881681442261,0.17625613510608673,0.19120758771896362,0.4261521100997925,0.32415643334388733,0.11695868521928787
synechococcus,0.26127463579177856,0.32156503200531006,0.138173907995224,0.25835293531417847,0.3277563452720642,0.2956826686859131,0.2785068154335022,0.5060034394264221,0.3753082752227783,0.2699302136898041
