,what,is,the,grace,that,we,receive,by,faith,and,trust,in,god,?
justifying,0.43036285042762756,0.17693863809108734,0.23961547017097473,0.24163131415843964,0.4201235771179199,0.418231338262558,0.14669862389564514,0.21861562132835388,0.46050503849983215,0.2349795401096344,0.2904120683670044,0.16904807090759277,0.26879167556762695,0.43052729964256287
grace,0.16722138226032257,0.17061445116996765,0.20940588414669037,1.0,0.23538954555988312,0.16299085319042206,0.1536838859319687,0.19353429973125458,0.40525105595588684,0.21748536825180054,0.2367727905511856,0.16484299302101135,0.3407481610774994,0.16775278747081757
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.12373790889978409,0.4729836881160736,0.38950321078300476,0.32854461669921875,0.30274316668510437,0.20490938425064087,0.4713204801082611,0.17454670369625092,0.3586423695087433,0.21021820604801178,0.32389625906944275
accepting,0.34480366110801697,0.13422909379005432,0.25502249598503113,0.17163637280464172,0.34986066818237305,0.22810021042823792,0.3792388141155243,0.20092250406742096,0.31585824489593506,0.2962135076522827,0.2758617401123047,0.2210260033607483,0.23656761646270752,0.2116347998380661
grace,0.16722138226032257,0.17061445116996765,0.20940588414669037,1.0,0.23538954555988312,0.16299085319042206,0.1536838859319687,0.19353429973125458,0.40525105595588684,0.21748536825180054,0.2367727905511856,0.16484299302101135,0.3407481610774994,0.16775278747081757
is,0.28837618231773376,1.0,0.5823672413825989,0.17061445116996765,0.3995479643344879,0.2876903712749481,0.20318937301635742,0.3899846076965332,0.2154717594385147,0.3859752118587494,0.1870056837797165,0.5394441485404968,0.2211674600839615,0.22961433231830597
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.23538954555988312,1.0,0.5259829759597778,0.2748669683933258,0.37496164441108704,0.29499298334121704,0.4731321930885315,0.29968637228012085,0.435920387506485,0.30817699432373047,0.32716336846351624
grace,0.16722138226032257,0.17061445116996765,0.20940588414669037,1.0,0.23538954555988312,0.16299085319042206,0.1536838859319687,0.19353429973125458,0.40525105595588684,0.21748536825180054,0.2367727905511856,0.16484299302101135,0.3407481610774994,0.16775278747081757
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2696996033191681,0.4137537479400635,0.2699093222618103,0.26574233174324036,0.3680937886238098,0.3190833032131195,0.6633074283599854,0.2247854769229889,0.5201468467712402,0.24755379557609558,0.31091248989105225
offered,0.1662205457687378,0.17584599554538727,0.270993173122406,0.1502027064561844,0.27693602442741394,0.17313604056835175,0.40140700340270996,0.19948285818099976,0.20221491158008575,0.27667903900146484,0.20786762237548828,0.2690350115299225,0.16655267775058746,0.22244536876678467
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.19353429973125458,0.37496164441108704,0.21095210313796997,0.1698799580335617,1.0000001192092896,0.15042667090892792,0.4289871156215668,0.12204435467720032,0.370934396982193,0.15825335681438446,0.17966607213020325
god,0.3127830922603607,0.2211674600839615,0.24689088761806488,0.3407481610774994,0.30817699432373047,0.2785375714302063,0.18774941563606262,0.15825335681438446,0.40165990591049194,0.23257656395435333,0.20934367179870605,0.1355067938566208,1.0,0.23396754264831543
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.20109255611896515,0.5436353087425232,0.4005183279514313,0.3372296690940857,0.33534231781959534,0.2426898032426834,0.48971283435821533,0.24275372922420502,0.45010748505592346,0.2408517301082611,0.29463258385658264
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.18140709400177002,0.53305584192276,0.42088499665260315,0.2406056523323059,0.2944089472293854,0.2941339910030365,0.4542157053947449,0.21463708579540253,0.3335905969142914,0.2611576020717621,0.29575422406196594
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.08751881122589111,0.3621441423892975,0.3194175064563751,0.18670649826526642,0.20350977778434753,0.1795700490474701,0.3016039729118347,0.18115121126174927,0.39605680108070374,0.22474899888038635,0.23739641904830933
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2696996033191681,0.4137537479400635,0.2699093222618103,0.26574233174324036,0.3680937886238098,0.3190833032131195,0.6633074283599854,0.2247854769229889,0.5201468467712402,0.24755379557609558,0.31091248989105225
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.23538954555988312,1.0,0.5259829759597778,0.2748669683933258,0.37496164441108704,0.29499298334121704,0.4731321930885315,0.29968637228012085,0.435920387506485,0.30817699432373047,0.32716336846351624
we,0.5622460842132568,0.2876903712749481,0.3206169009208679,0.16299085319042206,0.5259829759597778,1.0,0.19724714756011963,0.21095210313796997,0.32147127389907837,0.2896674871444702,0.3142196834087372,0.23132319748401642,0.2785375714302063,0.535264790058136
receive,0.20392422378063202,0.20318937301635742,0.2726488411426544,0.1536838859319687,0.2748669683933258,0.19724714756011963,0.9999998807907104,0.1698799580335617,0.16404742002487183,0.27304521203041077,0.25060248374938965,0.19334688782691956,0.18774941563606262,0.1652119904756546
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.19353429973125458,0.37496164441108704,0.21095210313796997,0.1698799580335617,1.0000001192092896,0.15042667090892792,0.4289871156215668,0.12204435467720032,0.370934396982193,0.15825335681438446,0.17966607213020325
faith,0.3120079040527344,0.2154717594385147,0.20665863156318665,0.40525105595588684,0.29499298334121704,0.32147127389907837,0.16404742002487183,0.15042667090892792,1.0,0.2653059959411621,0.2863142788410187,0.16146141290664673,0.40165990591049194,0.2833177447319031
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21748536825180054,0.4731321930885315,0.2896674871444702,0.27304521203041077,0.4289871156215668,0.2653059959411621,1.0,0.2450493574142456,0.4954058527946472,0.23257656395435333,0.20544172823429108
trust,0.3354778289794922,0.1870056837797165,0.1622215360403061,0.2367727905511856,0.29968637228012085,0.3142196834087372,0.25060248374938965,0.12204435467720032,0.2863142788410187,0.2450493574142456,0.9999999403953552,0.1298469454050064,0.20934367179870605,0.22135582566261292
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16484299302101135,0.435920387506485,0.23132319748401642,0.19334688782691956,0.370934396982193,0.16146141290664673,0.4954058527946472,0.1298469454050064,1.0,0.1355067938566208,0.20430970191955566
christ,0.2615339457988739,0.19270560145378113,0.25124865770339966,0.3065432906150818,0.2361743301153183,0.29073888063430786,0.1945592612028122,0.16001635789871216,0.412271648645401,0.15450161695480347,0.12339696288108826,0.16419753432273865,0.4998750388622284,0.13772203028202057
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2696996033191681,0.4137537479400635,0.2699093222618103,0.26574233174324036,0.3680937886238098,0.3190833032131195,0.6633074283599854,0.2247854769229889,0.5201468467712402,0.24755379557609558,0.31091248989105225
through,0.23167094588279724,0.27805060148239136,0.44071322679519653,0.14358291029930115,0.3152649402618408,0.24797692894935608,0.2207076996564865,0.3433202803134918,0.19769379496574402,0.3666759729385376,0.1389254927635193,0.38533157110214233,0.14434312283992767,0.16913433372974396
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.17363443970680237,0.6894589066505432,0.3836151957511902,0.24630185961723328,0.40543368458747864,0.2059541791677475,0.506277859210968,0.22186791896820068,0.4840516746044159,0.2592761814594269,0.25814583897590637
god,0.3127830922603607,0.2211674600839615,0.24689088761806488,0.3407481610774994,0.30817699432373047,0.2785375714302063,0.18774941563606262,0.15825335681438446,0.40165990591049194,0.23257656395435333,0.20934367179870605,0.1355067938566208,1.0,0.23396754264831543
pardons,0.18662838637828827,0.13157609105110168,0.25400781631469727,0.2062486708164215,0.23554232716560364,0.24101494252681732,0.2630499303340912,0.195052832365036,0.20500095188617706,0.2825870215892792,0.21511702239513397,0.18678653240203857,0.23757404088974,0.21324029564857483
