,who,was,the,abc,entertainment,president,in,1957,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.1697147786617279,0.20493005216121674,0.18811661005020142,1.0,-0.044204503297805786,0.20430970191955566
1957,-0.11810751259326935,-0.17015549540519714,-0.091727614402771,-0.1557149738073349,-0.10932309180498123,-0.16351576149463654,-0.044204503297805786,1.0000001192092896,-0.11977791041135788
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2097204476594925,0.21458542346954346,0.26552814245224,0.5201468467712402,-0.07933740317821503,0.31091248989105225
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,1.0000001192092896,0.28069135546684265,0.20593604445457458,0.1697147786617279,-0.1557149738073349,0.19065172970294952
entertainment,0.18041250109672546,0.21684704720973969,0.19077853858470917,0.28069135546684265,1.0,0.18838873505592346,0.20493005216121674,-0.10932309180498123,0.11855241656303406
president,0.22565458714962006,0.2505730390548706,0.24330610036849976,0.20593604445457458,0.18838873505592346,1.0000001192092896,0.18811661005020142,-0.16351576149463654,0.14148259162902832
ollie,0.24718809127807617,0.20807845890522003,0.19197000563144684,0.18749742209911346,0.1503281593322754,0.14239470660686493,0.14388152956962585,-0.14149519801139832,0.20129382610321045
treiz,0.18897779285907745,0.23606538772583008,0.3046548664569855,0.22883228957653046,0.21576237678527832,0.23361921310424805,0.3004986047744751,0.07730584591627121,0.12576082348823547
discovered,0.2225436121225357,0.3177400529384613,0.27493247389793396,0.10151779651641846,0.11130335927009583,0.14644642174243927,0.2801778018474579,-0.07025279104709625,0.08452875912189484
that,0.45444270968437195,0.33670201897621155,0.5473989248275757,0.17440107464790344,0.18857158720493317,0.19873183965682983,0.435920387506485,-0.11624494940042496,0.32716336846351624
the,0.3733934462070465,0.48711544275283813,1.0,0.2068762183189392,0.19077853858470917,0.24330610036849976,0.6662389636039734,-0.091727614402771,0.22068053483963013
locally,0.24401532113552094,0.2207573801279068,0.2744310796260834,0.156266987323761,0.11812544614076614,0.12760843336582184,0.24245087802410126,0.050436414778232574,0.21358361840248108
produced,0.12907662987709045,0.28463777899742126,0.22045251727104187,0.2414293736219406,0.3168397843837738,0.13554133474826813,0.2542861998081207,-0.05434159189462662,0.1623450517654419
variety,0.15316954255104065,0.1293821632862091,0.22543764114379883,0.20370833575725555,0.23732417821884155,0.07177899032831192,0.21121226251125336,0.021030183881521225,0.13376861810684204
show,0.2095358669757843,0.20142383873462677,0.319829523563385,0.4449407458305359,0.3530449867248535,0.14905905723571777,0.27595704793930054,-0.06322039663791656,0.2520138621330261
