,which,us,president,visited,jacksonville,in,1888,?
president,0.15872660279273987,0.18493138253688812,1.0000001192092896,0.22014960646629333,0.2091674655675888,0.18811661005020142,0.050316598266363144,0.14148259162902832
grover,0.22116589546203613,0.23264141380786896,0.25286033749580383,0.11660435795783997,0.3032602369785309,0.19272597134113312,0.07129225879907608,0.22418783605098724
cleveland,0.17183050513267517,0.17634592950344086,0.28853002190589905,0.1216723695397377,0.5453038215637207,0.20356155931949615,0.09616392105817795,0.12262003868818283
attended,0.13140268623828888,0.13578678667545319,0.24756529927253723,0.3709920346736908,0.3266194462776184,0.2787896692752838,0.13294486701488495,0.08268529176712036
the,0.6521818041801453,0.25727739930152893,0.24330610036849976,0.2620144784450531,0.2176690250635147,0.6662389636039734,0.2002750039100647,0.22068053483963013
sub-tropical,0.26665735244750977,0.13822831213474274,0.1691947728395462,0.12719210982322693,0.2136390060186386,0.1916256844997406,0.18333476781845093,0.150868758559227
exposition,0.25961583852767944,0.11644736677408218,0.18371768295764923,0.2681375741958618,0.22165776789188385,0.30755117535591125,0.12703073024749756,0.09475983679294586
in,0.4840516746044159,0.19746538996696472,0.18811661005020142,0.2675224840641022,0.22147351503372192,1.0,0.13696274161338806,0.20430970191955566
the,0.6521818041801453,0.25727739930152893,0.24330610036849976,0.2620144784450531,0.2176690250635147,0.6662389636039734,0.2002750039100647,0.22068053483963013
city,0.22264601290225983,0.17724035680294037,0.26211032271385193,0.23168081045150757,0.3285287022590637,0.3911624252796173,0.11636682599782944,0.13423943519592285
on,0.4245251417160034,0.2646999955177307,0.18996542692184448,0.25267598032951355,0.23172973096370697,0.46853652596473694,0.12287619709968567,0.2714994251728058
february,0.13884375989437103,0.20046135783195496,0.27558761835098267,0.20480763912200928,0.2440309375524521,0.2990526556968689,0.07962628453969955,0.29594847559928894
22,0.029828272759914398,0.07394538074731827,0.019714711233973503,-0.04511106386780739,0.024658743292093277,0.01694893091917038,-0.07757226377725601,0.06663474440574646
",",0.3658004403114319,0.3120202422142029,0.26552814245224,0.2618711590766907,0.2837527096271515,0.5201468467712402,0.12918877601623535,0.31091248989105225
1888,0.1898699551820755,0.15057437121868134,0.050316598266363144,0.16218028962612152,0.10701654106378555,0.13696274161338806,1.0000001192092896,0.07625395059585571
during,0.3590145409107208,0.14974015951156616,0.19422510266304016,0.29447123408317566,0.2325054407119751,0.4627237319946289,0.14000944793224335,0.1325719803571701
his,0.32283493876457214,0.15751667320728302,0.25683027505874634,0.24960534274578094,0.23829935491085052,0.3598145842552185,0.12162206321954727,0.18075084686279297
trip,0.2058277577161789,0.17098374664783478,0.18190991878509521,0.382028192281723,0.2560959458351135,0.2560811936855316,0.1838112324476242,0.09162633121013641
to,0.5345056653022766,0.2928973436355591,0.21247753500938416,0.25925201177597046,0.1994343250989914,0.45010748505592346,0.17033766210079193,0.29463258385658264
florida,0.22013095021247864,0.19071997702121735,0.21044720709323883,0.1725943684577942,0.568950355052948,0.2330404818058014,0.120512455701828,0.13469882309436798
.,0.45942068099975586,0.3162994682788849,0.26255303621292114,0.24154354631900787,0.2843366861343384,0.5591574311256409,0.15230658650398254,0.4130953550338745
,which,us,president,visited,jacksonville,in,1888,?
visitors,0.2666795551776886,0.24322009086608887,0.13201895356178284,0.5720881819725037,0.15403370559215546,0.2129599004983902,0.18773043155670166,0.15025043487548828
arrived,0.15594635903835297,0.14851486682891846,0.17236606776714325,0.4302333891391754,0.14696252346038818,0.2573651373386383,0.11976900696754456,0.1681029200553894
by,0.40543368458747864,0.1641579419374466,0.18304786086082458,0.20545798540115356,0.15927588939666748,0.370934396982193,0.09257477521896362,0.17966607213020325
steamboat,0.19584810733795166,0.19316692650318146,0.19146090745925903,0.16628946363925934,0.30846095085144043,0.21530266106128693,0.06408131122589111,0.0938209742307663
and,0.506277859210968,0.25715014338493347,0.23286236822605133,0.2707567512989044,0.2603762745857239,0.4954058527946472,0.1184256449341774,0.20544172823429108
later,0.39698365330696106,0.15312647819519043,0.17261546850204468,0.2856559157371521,0.199655219912529,0.40857815742492676,0.18069535493850708,0.1417175978422165
by,0.40543368458747864,0.1641579419374466,0.18304786086082458,0.20545798540115356,0.15927588939666748,0.370934396982193,0.09257477521896362,0.17966607213020325
railroad,0.18602906167507172,0.21208800375461578,0.16867631673812866,0.14639568328857422,0.2898772954940796,0.20349381864070892,0.08341406285762787,0.0920378789305687
.,0.45942068099975586,0.3162994682788849,0.26255303621292114,0.24154354631900787,0.2843366861343384,0.5591574311256409,0.15230658650398254,0.4130953550338745
