,the,region,spans,which,mountains,other,than,the,transverse,ranges,?
the,1.0,0.35020557045936584,0.3057820200920105,0.6521818041801453,0.27269288897514343,0.44152235984802246,0.3227543234825134,1.0,0.36831769347190857,0.2618407607078552,0.22068053483963013
region,0.35020557045936584,1.0,0.17070330679416656,0.2328231930732727,0.3015184998512268,0.20447027683258057,0.1909969598054886,0.35020557045936584,0.16607114672660828,0.25814932584762573,0.13441751897335052
spans,0.3057820200920105,0.17070330679416656,1.0,0.2960893511772156,0.23299464583396912,0.24062727391719818,0.27886784076690674,0.3057820200920105,0.3252127170562744,0.2741258442401886,0.13849228620529175
from,0.40150508284568787,0.2132602334022522,0.14099785685539246,0.38755592703819275,0.21533413231372833,0.30141791701316833,0.2633618414402008,0.40150508284568787,0.19920937716960907,0.23139509558677673,0.19969791173934937
pacific,0.28543707728385925,0.22141359746456146,0.19816651940345764,0.2135714292526245,0.2947905957698822,0.2164900153875351,0.16144375503063202,0.28543707728385925,0.25087666511535645,0.22509250044822693,0.13060949742794037
ocean,0.3185477554798126,0.22629642486572266,0.22344090044498444,0.2893344461917877,0.34329238533973694,0.23583251237869263,0.15814639627933502,0.3185477554798126,0.2888142466545105,0.24473965167999268,0.15205028653144836
islands,0.27959951758384705,0.2720184624195099,0.1998257339000702,0.2172965556383133,0.3308156728744507,0.1962672621011734,0.15677179396152496,0.27959951758384705,0.19390718638896942,0.24057279527187347,0.11824353039264679
",",0.4933079481124878,0.2119160145521164,0.22136400640010834,0.3658004403114319,0.2542361319065094,0.4446498453617096,0.3371901512145996,0.4933079481124878,0.22260046005249023,0.23355913162231445,0.31091248989105225
shorelines,0.34449177980422974,0.34035781025886536,0.3795146048069,0.34903377294540405,0.35217568278312683,0.29012516140937805,0.24899733066558838,0.34449177980422974,0.35302284359931946,0.34699422121047974,0.13851986825466156
",",0.4933079481124878,0.2119160145521164,0.22136400640010834,0.3658004403114319,0.2542361319065094,0.4446498453617096,0.3371901512145996,0.4933079481124878,0.22260046005249023,0.23355913162231445,0.31091248989105225
beaches,0.253246545791626,0.27505916357040405,0.25173795223236084,0.2306220531463623,0.3707542419433594,0.23287177085876465,0.19880609214305878,0.253246545791626,0.25113043189048767,0.2556611895561218,0.13028982281684875
",",0.4933079481124878,0.2119160145521164,0.22136400640010834,0.3658004403114319,0.2542361319065094,0.4446498453617096,0.3371901512145996,0.4933079481124878,0.22260046005249023,0.23355913162231445,0.31091248989105225
and,0.5171257257461548,0.2372262328863144,0.2815682590007782,0.506277859210968,0.2570574879646301,0.5504306554794312,0.39361441135406494,0.5171257257461548,0.26881882548332214,0.28303784132003784,0.20544172823429108
coastal,0.2718130946159363,0.33082419633865356,0.19345852732658386,0.26179441809654236,0.36698099970817566,0.19473424553871155,0.16807985305786133,0.2718130946159363,0.23050197958946228,0.31155136227607727,0.13777320086956024
plains,0.291370153427124,0.34547191858291626,0.2982814311981201,0.21817545592784882,0.5076393485069275,0.13828787207603455,0.17596276104450226,0.291370153427124,0.2641524374485016,0.4570291340351105,0.15602469444274902
",",0.4933079481124878,0.2119160145521164,0.22136400640010834,0.3658004403114319,0.2542361319065094,0.4446498453617096,0.3371901512145996,0.4933079481124878,0.22260046005249023,0.23355913162231445,0.31091248989105225
through,0.44071322679519653,0.2081601619720459,0.23342055082321167,0.40321648120880127,0.273818701505661,0.261025607585907,0.18151995539665222,0.44071322679519653,0.3064228892326355,0.25181707739830017,0.16913433372974396
the,1.0,0.35020557045936584,0.3057820200920105,0.6521818041801453,0.27269288897514343,0.44152235984802246,0.3227543234825134,1.0,0.36831769347190857,0.2618407607078552,0.22068053483963013
transverse,0.36831769347190857,0.16607114672660828,0.3252127170562744,0.3995085656642914,0.30900031328201294,0.20482979714870453,0.24639971554279327,0.36831769347190857,1.0,0.32691994309425354,0.09685013443231583
