,when,did,john,wesley,provide,a,revised,version,of,the,book,of,common,prayer,?
the,0.5091903209686279,0.34736719727516174,0.2230520099401474,0.1425647884607315,0.26373472809791565,0.5829201340675354,0.2513941526412964,0.27268242835998535,0.733189046382904,1.0,0.2652374505996704,0.733189046382904,0.2705984115600586,0.2471906840801239,0.22068053483963013
common,0.20520533621311188,0.12848728895187378,0.020176813006401062,0.12899547815322876,0.26280638575553894,0.29638534784317017,0.14186976850032806,0.15538983047008514,0.2949881851673126,0.2705984115600586,0.1361224204301834,0.2949881851673126,0.9999998807907104,0.17127425968647003,0.20434872806072235
pattern,0.23834280669689178,0.1364423930644989,0.10165086388587952,0.096995510160923,0.2170291543006897,0.305626779794693,0.18729478120803833,0.20135095715522766,0.16445347666740417,0.2485450804233551,0.1530846506357193,0.16445347666740417,0.25246909260749817,0.06220370531082153,0.20064511895179749
comes,0.27262797951698303,0.11348431557416916,0.1215316578745842,0.09549099951982498,0.18440444767475128,0.2963891625404358,0.10215815156698227,0.20487475395202637,0.2978210747241974,0.32399529218673706,0.24411751329898834,0.2978210747241974,0.2851860523223877,0.20376913249492645,0.15980161726474762
from,0.405669629573822,0.20248863101005554,0.16657888889312744,0.15219785273075104,0.19709864258766174,0.322764128446579,0.10490268468856812,0.22506564855575562,0.4249346852302551,0.40150508284568787,0.1578967273235321,0.4249346852302551,0.1902724653482437,0.1304406076669693,0.19969791173934937
john,0.20069552958011627,0.18785913288593292,1.0000001192092896,0.43004438281059265,0.1716294288635254,0.20638683438301086,0.11666999012231827,0.10081862658262253,0.2407056987285614,0.2230520099401474,0.19024766981601715,0.2407056987285614,0.020176813006401062,0.14027978479862213,0.13162356615066528
wesley,0.11832226067781448,0.13146962225437164,0.43004438281059265,0.9999999403953552,0.0723760724067688,0.21911776065826416,0.18388257920742035,0.13843247294425964,0.18802838027477264,0.1425647884607315,0.18899546563625336,0.18802838027477264,0.12899547815322876,0.25186780095100403,0.1662333607673645
",",0.36674630641937256,0.3015086054801941,0.23961079120635986,0.262672483921051,0.20966707170009613,0.427140474319458,0.2112094908952713,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.23644568026065826,0.4946078956127167,0.2497023195028305,0.1917228251695633,0.31091248989105225
who,0.48282691836357117,0.34038686752319336,0.30388808250427246,0.2321225255727768,0.2286112904548645,0.36608949303627014,0.06605859845876694,0.17217524349689484,0.2827862501144409,0.3733934462070465,0.23780840635299683,0.2827862501144409,0.12067393958568573,0.16597029566764832,0.26220351457595825
wrote,0.18808679282665253,0.3485160768032074,0.25914910435676575,0.21560855209827423,0.13834728300571442,0.232523575425148,0.283833384513855,0.16267083585262299,0.30241408944129944,0.2426944375038147,0.4679931402206421,0.30241408944129944,0.14074110984802246,0.22473418712615967,0.19322504103183746
that,0.5860282182693481,0.47518548369407654,0.17830057442188263,0.13005481660366058,0.367409884929657,0.47537946701049805,0.17566582560539246,0.26565122604370117,0.41498205065727234,0.5473989248275757,0.31481462717056274,0.41498205065727234,0.2786630392074585,0.22374176979064941,0.32716336846351624
``,0.07174111902713776,-0.029888948425650597,0.011006556451320648,-0.05419543758034706,0.00022361247101798654,0.07272057235240936,0.002695946954190731,-0.078781358897686,0.06780257821083069,0.029072100296616554,-0.031511686742305756,0.06780257821083069,0.13911877572536469,0.06745395064353943,0.0685480609536171
there,0.34822648763656616,0.29736605286598206,0.09766856580972672,0.07979653775691986,0.3496873676776886,0.4214206337928772,0.14796781539916992,0.17328692972660065,0.44397735595703125,0.47025805711746216,0.18039828538894653,0.44397735595703125,0.3011511266231537,0.2019805610179901,0.29405656456947327
is,0.3471449911594391,0.19247472286224365,0.16449548304080963,0.1397479772567749,0.23050084710121155,0.658733606338501,0.11874786764383316,0.26673051714897156,0.4854315221309662,0.5823672413825989,0.21808475255966187,0.4854315221309662,0.2952355444431305,0.17994995415210724,0.22961433231830597
no,0.28761178255081177,0.23735837638378143,0.09916952252388,0.08851511031389236,0.28427305817604065,0.26280897855758667,0.1626882255077362,0.2264622449874878,0.24809792637825012,0.3461136817932129,0.13530677556991577,0.24809792637825012,0.18077169358730316,0.19138826429843903,0.32165053486824036
liturgy,0.1712050586938858,0.18254253268241882,0.16386575996875763,0.2213161289691925,0.22574840486049652,0.16872096061706543,0.2694944441318512,0.22953423857688904,0.2790018916130066,0.2513435184955597,0.2838909924030304,0.2790018916130066,0.23414206504821777,0.44544705748558044,0.18847838044166565
in,0.4431333839893341,0.2593238651752472,0.22177861630916595,0.14970102906227112,0.1910654902458191,0.539380669593811,0.19535814225673676,0.19599339365959167,0.5696388483047485,0.6662389636039734,0.2527170181274414,0.5696388483047485,0.23149342834949493,0.1749745011329651,0.20430970191955566
