,when,was,the,muslim,brotherhood,founded,?
roughly,0.23229247331619263,0.1854681819677353,0.3095499873161316,0.15363134443759918,0.08449511975049973,0.07749100774526596,0.09299357235431671
contemporaneous,0.16002871096134186,0.14124944806098938,0.23196393251419067,0.28436771035194397,0.2073037177324295,0.08648896217346191,0.163953498005867
with,0.5075214505195618,0.27411898970603943,0.4223487675189972,0.170431450009346,0.2075371891260147,0.1719828099012375,0.2433311939239502
maududi,0.23236867785453796,0.34553927183151245,0.30155912041664124,0.4165809750556946,0.3321180045604706,0.28252530097961426,0.2149532437324524
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.230477973818779,0.2586901783943176,0.36917948722839355,0.18412111699581146
the,0.5091903209686279,0.48711544275283813,1.0,0.28099653124809265,0.2368839830160141,0.2840350568294525,0.22068053483963013
founding,0.1720808744430542,0.36926978826522827,0.34138360619544983,0.2793484628200531,0.3052762448787689,0.6531547904014587,0.1416333168745041
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.267849862575531,0.2067413628101349,0.24571022391319275,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.28099653124809265,0.2368839830160141,0.2840350568294525,0.22068053483963013
muslim,0.19608429074287415,0.230477973818779,0.28099653124809265,1.0,0.41785529255867004,0.25326818227767944,0.17456822097301483
brotherhood,0.18140225112438202,0.2586901783943176,0.2368839830160141,0.41785529255867004,0.9999998807907104,0.20734012126922607,0.1117945984005928
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2092999517917633,0.15295812487602234,0.24877111613750458,0.20430970191955566
ismailiyah,0.20513448119163513,0.3247438669204712,0.29214411973953247,0.555323600769043,0.37679749727249146,0.21607781946659088,0.21724677085876465
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.24976085126399994,0.31091248989105225
egypt,0.2453436702489853,0.20915520191192627,0.2536296546459198,0.3349659740924835,0.29069802165031433,0.11734223365783691,0.17769601941108704
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2092999517917633,0.15295812487602234,0.24877111613750458,0.20430970191955566
1928,0.014328540302813053,0.10012757778167725,0.13545922935009003,0.11837859451770782,0.08029375225305557,0.07397640496492386,0.06493618339300156
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.18139012157917023,0.25664007663726807,0.264241099357605,0.17966607213020325
hassan,0.19496865570545197,0.2245633751153946,0.1921621561050415,0.4582809507846832,0.35132622718811035,0.14499804377555847,0.20836053788661957
al,0.142709881067276,0.19420784711837769,0.18736925721168518,0.3999010920524597,0.24249836802482605,0.13245059549808502,0.12356415390968323
banna,0.05568969249725342,0.23375427722930908,0.17585872113704681,0.39479613304138184,0.30023542046546936,0.16779163479804993,0.2517823874950409
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.27078697085380554,0.15035925805568695,0.23141497373580933,0.4130953550338745
