,when,was,the,large,work,published,?
luther,0.14516782760620117,0.19185513257980347,0.1759674996137619,0.07029439508914948,0.15580131113529205,0.15444858372211456,0.1732746809720993
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,0.06319566071033478,-0.03332063928246498,0.01244857907295227,-0.023395681753754616
other,0.34102705121040344,0.14651623368263245,0.44152235984802246,0.353826105594635,0.29067906737327576,0.16840164363384247,0.24682199954986572
major,0.17186790704727173,0.20676274597644806,0.31775903701782227,0.2760090231895447,0.1532536894083023,0.16196270287036896,0.19788557291030884
works,0.2696959376335144,0.2401018887758255,0.26337864995002747,0.180184468626976,0.6060804724693298,0.3193810284137726,0.19597402215003967
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.23191727697849274,0.26663315296173096,0.26885396242141724,0.2714994251728058
the,0.5091903209686279,0.48711544275283813,1.0,0.3828733265399933,0.2704800069332123,0.22017472982406616,0.22068053483963013
jews,0.2035551369190216,0.1935933530330658,0.24901628494262695,0.15765634179115295,0.20316407084465027,0.12571701407432556,0.16730794310569763
were,0.29649975895881653,0.590133786201477,0.3906462490558624,0.3147265911102295,0.23814889788627625,0.20513179898262024,0.17890112102031708
his,0.37120407819747925,0.4405253231525421,0.4394008219242096,0.19107265770435333,0.36648666858673096,0.2540745139122009,0.18075084686279297
"60,000-word",0.25296562910079956,0.20571883022785187,0.24970881640911102,0.1487945169210434,0.20092271268367767,0.2519098222255707,0.2741270661354065
treatise,0.09556382149457932,0.20765262842178345,0.2190825194120407,0.13203291594982147,0.3717729449272156,0.40508055686950684,0.1367369443178177
von,0.15501481294631958,0.2042967826128006,0.21817399561405182,0.11660166084766388,0.21786530315876007,0.17510290443897247,0.13907472789287567
den,0.09208693355321884,0.14847347140312195,0.14217782020568848,0.10262840241193771,0.1683824360370636,0.18115174770355225,0.1305062621831894
juden,0.14409832656383514,0.18904204666614532,0.20269548892974854,0.027480456978082657,0.1314530074596405,0.2063719481229782,0.1697024405002594
und,0.14850947260856628,0.10551264137029648,0.16904859244823456,0.10460834205150604,0.2151389867067337,0.2524581551551819,0.12338054925203323
ihren,0.1363915205001831,0.22539469599723816,0.1540049910545349,0.06672719866037369,0.1948200762271881,0.30372095108032227,0.25993257761001587
lügen,0.2041337937116623,0.2335074543952942,0.312258243560791,0.25074222683906555,0.20705340802669525,0.16864046454429626,0.19766996800899506
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.1259251832962036,0.22960703074932098,0.18344631791114807,0.40561532974243164
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.23191727697849274,0.26663315296173096,0.26885396242141724,0.2714994251728058
