,what,are,the,small,tentacles,on,cydippids,called,?
the,0.42745697498321533,0.40399202704429626,1.0,0.39655908942222595,0.24109509587287903,0.5107308030128479,0.3210736811161041,0.489897221326828,0.22068053483963013
textbook,0.3037169575691223,0.18500658869743347,0.1896098256111145,0.11413940787315369,0.1570180207490921,0.20599877834320068,0.251082181930542,0.2173469215631485,0.21686993539333344
examples,0.26665759086608887,0.5214043259620667,0.30092597007751465,0.2551960349082947,0.21203407645225525,0.20380041003227234,0.29934078454971313,0.3446689248085022,0.19976599514484406
are,0.29724663496017456,1.0,0.40399202704429626,0.3959871232509613,0.3209848701953888,0.268924742937088,0.35411837697029114,0.3676711618900299,0.24591213464736938
cydippids,0.22088393568992615,0.35411837697029114,0.3210736811161041,0.2906895875930786,0.5143322944641113,0.19783110916614532,1.0,0.33270594477653503,0.217335045337677
with,0.2464839518070221,0.38996943831443787,0.4223487675189972,0.28140774369239807,0.22586162388324738,0.40749499201774597,0.22512833774089813,0.3139074146747589,0.2433311939239502
egg-shaped,0.22149525582790375,0.2641546428203583,0.30625149607658386,0.41461530327796936,0.4261912405490875,0.2466001659631729,0.4014110565185547,0.4282063841819763,0.11325749009847641
bodies,0.1688588559627533,0.35380154848098755,0.2745959758758545,0.26489195227622986,0.37242671847343445,0.17646045982837677,0.3903283476829529,0.2661176025867462,0.18285469710826874
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.35207539796829224,0.24069741368293762,0.4077630043029785,0.3117515742778778,0.3251761794090271,0.20544172823429108
a,0.3320399522781372,0.265255331993103,0.5829201340675354,0.41262131929397583,0.22963744401931763,0.3848365545272827,0.25175222754478455,0.4868806302547455,0.23916715383529663
pair,0.1797199696302414,0.3115881681442261,0.2643369734287262,0.29544076323509216,0.3249877691268921,0.1934850513935089,0.3130885362625122,0.2851368486881256,0.11695868521928787
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.353353351354599,0.21750880777835846,0.3966929316520691,0.2979815900325775,0.4222904443740845,0.1826142966747284
retractable,0.20051003992557526,0.26111865043640137,0.25109708309173584,0.3172248303890228,0.45308834314346313,0.25786757469177246,0.3503369390964508,0.23183250427246094,0.19423192739486694
tentacles,0.17259258031845093,0.3209848701953888,0.24109509587287903,0.3220798969268799,0.9999999403953552,0.22140857577323914,0.5143322944641113,0.2202894389629364,0.15145425498485565
fringed,0.10277488827705383,0.27321481704711914,0.2664870023727417,0.27279943227767944,0.39210444688796997,0.18491226434707642,0.3743914067745209,0.29512906074523926,0.0928630456328392
with,0.2464839518070221,0.38996943831443787,0.4223487675189972,0.28140774369239807,0.22586162388324738,0.40749499201774597,0.22512833774089813,0.3139074146747589,0.2433311939239502
tentilla,0.27320170402526855,0.29637789726257324,0.3119664192199707,0.3143567442893982,0.3030882179737091,0.20633898675441742,0.3443603813648224,0.2775586247444153,0.18873277306556702
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.19026362895965576,0.12793618440628052,0.28656116127967834,0.1995982825756073,0.2546432614326477,0.40561532974243164
``,0.008517155423760414,0.12624181807041168,0.029072100296616554,0.10102039575576782,0.08641248196363449,-0.03274054825305939,0.08323326706886292,0.00907047651708126,0.0685480609536171
little,0.2614184617996216,0.21188540756702423,0.2412613034248352,0.3218740224838257,0.15478472411632538,0.2574410140514374,0.2586369216442108,0.22220036387443542,0.20336517691612244
tentacles,0.17259258031845093,0.3209848701953888,0.24109509587287903,0.3220798969268799,0.9999999403953552,0.22140857577323914,0.5143322944641113,0.2202894389629364,0.15145425498485565
'',0.08143015950918198,0.0263817198574543,0.041273195296525955,0.08523771911859512,-0.0471188984811306,0.04238596186041832,0.05536840483546257,0.021102847531437874,0.018684765323996544
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.2108360379934311,0.12745746970176697,0.29937487840652466,0.19199809432029724,0.273923397064209,0.42300865054130554
that,0.6297725439071655,0.45265161991119385,0.5473989248275757,0.351526141166687,0.2598695456981659,0.42569106817245483,0.31674885749816895,0.41604554653167725,0.32716336846351624
are,0.29724663496017456,1.0,0.40399202704429626,0.3959871232509613,0.3209848701953888,0.268924742937088,0.35411837697029114,0.3676711618900299,0.24591213464736938
covered,0.24682468175888062,0.2738212049007416,0.3132939636707306,0.27179837226867676,0.30392876267433167,0.3599720597267151,0.25008702278137207,0.32589396834373474,0.139833465218544
with,0.2464839518070221,0.38996943831443787,0.4223487675189972,0.28140774369239807,0.22586162388324738,0.40749499201774597,0.22512833774089813,0.3139074146747589,0.2433311939239502
colloblasts,0.25280773639678955,0.33420172333717346,0.31561675667762756,0.2895430028438568,0.34558016061782837,0.2383861094713211,0.3708847463130951,0.3829335868358612,0.20071622729301453
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3083299398422241,0.2031479775905609,0.49057599902153015,0.2807892858982086,0.26549121737480164,0.31091248989105225
sticky,0.22879846394062042,0.27103671431541443,0.1633676141500473,0.3313000202178955,0.4543832540512085,0.20267166197299957,0.38245129585266113,0.25312426686286926,0.17398136854171753
cells,0.1758001297712326,0.2908284366130829,0.19095487892627716,0.21213430166244507,0.382284551858902,0.14727668464183807,0.38721928000450134,0.20908011496067047,0.1898086667060852
that,0.6297725439071655,0.45265161991119385,0.5473989248275757,0.351526141166687,0.2598695456981659,0.42569106817245483,0.31674885749816895,0.41604554653167725,0.32716336846351624
capture,0.20491331815719604,0.17015503346920013,0.3008226752281189,0.23112860321998596,0.2557417154312134,0.17100688815116882,0.18848766386508942,0.16373932361602783,0.12945853173732758
prey,0.21349354088306427,0.28169316053390503,0.2732231020927429,0.30063682794570923,0.5000530481338501,0.16649864614009857,0.45655572414398193,0.16148768365383148,0.15793472528457642
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.3130834400653839,0.23579104244709015,0.49257001280784607,0.2866429090499878,0.300344854593277,0.4130953550338745
