,in,what,years,did,bach,use,more,of,luther,'s,hymns,in,his,compositions,?
johann,0.1748005747795105,0.14257463812828064,0.1613772213459015,0.20292572677135468,0.5590640902519226,0.07982659339904785,0.1420097053050995,0.19805940985679626,0.3837730586528778,0.04714272543787956,0.30150309205055237,0.1748005747795105,0.2528531551361084,0.3865711987018585,0.1194499209523201
sebastian,0.19365417957305908,0.09078362584114075,0.0835905447602272,0.16970297694206238,0.5161586999893188,0.09670886397361755,0.10427594184875488,0.1807924062013626,0.24701139330863953,-0.016168957576155663,0.3156684339046478,0.19365417957305908,0.2149679958820343,0.3247932493686676,0.12673193216323853
bach,0.19327521324157715,0.2060634046792984,0.18313424289226532,0.2409050166606903,0.9999999403953552,0.17234018445014954,0.18563301861286163,0.20581215620040894,0.34631797671318054,0.09476292133331299,0.4018104076385498,0.19327521324157715,0.2507949471473694,0.413324773311615,0.23872415721416473
included,0.32433560490608215,0.2288810908794403,0.1700238585472107,0.32908451557159424,0.17237111926078796,0.292701780796051,0.29518094658851624,0.4391688108444214,0.14399166405200958,-0.041006240993738174,0.1899758130311966,0.32433560490608215,0.2414456307888031,0.24856895208358765,0.14385655522346497
several,0.39405709505081177,0.22446060180664062,0.25645697116851807,0.24080568552017212,0.23716099560260773,0.245026096701622,0.4036271572113037,0.3271615505218506,0.2095126509666443,-0.012985157780349255,0.21151986718177795,0.39405709505081177,0.32140597701072693,0.3301684260368347,0.15595775842666626
verses,0.1467294842004776,0.21191509068012238,0.15373748540878296,0.12473994493484497,0.23460879921913147,0.1669730395078659,0.1828288584947586,0.20518551766872406,0.20480051636695862,-0.0035981095861643553,0.5688837766647339,0.1467294842004776,0.24403035640716553,0.4065665900707245,0.21770696341991425
as,0.3887844979763031,0.31749409437179565,0.234328031539917,0.3596470057964325,0.23173552751541138,0.3453201949596405,0.42839905619621277,0.3886612355709076,0.20242992043495178,-0.05775856226682663,0.15609335899353027,0.3887844979763031,0.3146366477012634,0.24368909001350403,0.27043893933296204
chorales,0.20672595500946045,0.18097981810569763,0.22461669147014618,0.17018257081508636,0.5027369856834412,0.13504666090011597,0.1897670179605484,0.2253328263759613,0.30232128500938416,-0.040676016360521317,0.5235528945922852,0.20672595500946045,0.2656589150428772,0.5208622813224792,0.20826344192028046
in,1.0,0.30808621644973755,0.33554986119270325,0.2593238651752472,0.19327521324157715,0.2715643048286438,0.32563260197639465,0.5696388483047485,0.20523880422115326,-0.037580832839012146,0.1669730842113495,1.0,0.3598145842552185,0.21021728217601776,0.20430970191955566
his,0.3598145842552185,0.26976513862609863,0.3523389995098114,0.3546801507472992,0.2507949471473694,0.19605936110019684,0.23633438348770142,0.38364991545677185,0.27093374729156494,0.047556519508361816,0.20449216663837433,0.3598145842552185,0.9999998807907104,0.34487128257751465,0.18075084686279297
cantatas,0.21248650550842285,0.22735777497291565,0.26653310656547546,0.2450895756483078,0.5977134108543396,0.23939767479896545,0.25891613960266113,0.25364917516708374,0.24660377204418182,0.050748053938150406,0.526684045791626,0.21248650550842285,0.2663564085960388,0.6026983857154846,0.23913320899009705
and,0.4954058527946472,0.31309178471565247,0.300204873085022,0.34479495882987976,0.21089112758636475,0.34145063161849976,0.39880692958831787,0.5116966962814331,0.20796556770801544,0.06895173341035843,0.2313949018716812,0.4954058527946472,0.4234102666378021,0.29035723209381104,0.20544172823429108
based,0.3070422410964966,0.274813175201416,0.14337651431560516,0.15722841024398804,0.13364368677139282,0.2660672068595886,0.21096299588680267,0.3033197224140167,0.11297188699245453,0.06600074470043182,0.12815019488334656,0.3070422410964966,0.17763181030750275,0.22578468918800354,0.134929820895195
chorale,0.17804016172885895,0.19436827301979065,0.189550518989563,0.15076908469200134,0.5248245000839233,0.1609296202659607,0.19490136206150055,0.20981094241142273,0.2823675572872162,-0.008237731643021107,0.5174891948699951,0.17804016172885895,0.2668420672416687,0.523811936378479,0.1843545287847519
cantatas,0.21248650550842285,0.22735777497291565,0.26653310656547546,0.2450895756483078,0.5977134108543396,0.23939767479896545,0.25891613960266113,0.25364917516708374,0.24660377204418182,0.050748053938150406,0.526684045791626,0.21248650550842285,0.2663564085960388,0.6026983857154846,0.23913320899009705
entirely,0.28567442297935486,0.38249561190605164,0.1982533037662506,0.19654057919979095,0.17215336859226227,0.27429836988449097,0.2824283242225647,0.2849496901035309,0.13761961460113525,0.08845775574445724,0.1770704686641693,0.28567442297935486,0.20873697102069855,0.20872469246387482,0.19651781022548676
on,0.46853652596473694,0.34226128458976746,0.2152649462223053,0.2670976221561432,0.19077323377132416,0.2776605486869812,0.37351730465888977,0.3966929316520691,0.19090485572814941,0.0026888418942689896,0.1558539718389511,0.46853652596473694,0.32064297795295715,0.18346191942691803,0.2714994251728058
them,0.29119014739990234,0.4994642734527588,0.2643817663192749,0.44189682602882385,0.23708978295326233,0.43374505639076233,0.4907491207122803,0.34503093361854553,0.1940135955810547,0.025712676346302032,0.20003379881381989,0.29119014739990234,0.4171713590621948,0.26565125584602356,0.35435691475868225
",",0.5201468467712402,0.3087472915649414,0.2589467465877533,0.3015086054801941,0.23254862427711487,0.3276674151420593,0.3696524500846863,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.2567901313304901,0.5201468467712402,0.3378419280052185,0.26998692750930786,0.31091248989105225
namely,0.260480672121048,0.25631916522979736,0.13318093121051788,0.1600792407989502,0.12258546054363251,0.19974105060100555,0.2458757907152176,0.34566161036491394,0.12908446788787842,0.11387156695127487,0.11202828586101532,0.260480672121048,0.14320504665374756,0.13717545568943024,0.18782232701778412
christ,0.16419753432273865,0.2615339457988739,0.19498896598815918,0.17013269662857056,0.2632921040058136,0.1346733570098877,0.1220613569021225,0.27289092540740967,0.2758595049381256,0.054941605776548386,0.39871615171432495,0.16419753432273865,0.23623991012573242,0.20909494161605835,0.13772203028202057
lag,0.2150108367204666,0.2257317453622818,0.1487072855234146,0.13878828287124634,0.12368867546319962,0.30454567074775696,0.27550753951072693,0.17989633977413177,0.10435406118631363,0.11224114894866943,0.10211314260959625,0.2150108367204666,0.12841647863388062,0.09985461086034775,0.2170206904411316
in,1.0,0.30808621644973755,0.33554986119270325,0.2593238651752472,0.19327521324157715,0.2715643048286438,0.32563260197639465,0.5696388483047485,0.20523880422115326,-0.037580832839012146,0.1669730842113495,1.0,0.3598145842552185,0.21021728217601776,0.20430970191955566
