,what,name,was,given,to,the,plot,to,usurp,power,from,the,french,house,of,guise,?
the,0.42745697498321533,0.3171212375164032,0.48711544275283813,0.37508252263069153,0.535392165184021,1.0,0.22070206701755524,0.535392165184021,0.13924844563007355,0.2647338807582855,0.40150508284568787,1.0,0.2555147111415863,0.2847244441509247,0.733189046382904,0.2755139470100403,0.22068053483963013
label,0.1364249736070633,0.18000388145446777,0.19368088245391846,0.23237618803977966,0.18542350828647614,0.24893689155578613,0.032389335334300995,0.18542350828647614,0.11391186714172363,0.1303592175245285,0.11683039367198944,0.24893689155578613,0.11834476888179779,0.13960003852844238,0.22532214224338531,0.04368586093187332,0.13554392755031586
huguenot,0.1912020891904831,0.1340496689081192,0.24281072616577148,0.18546853959560394,0.24496324360370636,0.29557526111602783,0.24153511226177216,0.24496324360370636,0.18642285466194153,0.10031228512525558,0.1858682930469513,0.29557526111602783,0.5233030915260315,0.2551328241825104,0.29061198234558105,0.4990818202495575,0.1359742432832718
was,0.22111038863658905,0.2646567225456238,1.0000001192092896,0.26878538727760315,0.3636345863342285,0.48711544275283813,0.17129768431186676,0.3636345863342285,0.1372208595275879,0.1794997751712799,0.31171464920043945,0.48711544275283813,0.2523815333843231,0.28759756684303284,0.4069072902202606,0.23492136597633362,0.18412111699581146
purportedly,0.19377177953720093,0.2067251056432724,0.37650883197784424,0.21178629994392395,0.27550897002220154,0.2530726492404938,0.19348172843456268,0.27550897002220154,0.20923037827014923,0.16810958087444305,0.2441718876361847,0.2530726492404938,0.15226112306118011,0.18824127316474915,0.20616093277931213,0.24378550052642822,0.10800734907388687
first,0.28086137771606445,0.3163818418979645,0.5022147297859192,0.29456719756126404,0.3792489171028137,0.49448907375335693,0.12672118842601776,0.3792489171028137,0.10164139419794083,0.18843717873096466,0.23348960280418396,0.49448907375335693,0.2345779836177826,0.2111378014087677,0.3536086082458496,0.19634561240673065,0.18701928853988647
applied,0.1944669634103775,0.18968766927719116,0.22533445060253143,0.36295250058174133,0.26928162574768066,0.22842662036418915,0.06772387772798538,0.26928162574768066,0.21809576451778412,0.12630166113376617,0.24689990282058716,0.22842662036418915,0.16362932324409485,0.08859758824110031,0.2825285494327545,0.10015090554952621,0.15585725009441376
in,0.30808621644973755,0.2459065467119217,0.45514053106307983,0.2528568208217621,0.45010748505592346,0.6662389636039734,0.18982252478599548,0.45010748505592346,0.08240508288145065,0.16666220128536224,0.4274188280105591,0.6662389636039734,0.22093388438224792,0.20026938617229462,0.5696388483047485,0.24419718980789185,0.20430970191955566
france,0.17793065309524536,0.19448354840278625,0.2715669870376587,0.20522302389144897,0.2670897841453552,0.35517507791519165,0.16161473095417023,0.2670897841453552,0.08079279959201813,0.21432888507843018,0.20540620386600494,0.35517507791519165,0.5492131114006042,0.16502881050109863,0.3265724182128906,0.4135160446166992,0.15069349110126495
to,0.455847829580307,0.27806994318962097,0.3636345863342285,0.3428947925567627,1.0,0.535392165184021,0.2934653162956238,1.0,0.2580402195453644,0.27001675963401794,0.4069952368736267,0.535392165184021,0.1713797152042389,0.23688754439353943,0.41548454761505127,0.27124592661857605,0.29463258385658264
those,0.44466671347618103,0.10832960903644562,0.21886132657527924,0.2487909197807312,0.47350940108299255,0.42861196398735046,0.19332849979400635,0.47350940108299255,0.3342554569244385,0.1786513775587082,0.24692396819591522,0.42861196398735046,0.16298890113830566,0.15250444412231445,0.37935635447502136,0.208414688706398,0.3328189253807068
conspirators,0.1975557655096054,0.05022686347365379,0.228729248046875,0.08775622397661209,0.23999643325805664,0.2279783934354782,0.34723562002182007,0.23999643325805664,0.21902424097061157,0.28443530201911926,0.15536589920520782,0.2279783934354782,0.14938098192214966,0.2541644871234894,0.23088811337947845,0.23088838160037994,0.19138522446155548
(,0.2411840260028839,0.2706909477710724,0.2980341613292694,0.2224431186914444,0.30882009863853455,0.33289089798927307,0.13799114525318146,0.30882009863853455,0.26692816615104675,0.18972817063331604,0.25806233286857605,0.33289089798927307,0.19998501241207123,0.16532687842845917,0.35032153129577637,0.30255088210105896,0.40561532974243164
all,0.41981086134910583,0.18820150196552277,0.23179835081100464,0.2496354579925537,0.42520734667778015,0.4860881567001343,0.25215059518814087,0.42520734667778015,0.19171516597270966,0.23566703498363495,0.2866387963294983,0.4860881567001343,0.16461369395256042,0.16657496988773346,0.42798417806625366,0.2233768105506897,0.29575422406196594
of,0.33290785551071167,0.24075818061828613,0.4069072902202606,0.39388060569763184,0.41548454761505127,0.733189046382904,0.2079721987247467,0.41548454761505127,0.11312620341777802,0.25273123383522034,0.4249346852302551,0.733189046382904,0.19450366497039795,0.285114049911499,1.0,0.2812090814113617,0.1826142966747284
them,0.4994642734527588,0.13889330625534058,0.23709723353385925,0.2639951705932617,0.5916602611541748,0.4788833558559418,0.2433614879846573,0.5916602611541748,0.2874481976032257,0.2235332876443863,0.2957119345664978,0.4788833558559418,0.194777712225914,0.2436278611421585,0.34503093361854553,0.27496132254600525,0.35435691475868225
aristocratic,0.2171783596277237,0.15811648964881897,0.2694813907146454,0.22123679518699646,0.22647498548030853,0.23801876604557037,0.22389286756515503,0.22647498548030853,0.2469215989112854,0.22177818417549133,0.2463798224925995,0.23801876604557037,0.25770285725593567,0.26957184076309204,0.2923828363418579,0.2912940979003906,0.13815830647945404
members,0.16873176395893097,0.22574421763420105,0.20636706054210663,0.2037440538406372,0.26617446541786194,0.3321719169616699,0.1572386622428894,0.26617446541786194,0.12621894478797913,0.19974319636821747,0.2350950688123703,0.3321719169616699,0.11117114126682281,0.33999237418174744,0.28120753169059753,0.11290157586336136,0.10212311148643494
of,0.33290785551071167,0.24075818061828613,0.4069072902202606,0.39388060569763184,0.41548454761505127,0.733189046382904,0.2079721987247467,0.41548454761505127,0.11312620341777802,0.25273123383522034,0.4249346852302551,0.733189046382904,0.19450366497039795,0.285114049911499,1.0,0.2812090814113617,0.1826142966747284
the,0.42745697498321533,0.3171212375164032,0.48711544275283813,0.37508252263069153,0.535392165184021,1.0,0.22070206701755524,0.535392165184021,0.13924844563007355,0.2647338807582855,0.40150508284568787,1.0,0.2555147111415863,0.2847244441509247,0.733189046382904,0.2755139470100403,0.22068053483963013
