,what,two,factors,can,generally,increase,a,teacher,'s,salary,?
teachers,0.2526462972164154,0.22374475002288818,0.24837180972099304,0.1946156919002533,0.23109376430511475,0.14857535064220428,0.2509842813014984,0.7334206104278564,0.044750411063432693,0.2759143114089966,0.19522249698638916
with,0.2464839518070221,0.4333336651325226,0.18700295686721802,0.3572797477245331,0.33641812205314636,0.2471977174282074,0.3783375024795532,0.13737362623214722,-0.04624466598033905,0.21879275143146515,0.2433311939239502
more,0.3484537899494171,0.36959168314933777,0.3159894049167633,0.4044358730316162,0.4564860463142395,0.39601215720176697,0.3452818691730499,0.14009490609169006,0.032942235469818115,0.2599467635154724,0.27894994616508484
experience,0.3894727826118469,0.19374042749404907,0.31956660747528076,0.3147910237312317,0.29598984122276306,0.3115066587924957,0.2513456344604492,0.2824347913265228,0.0468781515955925,0.23070719838142395,0.25203612446784973
and,0.31309178471565247,0.4671151638031006,0.2477942556142807,0.3675691485404968,0.4087323546409607,0.2751924991607666,0.3739250600337982,0.27571162581443787,0.06895173341035843,0.12764538824558258,0.20544172823429108
higher,0.2538340389728546,0.24243386089801788,0.3696209192276001,0.3291759192943573,0.3722388744354248,0.43265438079833984,0.2608921229839325,0.16805647313594818,-0.012609186582267284,0.21080181002616882,0.15679465234279633
education,0.19940856099128723,0.14526154100894928,0.25166112184524536,0.12172068655490875,0.18290089070796967,0.19425877928733826,0.21779850125312805,0.4505820572376251,0.0036171283572912216,0.3272600769996643,0.18067774176597595
earn,0.16168662905693054,0.18576735258102417,0.1884276270866394,0.23199506103992462,0.1790049821138382,0.24508744478225708,0.26034015417099,0.2882140874862671,0.07341156899929047,0.4782879948616028,0.20429526269435883
more,0.3484537899494171,0.36959168314933777,0.3159894049167633,0.4044358730316162,0.4564860463142395,0.39601215720176697,0.3452818691730499,0.14009490609169006,0.032942235469818115,0.2599467635154724,0.27894994616508484
than,0.29388150572776794,0.37341010570526123,0.2963021397590637,0.3532506823539734,0.42828088998794556,0.3258068859577179,0.3126874566078186,0.11944065243005753,0.0585811510682106,0.23716513812541962,0.24917294085025787
those,0.44466671347618103,0.4489564597606659,0.31956782937049866,0.4185016453266144,0.4700305163860321,0.30122536420822144,0.24251152575016022,0.11065024882555008,0.10056424140930176,0.22955618798732758,0.3328189253807068
with,0.2464839518070221,0.4333336651325226,0.18700295686721802,0.3572797477245331,0.33641812205314636,0.2471977174282074,0.3783375024795532,0.13737362623214722,-0.04624466598033905,0.21879275143146515,0.2433311939239502
a,0.3320399522781372,0.3289857804775238,0.19412465393543243,0.3915780484676361,0.37653425335884094,0.24428929388523102,1.0,0.31202319264411926,0.04866964742541313,0.2625115215778351,0.23916715383529663
standard,0.22809998691082,0.15000273287296295,0.18627209961414337,0.2528626322746277,0.36509713530540466,0.20144446194171906,0.2876655161380768,0.1608148068189621,-0.011532524600625038,0.1958293467760086,0.17029257118701935
bachelor,0.19332286715507507,0.2386183738708496,0.13992266356945038,0.16091611981391907,0.23383645713329315,0.10734251886606216,0.22000035643577576,0.3718288540840149,-0.03428642824292183,0.25528860092163086,0.07728833705186844
's,0.02692362666130066,0.038143858313560486,-0.045165590941905975,-0.02075597457587719,0.017207007855176926,-0.07857929915189743,0.04866964742541313,0.026857737451791763,0.9999999403953552,0.054899025708436966,-0.023395681753754616
degree,0.21753965318202972,0.22158433496952057,0.21585917472839355,0.19439314305782318,0.2758256494998932,0.16767337918281555,0.25289660692214966,0.3298501670360565,-0.019614629447460175,0.23615676164627075,0.1060895025730133
and,0.31309178471565247,0.4671151638031006,0.2477942556142807,0.3675691485404968,0.4087323546409607,0.2751924991607666,0.3739250600337982,0.27571162581443787,0.06895173341035843,0.12764538824558258,0.20544172823429108
certificate,0.17650939524173737,0.15163074433803558,0.17514482140541077,0.23258890211582184,0.20159143209457397,0.19744861125946045,0.211488276720047,0.31969425082206726,-0.000755538116209209,0.32109007239341736,0.22899624705314636
.,0.3567904531955719,0.3524959683418274,0.21191899478435516,0.35783761739730835,0.3124077022075653,0.24619564414024353,0.50484299659729,0.225234717130661,-0.003708066651597619,0.2463613897562027,0.4130953550338745
