,who,did,the,u.s.,collaborate,with,on,an,earth,orbit,mission,in,1975,?
apollo/saturn,0.20607708394527435,0.23393796384334564,0.28775331377983093,0.03774423524737358,0.13187755644321442,0.15793228149414062,0.2026534229516983,0.25571131706237793,0.41372546553611755,0.5441457629203796,0.32917967438697815,0.18574057519435883,0.12981078028678894,0.2771657705307007
vehicles,0.18174788355827332,0.1401449739933014,0.23281720280647278,0.04156315699219704,0.08048176020383835,0.20821073651313782,0.2033701092004776,0.20103129744529724,0.21672292053699493,0.2831057012081146,0.2405427247285843,0.23028446733951569,0.0664801150560379,0.1874745488166809
were,0.3188014328479767,0.4162326455116272,0.3906462490558624,0.09215717762708664,0.1579216718673706,0.3179011940956116,0.2774328887462616,0.08893381804227829,0.1662740856409073,0.14260467886924744,0.16210246086120605,0.3815755248069763,0.2811594605445862,0.17890112102031708
also,0.47919341921806335,0.39334940910339355,0.6021018624305725,0.026945039629936218,0.21738500893115997,0.44397303462028503,0.3762153089046478,0.36835694313049316,0.21414029598236084,0.10703863948583603,0.21550607681274414,0.5073733329772949,0.2652340233325958,0.21848613023757935
used,0.20756356418132782,0.30443844199180603,0.3718377649784088,-0.04290243238210678,0.13378995656967163,0.3047430217266083,0.24785758554935455,0.25728896260261536,0.20207399129867554,0.101396843791008,0.11525200307369232,0.3090210556983948,0.09461107850074768,0.22430120408535004
for,0.37110671401023865,0.318512886762619,0.4739971458911896,0.11615988612174988,0.2374127358198166,0.39140474796295166,0.36199691891670227,0.3236706852912903,0.20491120219230652,0.16374921798706055,0.18326549232006073,0.4322226941585541,0.19673505425453186,0.264628142118454
an,0.2848317325115204,0.22598257660865784,0.4207492768764496,-0.004288777709007263,0.16510766744613647,0.2730048894882202,0.3192969560623169,1.0,0.15274131298065186,0.1739663928747177,0.1624951809644699,0.2605783939361572,0.16651199758052826,0.19793890416622162
apollo,0.19149452447891235,0.1976410299539566,0.2169172167778015,0.0188660379499197,0.09134438633918762,0.1249200850725174,0.16069947183132172,0.1602039784193039,0.3316074311733246,0.4154411554336548,0.4094500243663788,0.1461767554283142,0.08439232409000397,0.191528782248497
applications,0.12625572085380554,0.1447269320487976,0.23664557933807373,-0.031120918691158295,0.23972882330417633,0.24006901681423187,0.2782871723175049,0.2052205353975296,0.2400849312543869,0.22598882019519806,0.23053842782974243,0.2334391176700592,0.04448655620217323,0.19125857949256897
program,0.2097788155078888,0.18915289640426636,0.22986935079097748,-0.03911284729838371,0.2173926830291748,0.14732027053833008,0.23327119648456573,0.2383636236190796,0.21459883451461792,0.23950959742069244,0.3676653504371643,0.1994907110929489,0.067938432097435,0.1440187245607376
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.030410487204790115,0.3157489001750946,0.4120737314224243,0.49057599902153015,0.3581022024154663,0.23186853528022766,0.19559532403945923,0.21226151287555695,0.5201468467712402,0.27064594626426697,0.31091248989105225
which,0.3688730001449585,0.2750149369239807,0.6521818041801453,0.014487938955426216,0.19569240510463715,0.46403205394744873,0.4245251417160034,0.3611921966075897,0.26013901829719543,0.19053132832050323,0.19417668879032135,0.4840516746044159,0.25342631340026855,0.25814583897590637
consisted,0.13768917322158813,0.2354525625705719,0.2888994514942169,-0.060130614787340164,0.14669515192508698,0.32573333382606506,0.261086106300354,0.13705703616142273,0.1465296596288681,0.09374120086431503,0.1768636405467987,0.2785966694355011,0.13828566670417786,0.01278369128704071
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.011562774889171124,0.1430407166481018,0.41827285289764404,0.3966929316520691,0.32280945777893066,0.2329314798116684,0.13123251497745514,0.20170781016349792,0.5696388483047485,0.30364495515823364,0.1826142966747284
skylab,0.3176778256893158,0.22678783535957336,0.33710870146751404,-0.01706012897193432,0.20740534365177155,0.2125244289636612,0.29204991459846497,0.2846873700618744,0.40659230947494507,0.4643247425556183,0.4697355031967163,0.27669620513916016,0.10358750820159912,0.23833967745304108
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.030410487204790115,0.3157489001750946,0.4120737314224243,0.49057599902153015,0.3581022024154663,0.23186853528022766,0.19559532403945923,0.21226151287555695,0.5201468467712402,0.27064594626426697,0.31091248989105225
a,0.36608949303627014,0.2552328109741211,0.5829201340675354,0.0347411222755909,0.2055007666349411,0.3783375024795532,0.3848365545272827,0.44552403688430786,0.21121151745319366,0.19505570828914642,0.2477724254131317,0.539380669593811,0.26416853070259094,0.23916715383529663
space,0.1441284865140915,0.1488010138273239,0.24495907127857208,-0.044594958424568176,0.17568305134773254,0.1992894560098648,0.15890881419181824,0.19467206299304962,0.3202928602695465,0.4323244094848633,0.3416440784931183,0.17648501694202423,0.11185967922210693,0.1885536164045334
station,0.17549659311771393,0.11704530566930771,0.23609806597232819,0.0005587392370216548,0.0630175769329071,0.13595768809318542,0.29022887349128723,0.1697155088186264,0.1374855488538742,0.28378814458847046,0.29844197630882263,0.21784305572509766,0.22291114926338196,0.12574981153011322
that,0.45444270968437195,0.47518548369407654,0.5473989248275757,0.006652553100138903,0.2586032748222351,0.4154358208179474,0.42569106817245483,0.365763783454895,0.33014219999313354,0.24957840144634247,0.1697317510843277,0.435920387506485,0.2774544954299927,0.32716336846351624
supported,0.22602812945842743,0.3048703968524933,0.27276676893234253,0.016158785670995712,0.20782604813575745,0.2909988462924957,0.2748899757862091,0.21082468330860138,0.19504013657569885,0.11369737982749939,0.11656171083450317,0.22075232863426208,0.1032661646604538,0.11593948304653168
