,which,monarchs,was,the,victoria,and,albert,museum,named,after,?
it,0.616637647151947,0.18886548280715942,0.4577186405658722,0.6251175999641418,0.21222682297229767,0.40957894921302795,0.17113278806209564,0.18497297167778015,0.27125322818756104,0.36872005462646484,0.25732165575027466
was,0.2830964922904968,0.20761267840862274,1.0000001192092896,0.48711544275283813,0.2550773620605469,0.3740963041782379,0.240865096449852,0.21266788244247437,0.37528327107429504,0.49306565523147583,0.18412111699581146
founded,0.2052733600139618,0.20238713920116425,0.36917948722839355,0.2840350568294525,0.1430700719356537,0.22426098585128784,0.1297692507505417,0.24418509006500244,0.3635748326778412,0.25701573491096497,0.09119737893342972
in,0.4840516746044159,0.2415173053741455,0.45514053106307983,0.6662389636039734,0.20823122560977936,0.4954058527946472,0.20386730134487152,0.2407650351524353,0.28130269050598145,0.44050168991088867,0.20430970191955566
1852,-0.06398793309926987,-0.09618630260229111,-0.04733692854642868,0.008079012855887413,-0.06851966679096222,0.04883328825235367,-0.018396228551864624,-0.05839924141764641,0.02766147442162037,0.0415242575109005,0.006410371046513319
and,0.506277859210968,0.2673439085483551,0.3740963041782379,0.5171257257461548,0.24507255852222443,1.0,0.23445942997932434,0.21554097533226013,0.23097854852676392,0.3765919506549835,0.20544172823429108
named,0.3135877251625061,0.09260070323944092,0.37528327107429504,0.3521348536014557,0.19399461150169373,0.23097854852676392,0.18688665330410004,0.15080158412456512,1.0,0.4528660774230957,0.1297498345375061
after,0.3217443823814392,0.20278069376945496,0.49306565523147583,0.4565047025680542,0.2524089217185974,0.3765919506549835,0.17041558027267456,0.14579711854457855,0.4528660774230957,1.0,0.16608688235282898
queen,0.23960715532302856,0.37129804491996765,0.24258024990558624,0.24681736528873444,0.4311044216156006,0.24302659928798676,0.3007971942424774,0.16492700576782227,0.1884787678718567,0.2223740965127945,0.17460165917873383
victoria,0.17652179300785065,0.22160382568836212,0.2550773620605469,0.2204313427209854,1.0,0.24507255852222443,0.3983887732028961,0.16867820918560028,0.19399461150169373,0.2524089217185974,0.12246892601251602
and,0.506277859210968,0.2673439085483551,0.3740963041782379,0.5171257257461548,0.24507255852222443,1.0,0.23445942997932434,0.21554097533226013,0.23097854852676392,0.3765919506549835,0.20544172823429108
prince,0.15987098217010498,0.2883622944355011,0.21743454039096832,0.24284426867961884,0.26800060272216797,0.2184920310974121,0.3196234107017517,0.11867308616638184,0.148915097117424,0.1865045726299286,0.15431542694568634
albert,0.1444896012544632,0.1948363482952118,0.240865096449852,0.17599669098854065,0.3983887732028961,0.23445942997932434,1.0000001192092896,0.17505663633346558,0.18688665330410004,0.17041558027267456,0.15350762009620667
.,0.45942068099975586,0.2938268780708313,0.40146201848983765,0.5934505462646484,0.23069117963314056,0.588965117931366,0.22206056118011475,0.19497929513454437,0.24760639667510986,0.35870397090911865,0.4130953550338745
