,in,what,year,did,harvard,president,joseph,willard,die,?
:1–4,0.023416105657815933,0.025686707347631454,0.21143588423728943,0.014165372587740421,0.05548899620771408,0.1449255496263504,-0.072392538189888,-0.028004376217722893,6.7015083914157e-05,0.13589538633823395
when,0.4431333839893341,0.4700249433517456,0.3014719784259796,0.3228907287120819,0.23355771601200104,0.17933911085128784,0.18643911182880402,0.2242797613143921,0.17487066984176636,0.22841128706932068
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.24496200680732727,0.24330610036849976,0.2251148819923401,0.23236997425556183,0.2242266982793808,0.22068053483963013
hollis,0.22270789742469788,0.1269800066947937,0.07773101329803467,0.08951500803232193,0.23093773424625397,0.24025119841098785,0.2267458140850067,0.4099721312522888,0.11018219590187073,0.17677928507328033
professor,0.23809273540973663,0.16376154124736786,0.12436020374298096,0.10153277218341827,0.4878312945365906,0.2951308488845825,0.19701839983463287,0.2807830572128296,0.11347008496522903,0.09837866574525833
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.25842633843421936,0.21610750257968903,0.20551647245883942,0.17891305685043335,0.21324244141578674,0.1826142966747284
divinity,0.3001517951488495,0.24106711149215698,0.1924537569284439,0.21170945465564728,0.4244198203086853,0.1575271189212799,0.23806728422641754,0.2780557870864868,0.15932129323482513,0.15090647339820862
david,0.17107756435871124,0.1299152821302414,0.08705317974090576,0.15711668133735657,0.19779399037361145,0.1429166942834854,0.33474260568618774,0.3313436806201935,0.14706817269325256,0.04158485680818558
tappan,0.28108909726142883,0.16380202770233154,0.12881028652191162,0.0976434051990509,0.18881216645240784,0.17936870455741882,0.21428754925727844,0.28610941767692566,0.06889308989048004,0.14683516323566437
died,0.25881269574165344,0.11138711869716644,0.23179858922958374,0.2759808599948883,0.18459221720695496,0.23379772901535034,0.23633506894111633,0.203201562166214,0.3548888862133026,0.15254227817058563
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.26072487235069275,0.18811661005020142,0.12985283136367798,0.22429418563842773,0.18641351163387299,0.20430970191955566
1803,0.06154744699597359,0.16995428502559662,0.07852619141340256,0.15927822887897491,0.08419201523065567,0.4091821610927582,0.08712586760520935,0.024370210245251656,0.05063222348690033,0.17126776278018951
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.2453373372554779,0.23286236822605133,0.181125670671463,0.2522672116756439,0.15050403773784637,0.20544172823429108
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.24496200680732727,0.24330610036849976,0.2251148819923401,0.23236997425556183,0.2242266982793808,0.22068053483963013
president,0.18811661005020142,0.1870913952589035,0.25048401951789856,0.1801012009382248,0.2796068787574768,1.0000001192092896,0.1998223513364792,0.22506773471832275,0.14091378450393677,0.14148259162902832
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.25842633843421936,0.21610750257968903,0.20551647245883942,0.17891305685043335,0.21324244141578674,0.1826142966747284
harvard,0.26072487235069275,0.2177114188671112,0.12264450639486313,0.12897181510925293,1.0,0.2796068787574768,0.1876031458377838,0.31808751821517944,0.07327640056610107,0.11685016006231308
joseph,0.12985283136367798,0.20494906604290009,0.09898927062749863,0.19009922444820404,0.1876031458377838,0.1998223513364792,0.9999999403953552,0.3558189272880554,0.12650848925113678,0.08421234786510468
willard,0.22429418563842773,0.1620284467935562,0.14216189086437225,0.16589002311229706,0.31808751821517944,0.22506773471832275,0.3558189272880554,0.9999998807907104,0.19364199042320251,0.1463320255279541
