,who,ended,up,replacing,joseph,francis,shea,as,aspo,manager,?
webb,0.27205929160118103,0.20068638026714325,0.19088350236415863,0.16167062520980835,0.28039005398750305,0.3199734687805176,0.3381498157978058,0.262567400932312,0.2781750559806824,0.15327206254005432,0.11173157393932343
also,0.47919341921806335,0.22004622220993042,0.3094489872455597,0.22405973076820374,0.15755833685398102,0.23220454156398773,0.26677626371383667,0.5774298906326294,0.3020354211330414,0.2256157547235489,0.21848613023757935
reassigned,0.36096933484077454,0.2961563766002655,0.2690899968147278,0.2686992585659027,0.16619287431240082,0.09559722989797592,0.16096507012844086,0.3232152760028839,0.2351834774017334,0.14190246164798737,0.22778236865997314
apollo,0.19149452447891235,0.12625649571418762,0.167251318693161,0.07364416867494583,0.1814708262681961,0.1320299357175827,0.2604290544986725,0.15543952584266663,0.19593700766563416,0.18334639072418213,0.191528782248497
spacecraft,0.17995841801166534,0.1391996145248413,0.20929226279258728,0.13033901154994965,0.1607191115617752,0.17017117142677307,0.15724705159664154,0.15933988988399506,0.21187566220760345,0.10410512983798981,0.17708687484264374
program,0.2097788155078888,0.1490919589996338,0.1724461317062378,0.18053559958934784,0.0966041162610054,0.03421998396515846,0.21871080994606018,0.19883424043655396,0.1775721311569214,0.19360490143299103,0.1440187245607376
office,0.2092086672782898,0.1789597123861313,0.12245382368564606,0.20801162719726562,0.09810908138751984,0.13782799243927002,0.19926391541957855,0.2288317233324051,0.14187367260456085,0.2443072646856308,0.16497313976287842
(,0.2443375140428543,0.17012202739715576,0.2525939643383026,0.24635721743106842,0.16506916284561157,0.22178809344768524,0.2101905196905136,0.32029855251312256,0.2144213318824768,0.20884579420089722,0.40561532974243164
aspo,0.25781863927841187,0.11981059610843658,0.14442569017410278,0.15673337876796722,0.11415533721446991,0.19850923120975494,0.21988967061042786,0.32127347588539124,1.0000001192092896,0.1998630315065384,0.31658074259757996
),0.2457384318113327,0.2159026563167572,0.25800976157188416,0.2323216199874878,0.16497012972831726,0.21739529073238373,0.22864499688148499,0.32161882519721985,0.2220529317855835,0.21725524961948395,0.42300865054130554
manager,0.22238492965698242,0.17552855610847473,0.14794817566871643,0.2028636336326599,0.15387915074825287,0.11478827893733978,0.2926716208457947,0.16709397733211517,0.1998630315065384,1.0,0.11875338107347488
joseph,0.24207964539527893,0.12631107866764069,0.12094677984714508,0.12100258469581604,0.9999999403953552,0.4220333397388458,0.28418904542922974,0.1927168071269989,0.11415533721446991,0.15387915074825287,0.08421234786510468
francis,0.26085689663887024,0.17082706093788147,0.18882247805595398,0.08744113892316818,0.4220333397388458,0.9999999403953552,0.1995265781879425,0.24902211129665375,0.19850923120975494,0.11478827893733978,0.11903949081897736
shea,0.20068514347076416,0.20430682599544525,0.16131557524204254,0.18516559898853302,0.28418904542922974,0.1995265781879425,0.9999999403953552,0.207088902592659,0.21988967061042786,0.2926716208457947,0.08539166301488876
",",0.3365725874900818,0.2682836353778839,0.34193792939186096,0.2327125072479248,0.24271315336227417,0.27572840452194214,0.3174794912338257,0.48816442489624023,0.23402711749076843,0.26230543851852417,0.31091248989105225
replacing,0.15232381224632263,0.2385559231042862,0.22736378014087677,1.0000001192092896,0.12100258469581604,0.08744113892316818,0.18516559898853302,0.33782824873924255,0.15673337876796722,0.2028636336326599,0.16467362642288208
him,0.5491244792938232,0.24078932404518127,0.31839749217033386,0.13285601139068604,0.23090195655822754,0.2551775872707367,0.1716071218252182,0.3072648346424103,0.15223994851112366,0.19461694359779358,0.23943768441677094
with,0.3282766342163086,0.3083439767360687,0.38676461577415466,0.32068511843681335,0.12509414553642273,0.16552497446537018,0.2135624885559082,0.40387406945228577,0.23767003417015076,0.17971983551979065,0.2433311939239502
george,0.25805044174194336,0.17006975412368774,0.2056180089712143,0.09694170951843262,0.296536922454834,0.3401230275630951,0.29804784059524536,0.1998397409915924,0.09589928388595581,0.18619652092456818,0.1479024887084961
low,0.16145439445972443,0.15061450004577637,0.20639851689338684,0.1445421725511551,0.14097613096237183,0.09028370678424835,0.16910229623317719,0.22321817278862,0.1272212117910385,0.08479559421539307,0.10658930987119675
.,0.3541337847709656,0.23468057811260223,0.351434588432312,0.2546197772026062,0.2262967973947525,0.25222471356391907,0.2651776671409607,0.515582263469696,0.29546478390693665,0.22173157334327698,0.4130953550338745
