,when,did,luther,write,the,hymn,from,depths,of,woe,i,cry,to,you,?
luther,0.14516782760620117,0.23667675256729126,1.0,0.14316920936107635,0.1759674996137619,0.24335725605487823,0.10716932266950607,0.1053362786769867,0.1719115972518921,0.1744273155927658,0.232476145029068,0.16929373145103455,0.18029534816741943,0.19897010922431946,0.1732746809720993
wrote,0.18808679282665253,0.3485160768032074,0.24184277653694153,0.6017370820045471,0.2426944375038147,0.4204634428024292,0.16906718909740448,0.15764005482196808,0.30241408944129944,0.2118300348520279,0.2075207233428955,0.23409701883792877,0.18888387084007263,0.21413300931453705,0.19322504103183746
``,0.07174111902713776,-0.029888948425650597,-0.013964727520942688,0.12880288064479828,0.029072100296616554,0.10007781535387039,0.02677825279533863,0.04932337626814842,0.06780257821083069,0.03275362774729729,0.050574399530887604,-0.007015532813966274,0.06720756739377975,0.022201700136065483,0.0685480609536171
aus,0.09194716811180115,0.14295589923858643,0.21375636756420135,0.16208122670650482,0.09332386404275894,0.14807142317295074,0.11843143403530121,0.12388592958450317,0.10577663779258728,0.19852732121944427,0.166561096906662,0.14014409482479095,0.0887296050786972,0.19895462691783905,0.21818752586841583
tiefer,0.16519379615783691,0.15642046928405762,0.23750795423984528,0.23648594319820404,0.2543894946575165,0.1770222932100296,0.2131645530462265,0.14334671199321747,0.23788242042064667,0.24762645363807678,0.28872644901275635,0.1846408247947693,0.21735523641109467,0.20194126665592194,0.22696372866630554
not,0.4799930453300476,0.6481515765190125,0.21636232733726501,0.33445051312446594,0.4310511648654938,0.10579558461904526,0.2567668557167053,0.25254830718040466,0.3307090103626251,0.24378685653209686,0.4217516779899597,0.1606614589691162,0.5149973034858704,0.49501559138298035,0.41942933201789856
schrei,0.19989117980003357,0.16953948140144348,0.34601566195487976,0.14875049889087677,0.21503321826457977,0.185125932097435,0.12759065628051758,0.19541053473949432,0.20070432126522064,0.2716218829154968,0.20963574945926666,0.21927793323993683,0.11913279443979263,0.1648229956626892,0.2005736380815506
ich,0.09809963405132294,0.09222115576267242,0.23894745111465454,0.15605272352695465,0.11397934705018997,0.14286504685878754,0.09437976777553558,0.11610410362482071,0.08888904005289078,0.28140145540237427,0.14658017456531525,0.18726423382759094,0.1070256307721138,0.20374813675880432,0.16696366667747498
zu,0.08473588526248932,0.15647944808006287,0.21456845104694366,0.12354253232479095,0.15475444495677948,0.14854972064495087,0.1542237251996994,0.10851916670799255,0.1674511730670929,0.28095364570617676,0.19509220123291016,0.12151618301868439,0.06303062289953232,0.17242063581943512,0.18317864835262299
dir,0.10060694068670273,0.0516330860555172,0.09664689749479294,0.08254658430814743,0.21941983699798584,0.17132173478603363,0.1369575411081314,0.20018607378005981,0.15052399039268494,0.16060319542884827,0.16525164246559143,0.09262561053037643,0.18083007633686066,0.20981693267822266,0.14335119724273682
'',-0.07688097655773163,0.01978493109345436,-0.04572787508368492,0.05656430125236511,0.041273195296525955,-0.056234996765851974,-0.011389154009521008,-0.012946355156600475,0.13035868108272552,-0.020760677754878998,0.06827187538146973,0.06554465740919113,-0.009905828163027763,0.03718613088130951,0.018684765323996544
(,0.2459595799446106,0.18979617953300476,0.1677781045436859,0.1890999674797058,0.33289089798927307,0.13691121339797974,0.25806233286857605,0.1946302205324173,0.35032153129577637,0.17087599635124207,0.3179941475391388,0.17836225032806396,0.30882009863853455,0.3087708055973053,0.40561532974243164
``,0.07174111902713776,-0.029888948425650597,-0.013964727520942688,0.12880288064479828,0.029072100296616554,0.10007781535387039,0.02677825279533863,0.04932337626814842,0.06780257821083069,0.03275362774729729,0.050574399530887604,-0.007015532813966274,0.06720756739377975,0.022201700136065483,0.0685480609536171
from,0.405669629573822,0.20248863101005554,0.10716932266950607,0.19640778005123138,0.40150508284568787,0.20504270493984222,1.0,0.18176662921905518,0.4249346852302551,0.1405072659254074,0.1677764356136322,0.18641825020313263,0.4069952368736267,0.19235679507255554,0.19969791173934937
depths,0.24763554334640503,0.1558954417705536,0.1053362786769867,0.14078190922737122,0.23700039088726044,0.09922241419553757,0.18176662921905518,0.9999998807907104,0.18997697532176971,0.13714730739593506,0.2395586222410202,0.2541561722755432,0.25861412286758423,0.2736278176307678,0.21987856924533844
of,0.3757161796092987,0.2513895630836487,0.1719115972518921,0.2147456258535385,0.733189046382904,0.27317509055137634,0.4249346852302551,0.18997697532176971,1.0,0.13364584743976593,0.25849398970603943,0.192143514752388,0.41548454761505127,0.1774725764989853,0.1826142966747284
woe,0.19693930447101593,0.22648391127586365,0.1744273155927658,0.2261134684085846,0.2332150787115097,0.18386802077293396,0.1405072659254074,0.13714730739593506,0.13364584743976593,1.0000001192092896,0.2539532482624054,0.21785113215446472,0.21849431097507477,0.29923537373542786,0.32047438621520996
i,0.33498305082321167,0.32301032543182373,0.232476145029068,0.30950117111206055,0.26687872409820557,0.16609418392181396,0.1677764356136322,0.2395586222410202,0.25849398970603943,0.2539532482624054,0.9999999403953552,0.2061874270439148,0.3140375316143036,0.6551993489265442,0.4695145785808563
cry,0.18655136227607727,0.12927472591400146,0.16929373145103455,0.23083293437957764,0.21614642441272736,0.21711011230945587,0.18641825020313263,0.2541561722755432,0.192143514752388,0.21785113215446472,0.2061874270439148,1.0,0.15277507901191711,0.2921808958053589,0.2308199256658554
to,0.5423505902290344,0.4452643394470215,0.18029534816741943,0.4184085726737976,0.535392165184021,0.1294938325881958,0.4069952368736267,0.25861412286758423,0.41548454761505127,0.21849431097507477,0.3140375316143036,0.15277507901191711,1.0,0.4194425344467163,0.29463258385658264
you,0.340933620929718,0.35957613587379456,0.19897010922431946,0.37178128957748413,0.30037742853164673,0.14588983356952667,0.19235679507255554,0.2736278176307678,0.1774725764989853,0.29923537373542786,0.6551993489265442,0.2921808958053589,0.4194425344467163,0.9999999403953552,0.5839095711708069
