,how,long,does,it,take,for,new,areas,to,have,significant,oil,production,?
finding,0.32565203309059143,0.2038200944662094,0.26940685510635376,0.24400542676448822,0.22321277856826782,0.34628403186798096,0.24077650904655457,0.18198330700397491,0.29713475704193115,0.32079583406448364,0.28237125277519226,0.12086399644613266,0.17310453951358795,0.18021653592586517
oil,0.13798584043979645,0.14253874123096466,0.1577383130788803,0.21307015419006348,0.08294273912906647,0.19440194964408875,0.1310664713382721,0.1839507669210434,0.1619214415550232,0.14215372502803802,0.1764809638261795,1.0,0.27879518270492554,0.14867261052131653
and,0.33647966384887695,0.3395216166973114,0.3461615741252899,0.40957894921302795,0.296702116727829,0.5064792633056641,0.31402453780174255,0.40107932686805725,0.48971283435821533,0.4711785912513733,0.31841233372688293,0.19239190220832825,0.25569969415664673,0.20544172823429108
developing,0.20619036257266998,0.2569582462310791,0.22585083544254303,0.27281540632247925,0.17609110474586487,0.32847198843955994,0.25677764415740967,0.2955297827720642,0.285153865814209,0.3473321199417114,0.28492143750190735,0.22396215796470642,0.30604949593544006,0.1301516592502594
new,0.20832711458206177,0.22447149455547333,0.1745370477437973,0.23156195878982544,0.23069287836551666,0.2700757384300232,0.9999999403953552,0.1423102170228958,0.33159172534942627,0.2689777910709381,0.19498293101787567,0.1310664713382721,0.1491549015045166,0.14782847464084625
fields,0.21759624779224396,0.09257491677999496,0.17121411859989166,0.14656537771224976,0.12278330326080322,0.2648622393608093,0.057239800691604614,0.3133196234703064,0.24277333915233612,0.17720384895801544,0.23438583314418793,0.23132498562335968,0.1933595836162567,0.1411406248807907
usually,0.36801108717918396,0.3277394473552704,0.3977598547935486,0.34398654103279114,0.2834988534450531,0.34784460067749023,0.14530301094055176,0.344210147857666,0.3824864327907562,0.46938973665237427,0.21887533366680145,0.20196475088596344,0.19476859271526337,0.19435347616672516
required,0.2999895513057709,0.18071426451206207,0.36165857315063477,0.1928969770669937,0.3600105047225952,0.33989444375038147,0.19442534446716309,0.2448405623435974,0.3613971471786499,0.3672355115413666,0.3206937611103058,0.10444188117980957,0.23331418633460999,0.24962718784809113
five,0.20553050935268402,0.2357739955186844,0.14718510210514069,0.2586050033569336,0.18262699246406555,0.30701300501823425,0.2204677015542984,0.23299002647399902,0.29041585326194763,0.35977232456207275,0.14915254712104797,0.10497947037220001,0.11240770667791367,0.18342848122119904
to,0.44169697165489197,0.30218687653541565,0.4391997456550598,0.513711154460907,0.4075521230697632,0.4451248347759247,0.33159172534942627,0.29808273911476135,1.0,0.4544740617275238,0.27648770809173584,0.1619214415550232,0.2144220918416977,0.29463258385658264
ten,0.26821833848953247,0.257926881313324,0.1422448456287384,0.22522874176502228,0.181441068649292,0.25671905279159546,0.23094385862350464,0.14291799068450928,0.2618066668510437,0.28732630610466003,0.23369334638118744,0.06054232642054558,0.1196092739701271,0.14471080899238586
years,0.21949264407157898,0.34739476442337036,0.11878147721290588,0.21688692271709442,0.20916500687599182,0.2878222167491913,0.20363415777683258,0.17982381582260132,0.23891852796077728,0.31441381573677063,0.2004622519016266,0.1482970267534256,0.1272873729467392,0.1914375126361847
before,0.33293965458869934,0.28386759757995605,0.24947339296340942,0.34684064984321594,0.32708418369293213,0.44347289204597473,0.3233793377876282,0.2249400019645691,0.4190867841243744,0.3593204617500305,0.24322271347045898,0.17099441587924957,0.08520954847335815,0.2507109045982361
significant,0.23918341100215912,0.24413321912288666,0.31748154759407043,0.24880528450012207,0.16345907747745514,0.2912706434726715,0.19498293101787567,0.25000524520874023,0.27648770809173584,0.37663447856903076,1.0,0.1764809638261795,0.1799072027206421,0.18679562211036682
production,0.19858919084072113,0.1465775966644287,0.17332269251346588,0.27170199155807495,0.14847150444984436,0.26936712861061096,0.1491549015045166,0.1328880488872528,0.2144220918416977,0.18069708347320557,0.1799072027206421,0.27879518270492554,1.0,0.19318072497844696
.,0.3287222981452942,0.3247973620891571,0.3022993505001068,0.5593622326850891,0.3045158088207245,0.4726039469242096,0.35031336545944214,0.23760369420051575,0.4645031690597534,0.41614407300949097,0.28046533465385437,0.22117017209529877,0.22297915816307068,0.4130953550338745
