,what,does,most,of,the,hd,material,use,as,a,standard,?
sky+,0.12067124247550964,0.1491537094116211,0.16803447902202606,0.1877743899822235,0.2895233631134033,0.3398793339729309,0.08606705069541931,0.14167997241020203,0.20808528363704681,0.2107129544019699,0.1478046029806137,0.13872939348220825
hd,0.15220552682876587,0.11281422525644302,0.1260523498058319,0.1299077272415161,0.19996047019958496,0.9999998807907104,0.08948732167482376,0.20431876182556152,0.14127878844738007,0.17419257760047913,0.21808426082134247,0.1705414354801178
material,0.2591213285923004,0.24026361107826233,0.18791352212429047,0.27520954608917236,0.26762521266937256,0.08948732167482376,1.0000001192092896,0.27327945828437805,0.23267555236816406,0.28408434987068176,0.21796682476997375,0.18117131292819977
is,0.28837618231773376,0.4403602182865143,0.41165053844451904,0.4854315221309662,0.5823672413825989,0.16031022369861603,0.2518187463283539,0.3357410430908203,0.43216490745544434,0.658733606338501,0.23514990508556366,0.22961433231830597
broadcast,0.17857211828231812,0.1793109029531479,0.12552721798419952,0.20155203342437744,0.2713715434074402,0.4156099855899811,0.14763200283050537,0.16651487350463867,0.19535446166992188,0.2046348601579666,0.19257798790931702,0.15760008990764618
using,0.27984681725502014,0.2979021370410919,0.25117412209510803,0.24298200011253357,0.28364112973213196,0.16770493984222412,0.26639610528945923,0.7256444692611694,0.31195345520973206,0.32226553559303284,0.33739233016967773,0.2804589569568634
mpeg-4,0.16936254501342773,0.1332189291715622,0.13332445919513702,0.1715255081653595,0.19102789461612701,0.37861084938049316,0.27349600195884705,0.24925018846988678,0.12506231665611267,0.160659059882164,0.33250749111175537,0.15991093218326569
and,0.31309178471565247,0.3461615741252899,0.4309377074241638,0.5116966962814331,0.5171257257461548,0.17087101936340332,0.2923409640789032,0.34145063161849976,0.49487000703811646,0.3739250600337982,0.24117660522460938,0.20544172823429108
most,0.3219912350177765,0.30044323205947876,1.0,0.4178851246833801,0.47635307908058167,0.1260523498058319,0.18791352212429047,0.3331718146800995,0.3548237979412079,0.3508910834789276,0.2708315849304199,0.2107497900724411
of,0.33290785551071167,0.3119818866252899,0.4178851246833801,1.0,0.733189046382904,0.1299077272415161,0.27520954608917236,0.2750902473926544,0.3886612355709076,0.5052502155303955,0.2296806275844574,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.47635307908058167,0.733189046382904,1.0,0.19996047019958496,0.26762521266937256,0.34342584013938904,0.48381632566452026,0.5829201340675354,0.29008856415748596,0.22068053483963013
hd,0.15220552682876587,0.11281422525644302,0.1260523498058319,0.1299077272415161,0.19996047019958496,0.9999998807907104,0.08948732167482376,0.20431876182556152,0.14127878844738007,0.17419257760047913,0.21808426082134247,0.1705414354801178
material,0.2591213285923004,0.24026361107826233,0.18791352212429047,0.27520954608917236,0.26762521266937256,0.08948732167482376,1.0000001192092896,0.27327945828437805,0.23267555236816406,0.28408434987068176,0.21796682476997375,0.18117131292819977
uses,0.1933930367231369,0.45398131012916565,0.2366945892572403,0.2738003432750702,0.2830192744731903,0.14525206387043,0.2029777467250824,0.6821471452713013,0.25049033761024475,0.35566505789756775,0.3168385922908783,0.18407079577445984
the,0.42745697498321533,0.35928019881248474,0.47635307908058167,0.733189046382904,1.0,0.19996047019958496,0.26762521266937256,0.34342584013938904,0.48381632566452026,0.5829201340675354,0.29008856415748596,0.22068053483963013
dvb-s2,0.19240112602710724,0.10590080916881561,0.2647695541381836,0.18160396814346313,0.21381238102912903,0.40837743878364563,0.153689444065094,0.28635120391845703,0.17462356388568878,0.1290515512228012,0.2706824839115143,0.11494667083024979
standard,0.22809998691082,0.24575825035572052,0.2708315849304199,0.2296806275844574,0.29008856415748596,0.21808426082134247,0.21796682476997375,0.4112936556339264,0.22084009647369385,0.2876655161380768,1.0,0.17029257118701935
.,0.3567904531955719,0.3022993505001068,0.35404038429260254,0.5352458953857422,0.5934505462646484,0.17191381752490997,0.24824832379817963,0.3711656630039215,0.515582263469696,0.50484299659729,0.2521037757396698,0.4130953550338745
,what,does,most,of,the,hd,material,use,as,a,standard,?
bskyb,0.17457032203674316,0.12919114530086517,0.15500347316265106,0.16413870453834534,0.20915858447551727,0.24691812694072723,0.11388611793518066,0.2110982984304428,0.18719172477722168,0.21951700747013092,0.2683827579021454,0.2979319989681244
's,0.02692362666130066,-0.02895052544772625,0.024445664137601852,-0.03817026689648628,-0.01540423184633255,0.12504087388515472,-0.026550788432359695,0.004619393963366747,-0.05775856226682663,0.04866964742541313,-0.011532524600625038,-0.023395681753754616
