,who,provided,a,definition,of,linear,bounded,automata,in,1960,?
earlier,0.23053643107414246,0.14556315541267395,0.19610044360160828,0.15515154600143433,0.27635854482650757,0.14030806720256805,0.15674741566181183,0.17916856706142426,0.24141792953014374,-0.03851119428873062,0.13306351006031036
papers,0.1748751401901245,0.12523320317268372,0.1634085327386856,0.17204394936561584,0.17829445004463196,0.17657813429832458,0.09497648477554321,0.16341392695903778,0.21986161172389984,-0.07846289873123169,0.12157123535871506
studying,0.24313008785247803,0.07366547733545303,0.28715598583221436,0.2254948914051056,0.2883101999759674,0.21928711235523224,0.1348593384027481,0.19833071529865265,0.32655033469200134,0.0015498368302360177,0.14438828825950623
problems,0.25277501344680786,0.21337538957595825,0.21523453295230865,0.2330891489982605,0.2450421154499054,0.2893146276473999,0.04680803418159485,0.2946208417415619,0.21061907708644867,-0.12244930863380432,0.2638136148452759
solvable,0.23597154021263123,0.24300546944141388,0.3367801904678345,0.3728874623775482,0.24158811569213867,0.5162795186042786,0.1926153600215912,0.39560502767562866,0.23117923736572266,-0.10350304841995239,0.2862088680267334
by,0.39727845788002014,0.2935292720794678,0.32094135880470276,0.11182640492916107,0.3646814823150635,0.1305209845304489,0.2593601942062378,0.2018662691116333,0.370934396982193,-0.020685482770204544,0.17966607213020325
turing,0.24589726328849792,0.20465034246444702,0.25234705209732056,0.2733438014984131,0.2670239806175232,0.338595449924469,0.13096438348293304,0.3959481418132782,0.26572495698928833,-0.017821714282035828,0.1460462063550949
machines,0.26427769660949707,0.20516657829284668,0.21060632169246674,0.2209157645702362,0.18757474422454834,0.3253330886363983,0.07076840847730637,0.4479513168334961,0.2209317833185196,-0.07726263254880905,0.17646311223506927
with,0.3282766342163086,0.26677820086479187,0.3783375024795532,0.16454635560512543,0.41827285289764404,0.2099924385547638,0.22083398699760437,0.11575302481651306,0.4080928862094879,-0.00023775920271873474,0.2433311939239502
specific,0.22884851694107056,0.30302152037620544,0.3531852960586548,0.3692733943462372,0.2744234502315521,0.34772539138793945,0.10893025994300842,0.2918755114078522,0.26078200340270996,-0.09046477824449539,0.30923372507095337
bounded,0.1007423847913742,0.1977015882730484,0.2297627031803131,0.1873966008424759,0.28187957406044006,0.2501866817474365,1.0,0.05625458061695099,0.305585652589798,-0.016957962885499,0.029345547780394554
resources,0.22842295467853546,0.3349475860595703,0.19164273142814636,0.32119080424308777,0.2746381163597107,0.22424547374248505,0.13282249867916107,0.18419218063354492,0.2161814570426941,-0.05193847045302391,0.26047492027282715
include,0.15078489482402802,0.2355462908744812,0.18765322864055634,0.2089603990316391,0.37431180477142334,0.13032041490077972,0.08727414160966873,0.15187986195087433,0.28694382309913635,0.06919372081756592,0.14925788342952728
john,0.30388808250427246,0.14244291186332703,0.20638683438301086,0.11507847160100937,0.2407056987285614,0.13054513931274414,0.10344867408275604,0.1125367283821106,0.22177861630916595,-0.052229706197977066,0.13162356615066528
myhill,0.26438379287719727,0.1695302277803421,0.244076207280159,0.1891344040632248,0.27578580379486084,0.20808091759681702,0.25473082065582275,0.10627065598964691,0.23970681428909302,0.10535712540149689,0.23702889680862427
's,0.05599616840481758,0.01738812029361725,0.04866964742541313,-0.07552970945835114,-0.03817026689648628,-0.00830553937703371,0.07980966567993164,0.02211562916636467,-0.037580832839012146,0.05268033593893051,-0.023395681753754616
definition,0.11727189272642136,0.261444628238678,0.2941339910030365,1.0,0.24912455677986145,0.28762710094451904,0.1873966008424759,0.24657826125621796,0.20306213200092316,-0.01221185177564621,0.2796523869037628
of,0.2827862501144409,0.272808313369751,0.5052502155303955,0.24912455677986145,1.0,0.23112532496452332,0.28187957406044006,0.1818503439426422,0.5696388483047485,0.05807475745677948,0.1826142966747284
linear,0.09688501805067062,0.2886489927768707,0.23775021731853485,0.28762710094451904,0.23112532496452332,1.0000001192092896,0.2501866817474365,0.3470464050769806,0.18096387386322021,0.018197624012827873,0.16595983505249023
bounded,0.1007423847913742,0.1977015882730484,0.2297627031803131,0.1873966008424759,0.28187957406044006,0.2501866817474365,1.0,0.05625458061695099,0.305585652589798,-0.016957962885499,0.029345547780394554
automata,0.16679196059703827,0.18261411786079407,0.217225581407547,0.24657826125621796,0.1818503439426422,0.3470464050769806,0.05625458061695099,1.0000001192092896,0.15049508213996887,0.06386175751686096,0.2285609394311905
(,0.2443375140428543,0.1930350810289383,0.3206180930137634,0.25452232360839844,0.35032153129577637,0.19256772100925446,0.1826252043247223,0.2160688042640686,0.3087427020072937,0.13140849769115448,0.40561532974243164
myhill,0.26438379287719727,0.1695302277803421,0.244076207280159,0.1891344040632248,0.27578580379486084,0.20808091759681702,0.25473082065582275,0.10627065598964691,0.23970681428909302,0.10535712540149689,0.23702889680862427
1960,-0.04823179915547371,-0.1210683286190033,0.06404880434274673,-0.01221185177564621,0.05807475745677948,0.018197624012827873,-0.016957962885499,0.06386175751686096,0.03880028799176216,1.0,-0.02243652194738388
