,what,is,the,equality,of,forces,between,two,objects,exerting,force,on,each,other,?,?
f,0.12896136939525604,0.20386354625225067,0.20223011076450348,0.13208791613578796,0.20653444528579712,0.12523220479488373,0.15959636867046356,0.1523670256137848,0.07046225666999817,0.10714928060770035,0.1982772797346115,0.12291212379932404,0.14652228355407715,0.09164298325777054,0.1749851107597351,0.1749851107597351
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.27724745869636536,0.5116966962814331,0.26456665992736816,0.40645647048950195,0.4671151638031006,0.2794862985610962,0.33812588453292847,0.24372100830078125,0.4077630043029785,0.2984027564525604,0.5504306554794312,0.20544172823429108,0.20544172823429108
−f,0.06301000714302063,0.1807069033384323,0.1293497234582901,0.17902544140815735,0.14896894991397858,0.04036777466535568,0.08049793541431427,0.025918034836649895,0.11711394786834717,0.06191270425915718,0.0617237351834774,0.05106838047504425,-0.031172556802630424,0.04940902814269066,0.14006592333316803,0.14006592333316803
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.1863248646259308,0.39081433415412903,0.22039441764354706,0.2766000032424927,0.46276170015335083,0.3614059388637543,0.2863141596317291,0.12981104850769043,0.268924742937088,0.39730963110923767,0.5932393670082092,0.24591213464736938,0.24591213464736938
equal,0.2397335022687912,0.20287640392780304,0.21154357492923737,0.5903711915016174,0.2787107825279236,0.18101300299167633,0.24162505567073822,0.28407856822013855,0.24951006472110748,0.3254399001598358,0.3049435019493103,0.15367068350315094,0.3578438460826874,0.28069862723350525,0.15421567857265472,0.15421567857265472
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1692870706319809,0.5696388483047485,0.2565164566040039,0.41100412607192993,0.36463531851768494,0.23406893014907837,0.15437334775924683,0.21744468808174133,0.46853652596473694,0.30816060304641724,0.39989137649536133,0.20430970191955566,0.20430970191955566
magnitude,0.2623147964477539,0.23793016374111176,0.215829536318779,0.21337641775608063,0.22128774225711823,0.1723984032869339,0.2363092303276062,0.1793876439332962,0.32341355085372925,0.24900054931640625,0.24111808836460114,0.22294598817825317,0.22277967631816864,0.17553600668907166,0.19328105449676514,0.19328105449676514
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.27724745869636536,0.5116966962814331,0.26456665992736816,0.40645647048950195,0.4671151638031006,0.2794862985610962,0.33812588453292847,0.24372100830078125,0.4077630043029785,0.2984027564525604,0.5504306554794312,0.20544172823429108,0.20544172823429108
opposite,0.2760887145996094,0.34369879961013794,0.2730693221092224,0.3568166196346283,0.2534274458885193,0.2651841342449188,0.30047687888145447,0.2954525947570801,0.26976826786994934,0.2875237464904785,0.30653202533721924,0.2522927224636078,0.279981404542923,0.2653847932815552,0.0778411254286766,0.0778411254286766
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1692870706319809,0.5696388483047485,0.2565164566040039,0.41100412607192993,0.36463531851768494,0.23406893014907837,0.15437334775924683,0.21744468808174133,0.46853652596473694,0.30816060304641724,0.39989137649536133,0.20430970191955566,0.20430970191955566
direction,0.25776705145835876,0.2159055918455124,0.28851455450057983,0.279300719499588,0.18922415375709534,0.24017015099525452,0.23105444014072418,0.2607904374599457,0.28017258644104004,0.3505900800228119,0.28222864866256714,0.20268428325653076,0.28449854254722595,0.21981362998485565,0.10739318281412125,0.10739318281412125
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22462227940559387,0.5352458953857422,0.21802116930484772,0.30295518040657043,0.3524959683418274,0.23188386857509613,0.30312079191207886,0.2783275842666626,0.49257001280784607,0.31204065680503845,0.41511186957359314,0.4130953550338745,0.4130953550338745
,what,is,the,equality,of,forces,between,two,objects,exerting,force,on,each,other,?,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.2420712560415268,0.45148900151252747,0.24922366440296173,0.29040461778640747,0.33004114031791687,0.29637277126312256,0.40313223004341125,0.2764977812767029,0.4193967580795288,0.4582836329936981,0.43044695258140564,0.3155723512172699,0.3155723512172699
law,0.2145031988620758,0.18597714602947235,0.24548950791358948,0.3619561195373535,0.2816956341266632,0.23524847626686096,0.15484747290611267,0.18560174107551575,0.15823568403720856,0.2555555999279022,0.23490524291992188,0.13878796994686127,0.11057410389184952,0.16831502318382263,0.1528988480567932,0.1528988480567932
is,0.28837618231773376,1.0,0.5823672413825989,0.18514825403690338,0.4854315221309662,0.18792390823364258,0.26809602975845337,0.2315155267715454,0.23756065964698792,0.2094477415084839,0.22036980092525482,0.3635730445384979,0.2954041659832001,0.25895947217941284,0.22961433231830597,0.22961433231830597
sometimes,0.34229418635368347,0.3757973313331604,0.35816407203674316,0.1920023113489151,0.296434611082077,0.15535135567188263,0.29279208183288574,0.30163514614105225,0.31150251626968384,0.27389639616012573,0.1510532647371292,0.20871618390083313,0.3607385456562042,0.4085802435874939,0.1751544177532196,0.1751544177532196
referred,0.16724665462970734,0.3144040107727051,0.3088674545288086,0.15612009167671204,0.317892849445343,0.11824650317430496,0.1964539885520935,0.15302307903766632,0.1802217960357666,0.1414230614900589,0.12804122269153595,0.12782762944698334,0.13664394617080688,0.21923795342445374,0.06677805632352829,0.06677805632352829
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.24343636631965637,0.41548454761505127,0.2581802308559418,0.3639189600944519,0.3343428373336792,0.2695634961128235,0.3124082386493683,0.24496492743492126,0.41031414270401,0.3941934108734131,0.4193183183670044,0.29463258385658264,0.29463258385658264
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.22893013060092926,0.3886612355709076,0.1724308878183365,0.22009976208209991,0.3029302954673767,0.2573409080505371,0.3079206347465515,0.19216643273830414,0.36047765612602234,0.27854636311531067,0.42805421352386475,0.27043893933296204,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.2277037352323532,0.733189046382904,0.3134811818599701,0.39067012071609497,0.43858039379119873,0.24716724455356598,0.28657808899879456,0.2800885736942291,0.5107308030128479,0.470844566822052,0.44152235984802246,0.22068053483963013,0.22068053483963013
action-reaction,0.3842131793498993,0.22594836354255676,0.2515110969543457,0.2942871153354645,0.21577304601669312,0.28479039669036865,0.20023255050182343,0.21216362714767456,0.23311960697174072,0.3542647659778595,0.2923058271408081,0.21601447463035583,0.21943406760692596,0.27890193462371826,0.33913958072662354,0.33913958072662354
