,who,followed,matt,smith,in,the,role,of,doctor,who,?
the,0.3733934462070465,0.3567860722541809,0.18786512315273285,0.24611686170101166,0.6662389636039734,1.0,0.26607486605644226,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
time-travelling,0.29151105880737305,0.23859508335590363,0.1880141943693161,0.1353536993265152,0.26897478103637695,0.3404638171195984,0.14361536502838135,0.26699116826057434,0.2710328996181488,0.29151105880737305,0.21271347999572754
nature,0.19851082563400269,0.1581631600856781,0.16282011568546295,0.09189734607934952,0.22229793667793274,0.19596898555755615,0.14149868488311768,0.22892364859580994,0.10287529230117798,0.19851082563400269,0.17397694289684296
of,0.2827862501144409,0.3060508966445923,0.14012464880943298,0.1941387802362442,0.5696388483047485,0.733189046382904,0.1797693818807602,1.0,0.16895952820777893,0.2827862501144409,0.1826142966747284
the,0.3733934462070465,0.3567860722541809,0.18786512315273285,0.24611686170101166,0.6662389636039734,1.0,0.26607486605644226,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
plot,0.20069892704486847,0.19199636578559875,0.1385985165834427,0.13079124689102173,0.18982252478599548,0.22070206701755524,0.15488465130329132,0.2079721987247467,0.1478414535522461,0.20069892704486847,0.1946352869272232
means,0.22125157713890076,0.17453117668628693,0.08403387665748596,0.09998980164527893,0.1979396492242813,0.32225894927978516,0.08828083425760269,0.29942914843559265,0.12556488811969757,0.22125157713890076,0.21233566105365753
that,0.45444270968437195,0.27784204483032227,0.20867200195789337,0.22626656293869019,0.435920387506485,0.5473989248275757,0.23023544251918793,0.41498205065727234,0.2390732765197754,0.45444270968437195,0.32716336846351624
",",0.3365725874900818,0.3097211718559265,0.19581818580627441,0.29127898812294006,0.5201468467712402,0.4933079481124878,0.199491485953331,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.31091248989105225
on,0.2340552806854248,0.28835389018058777,0.19586516916751862,0.1857338547706604,0.46853652596473694,0.5107308030128479,0.16022825241088867,0.3966929316520691,0.1636410653591156,0.2340552806854248,0.2714994251728058
occasion,0.34372538328170776,0.22141355276107788,0.12635333836078644,0.1477435976266861,0.16129016876220703,0.22899624705314636,0.14453153312206268,0.18207356333732605,0.1687375009059906,0.34372538328170776,0.18074023723602295
",",0.3365725874900818,0.3097211718559265,0.19581818580627441,0.29127898812294006,0.5201468467712402,0.4933079481124878,0.199491485953331,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.31091248989105225
different,0.27202165126800537,0.2022680938243866,0.11011136323213577,0.18335647881031036,0.29409363865852356,0.36412742733955383,0.11000407487154007,0.3747533857822418,0.11029156297445297,0.27202165126800537,0.24476227164268494
doctors,0.34335678815841675,0.15495483577251434,0.08025538176298141,0.14751659333705902,0.1817551702260971,0.24499839544296265,0.1322326958179474,0.18925178050994873,0.6945362687110901,0.34335678815841675,0.19305896759033203
have,0.39246654510498047,0.21291883289813995,0.11454117298126221,0.21151785552501678,0.36843645572662354,0.40389683842658997,0.15813656151294708,0.3802283704280853,0.17649078369140625,0.39246654510498047,0.32991164922714233
met,0.32960283756256104,0.26376262307167053,0.158317431807518,0.17964284121990204,0.23768870532512665,0.2303115278482437,0.13694386184215546,0.2307862788438797,0.26992174983024597,0.32960283756256104,0.13848096132278442
each,0.27337536215782166,0.2832740545272827,0.11484991759061813,0.15537914633750916,0.30816060304641724,0.470844566822052,0.11805922538042068,0.38460010290145874,0.1160493865609169,0.27337536215782166,0.21173812448978424
other,0.3612329661846161,0.247264102101326,0.10932229459285736,0.1385837346315384,0.39989137649536133,0.44152235984802246,0.1534264087677002,0.38583824038505554,0.21788395941257477,0.3612329661846161,0.24682199954986572
.,0.3541337847709656,0.3200787305831909,0.19403217732906342,0.25158894062042236,0.5591574311256409,0.5934505462646484,0.22067026793956757,0.5352458953857422,0.22361043095588684,0.3541337847709656,0.4130953550338745
